wavelength,Back_DacNigf,Belly_DacNigf,Breast_DacNigf,Crissum_DacNigf,Crown_DacNigf,DorTail_DacNigf,Rump_DacNigf,Throat_DacNigf,WingTip_DacNigf
779.09,15.5576666667,44.09,33.3333333333,35.8556666667,13.6733333333,14.8283333333,16.4386666667,29.1706666667,12.458
779.40,15.232,43.5593333333,32.6313333333,35.9886666667,13.309,14.8046666667,16.2696666667,28.7546666667,11.5386666667
779.71,15.4463333333,44.1763333333,32.9933333333,36.7623333333,14.427,15.3846666667,17.1456666667,29.1626666667,12.2333333333
780.02,15.907,44.744,32.899,37.3646666667,14.8216666667,15.504,17.1163333333,29.5193333333,12.589
780.33,16.944,45.656,33.6106666667,39.495,15.5266666667,16.8823333333,18.1143333333,29.8826666667,13.9556666667
780.64,16.187,43.6393333333,32.405,38.9356666667,14.392,15.3513333333,16.961,28.4743333333,12.968
780.95,17.5583333333,42.651,32.3803333333,38.899,15.0673333333,16.482,17.5583333333,28.536,14.2066666667
781.26,17.833,42.0813333333,31.6756666667,38.2753333333,14.7636666667,16.145,17.5876666667,28.085,14.1803333333
781.57,17.7013333333,41.273,30.8926666667,37.0406666667,14.365,16.6823333333,17.5163333333,28.1123333333,13.2843333333
781.88,18.9123333333,40.8493333333,31.164,36.114,15.0016666667,17.8123333333,18.668,29.392,13.321
782.19,19.1,40.098,30.5173333333,36.4246666667,15.7023333333,18.3656666667,19.3143333333,29.446,13.0393333333
782.50,18.8353333333,40.1486666667,30.2666666667,36.0286666667,14.8076666667,18.3706666667,19.1453333333,28.7173333333,12.9803333333
782.81,18.4736666667,39.821,29.7496666667,36.2683333333,15.23,17.671,19.277,29.0703333333,12.913
783.12,17.8626666667,40.1986666667,29.2013333333,35.912,15.0976666667,17.5833333333,18.7013333333,28.394,11.8363333333
783.43,17.8363333333,40.7236666667,28.9993333333,35.329,15.404,17.992,19.333,28.656,12.2546666667
783.74,17.427,40.4623333333,28.834,34.0623333333,15.0823333333,16.8883333333,18.8213333333,28.2,11.28
784.05,17.059,42.5163333333,28.7253333333,33.9543333333,15.621,17.255,19.4773333333,28.7253333333,10.7843333333
784.36,15.7176666667,42.7236666667,27.939,33.1333333333,14.2856666667,16.7166666667,19.447,28.5383333333,10.057
784.67,16.4483333333,44.2986666667,29.3306666667,33.4676666667,14.3963333333,17.928,19.9123333333,29.0953333333,10.999
784.98,18.315,46.2536666667,30.4696666667,35.0646666667,15.951,19.3476666667,21.845,29.87,13.3203333333
785.29,18.4266666667,47.2743333333,30.9523333333,35.7486666667,15.7003333333,19.1166666667,21.3593333333,29.6066666667,13.1816666667
785.60,18.9596666667,47.844,31.9986666667,34.9763333333,14.7843333333,18.1383333333,21.561,30.1846666667,13.1076666667
785.91,19.2116666667,48.6686666667,32.5246666667,34.041,15.7736666667,17.762,21.9076666667,31.2436666667,13.7853333333
786.22,20.876,50.781,34.5553333333,34.7593333333,16.938,18.941,22.098,32.213,15.0713333333
786.53,21.7023333333,49.746,34.8933333333,34.3846666667,16.2426666667,18.2436666667,22.0753333333,33.1973333333,15.4626666667
786.84,22.775,49.4416666667,35.6343333333,35.33,15.973,17.8003333333,21.455,33.1303333333,14.856
