wavelength,Back_ThrGlaf,Belly_ThrGlaf,Breast_ThrGlaf,Crissum_ThrGlaf,Crown_ThrGlaf,DorTail_ThrGlaf,Patch10_ThrGlaf,Patch11_ThrGlaf,Rump_ThrGlaf,Throat_ThrGlaf,WingTip_ThrGlaf
319.22,15.1428333333,22.878,20.6983333333,18.8570023148,10.8185,15.7981666667,22.3196666667,16.454,18.0843333333,16.5336666666,12.7281666667
319.59,15.0873333333,23.0506666666,21.003,18.9746446759,11.01,16.0333333334,22.4751666667,16.658,18.1831666666,16.7913333333,12.7274166667
319.96,14.8628333334,22.76325,21.0678333334,18.9726909722,10.7231666666,15.386,22.0508333333,16.3058333333,17.7306666667,16.1343333333,12.0399166667
320.32,15.3826666666,23.0380833334,21.4531666667,19.3740243056,11.0993333333,15.7328333333,21.9648333333,16.4333333333,17.9776666667,15.9481666666,12.4865833333
320.69,15.1853333333,23.1141666667,21.4196666667,19.4433738426,10.8596666667,15.2033333333,22.1648333333,16.5665,17.6846666667,15.5036666667,12.6815
321.06,14.981,23.41,21.5235,19.7482384259,10.5246666666,14.8986666666,22.2891666667,16.3023333333,17.3591666667,15.5275,12.0739166666
321.43,14.6016666667,23.2364166667,21.0618333333,19.3569108796,9.92316666667,13.7703333333,21.2813333333,15.8991666667,16.7946666667,14.9673333333,11.3623333334
321.80,14.5088333333,23.27825,20.6611666667,19.1791053241,9.78883333335,13.5996666667,21.0835,15.7941666667,16.5565,14.4993333334,11.0835833333
322.16,14.2438333334,22.9054166666,20.3368333333,18.85159375,9.144,13.4426666667,20.4098333333,15.5463333333,16.1475,13.8798333333,10.2733333333
322.53,13.8251666666,22.6138333334,20.0456666667,18.398431713,8.51566666667,12.7505,19.8816666666,14.5901666666,15.8471666667,13.315,9.86333333335
322.90,14.1256666667,23.3606666667,20.469,18.7733217593,8.78666666666,13.1041666667,20.46,15.094,16.427,13.7615,9.87458333335
323.27,14.3203333333,23.6835,20.5336666666,19.23775,8.9675,12.9646666667,20.6293333334,15.2851666666,16.432,13.9901666666,9.99266666665
323.63,14.2773333333,23.9228333333,20.632,19.4758541667,9.16316666666,13.3048333334,20.8416666667,15.1325,16.4736666667,14.227,10.144
324.00,14.1193333333,23.71825,20.3541666667,18.8642777778,8.952,13.521,20.7988333334,14.944,16.3108333334,14.1191666666,9.97483333335
324.37,13.4333333333,23.5416666667,20.0191666667,18.50884375,8.45633333333,13.0368333333,20.5976666667,14.5901666667,15.9693333333,13.9401666667,9.41116666665
324.74,13.4633333333,23.4289166667,20.1146666667,18.5766261574,8.52466666666,13.3333333333,20.4203333333,14.7858333334,16.2768333334,14.0596666666,9.27366666665
325.10,13.3808333334,22.7858333333,19.8191666666,18.2413391204,8.3,13.5143333334,20.175,15.02,15.91,13.6625,9.55708333335
325.47,13.7791666667,22.7358333334,19.9413333334,18.474193287,8.90666666667,14.037,20.6576666667,15.1905,16.4085,14.0945,9.74466666665
