wavelength,Back_ConSitm,Belly_ConSitm,Breast_ConSitm,Crissum_ConSitm,Crown_ConSitm,DorTail_ConSitm,Rump_ConSitm,Throat_ConSitm,WingTip_ConSitm
431.86,13.7545333333,8.7914,8.36786666667,6.84966666667,4.13,6.31846666667,19.4554,5.5252,6.10256666667
432.22,13.7594,8.81693333333,8.37993333333,6.86353333333,4.1248,6.32186666667,19.441,5.52793333333,6.10876666667
432.57,13.7567333333,8.85866666667,8.41293333333,6.8768,4.1482,6.34153333334,19.4386,5.54773333333,6.12986666667
432.93,13.747,8.88126666666,8.4492,6.92653333333,4.17166666667,6.35886666667,19.4280666667,5.56513333333,6.14733333333
433.29,13.7288,8.89953333334,8.46726666667,6.9422,4.1726,6.3702,19.4040666667,5.56166666667,6.15036666667
433.64,13.7268,8.93819999999,8.513,6.9786,4.18866666667,6.379,19.3995333333,5.59253333333,6.1784
434.00,13.6822,8.91646666665,8.50426666667,6.96273333333,4.1552,6.35853333333,19.3450666667,5.558,6.16183333333
434.35,13.6686666667,8.92720000001,8.5168,6.97373333333,4.1602,6.35406666666,19.3347333333,5.56033333333,6.16716666667
434.71,13.6598666667,8.95266666666,8.54366666667,6.99406666667,4.16653333333,6.36093333333,19.3006,5.5696,6.1851
435.07,13.6138,8.92406666666,8.5284,6.97366666667,4.15673333333,6.3314,19.2495333333,5.54573333333,6.1821
435.42,13.6237333333,8.96813333333,8.55893333333,6.99753333333,4.17233333333,6.34186666667,19.2388666667,5.56346666667,6.19346666667
435.78,13.613,9.00079999999,8.58306666667,7.01453333333,4.18493333333,6.35306666667,19.2232666667,5.5788,6.19783333333
436.13,13.5989333333,9.04346666665,8.6254,7.03786666667,4.19886666667,6.35946666667,19.2038666667,5.59486666667,6.2126
436.49,13.5538,9.03306666667,8.61813333333,7.0506,4.167,6.34693333333,19.1026666666,5.57,6.19186666667
436.84,13.5294666667,9.0448,8.6216,7.03546666667,4.14753333333,6.34586666667,19.092,5.55133333333,6.17886666667
437.20,13.5341333333,9.08880000001,8.6672,7.0686,4.17313333333,6.36553333333,19.0804,5.57193333333,6.20576666667
437.56,13.5134666667,9.10946666667,8.68146666667,7.05566666667,4.16333333333,6.3546,19.0344666667,5.5468,6.18786666667
437.91,13.5466666667,9.18726666667,8.74406666667,7.09146666667,4.1904,6.38953333333,19.0486666667,5.5844,6.22456666667
438.27,13.5306666667,9.22526666667,8.78446666667,7.11753333333,4.20366666667,6.3998,19.0193333333,5.59566666667,6.24243333333
438.62,13.5148,9.25806666666,8.79853333333,7.1366,4.21626666667,6.41133333334,19.004,5.60193333333,6.23963333333
438.98,13.5280666667,9.30993333333,8.85726666667,7.17926666667,4.2278,6.4396,19.0068666667,5.62546666667,6.257
439.33,13.5319333333,9.34593333333,8.902,7.22153333334,4.25033333333,6.45126666667,19.0008,5.62873333333,6.28383333333
439.69,13.5498666667,9.40453333334,8.9732,7.27133333334,4.28766666667,6.47866666667,19.0226666667,5.65473333333,6.32623333333
440.04,13.5395333333,9.42999999999,9.004,7.2974,4.30586666667,6.50453333333,19.0022666667,5.6718,6.3336
440.40,13.5188666667,9.44726666667,9.01706666667,7.30286666667,4.3176,6.5092,19.0158,5.68,6.33566666667
440.75,13.5210666667,9.4974,9.07613333333,7.34826666666,4.35366666667,6.53946666667,18.9964,5.7112,6.3642
441.11,13.5082,9.52400000001,9.10386666666,7.37466666667,4.3592,6.55153333333,18.988,5.72113333333,6.36833333333
441.47,13.5101333333,9.57446666667,9.13066666667,7.42286666667,4.38106666667,6.58113333333,19.0084666667,5.7624,6.39486666667
441.82,13.4853333333,9.59653333333,9.12993333333,7.45053333333,4.392,6.5776,18.9748,5.7602,6.39206666667
442.18,13.4354,9.58866666667,9.12266666667,7.44206666667,4.37286666666,6.55686666667,18.9069333333,5.74473333333,6.3406
442.53,13.4234666667,9.61239999999,9.15106666667,7.46653333333,4.3754,6.55106666667,18.8829333333,5.749,6.35236666667
442.89,13.3912666667,9.6454,9.1766,7.49246666667,4.3762,6.56033333334,18.8391333333,5.7546,6.34883333333
443.24,13.3691333333,9.67180000001,9.20593333333,7.50686666667,4.37473333333,6.57666666667,18.7927333333,5.75913333333,6.3446
443.60,13.3162666666,9.67386666665,9.19586666667,7.50866666667,4.3496,6.55646666667,18.7156666667,5.73726666667,6.31116666667
443.95,13.2994666667,9.70140000001,9.21126666667,7.5362,4.34806666667,6.55506666667,18.6946666667,5.73966666667,6.32
444.31,13.3165333333,9.76173333333,9.26626666667,7.58300000001,4.36746666667,6.59013333334,18.694,5.7582,6.3483
444.66,13.3122666667,9.78786666667,9.29346666667,7.58999999999,4.37033333333,6.58333333333,18.6639333333,5.7516,6.3493
445.02,13.2797333333,9.79313333334,9.29953333333,7.59126666667,4.35533333333,6.56353333333,18.6068,5.73746666667,6.32613333333
445.37,13.2220666667,9.7678,9.29253333333,7.57593333333,4.332,6.5356,18.52,5.70206666667,6.2981
