wavelength,Back_TanCyvm,Belly_TanCyvm,Breast_TanCyvm,Crissum_TanCyvm,Crown_TanCyvm,DorTail_TanCyvm,Patch10_TanCyvm,Patch11_TanCyvm,Rump_TanCyvm,Throat_TanCyvm,WingTip_TanCyvm
383.05,4.746,46.1937777778,47.4854444445,13.2557777778,3.63566666667,6.272,6.99555555555,5.37955555555,6.87577777778,6.43066666667,7.79766666667
383.41,4.80066666667,46.0515555555,47.4353333333,13.2392222222,3.68944444444,6.32922222222,7.00811111111,5.40933333334,6.89933333333,6.53622222222,7.79766666667
383.77,4.73166666667,45.8305555556,47.285,13.1598888889,3.68188888889,6.31544444444,7.01477777778,5.34766666667,6.83488888889,6.49544444444,7.72444444444
384.14,4.60433333333,45.6117777778,47.1136666667,13.0538888889,3.57144444445,6.233,6.87222222222,5.22933333333,6.68288888889,6.40066666667,7.55366666667
384.50,4.63255555555,45.5132222222,47.0752222222,13.0468888889,3.62955555556,6.26033333333,6.89944444444,5.22544444444,6.64622222222,6.46377777778,7.56133333333
384.86,4.64011111111,45.2727777778,46.9001111111,13.045,3.70011111111,6.30955555555,6.88033333333,5.28544444444,6.65722222222,6.433,7.62244444444
385.22,4.58722222222,44.9731111111,46.6522222222,12.9531111111,3.64644444444,6.20844444444,6.78833333333,5.19522222222,6.59066666667,6.34433333333,7.53222222222
385.58,4.53411111111,44.8595555556,46.4834444444,12.9553333333,3.64188888889,6.21722222222,6.77533333333,5.17344444444,6.52433333333,6.36233333333,7.57322222222
385.94,4.532,44.7696666667,46.3944444444,13.01,3.70244444444,6.30511111111,6.84444444445,5.27911111111,6.616,6.45722222222,7.68444444444
386.30,4.49144444444,44.5335555555,46.1856666667,12.935,3.64855555556,6.267,6.78288888889,5.21522222222,6.51011111111,6.38544444445,7.64188888889
386.66,4.44688888889,44.3287777778,46.0791111111,12.8921111111,3.57555555556,6.26455555556,6.64844444444,5.14277777778,6.44744444444,6.313,7.61977777778
387.03,4.47133333333,44.2253333333,46.0056666667,12.9547777778,3.637,6.30366666667,6.67255555555,5.14177777778,6.48477777778,6.28144444445,7.66988888889
387.39,4.557,44.1167777778,45.8984444444,13.0705555555,3.73277777778,6.37922222222,6.753,5.21455555556,6.56888888889,6.31488888889,7.77233333333
387.75,4.58366666667,43.8596666667,45.7331111111,13.0376666667,3.714,6.32522222222,6.69411111111,5.19677777778,6.49177777778,6.29055555556,7.786
388.11,4.55211111111,43.6785555556,45.6402222222,13.0263333333,3.66833333333,6.26055555556,6.68088888889,5.18244444444,6.46266666667,6.27344444444,7.79755555555
388.47,4.47933333333,43.4706666667,45.4635555556,12.9323333333,3.57144444444,6.19977777778,6.54666666667,5.03833333333,6.35111111111,6.13177777778,7.69188888889
388.83,4.46188888889,43.4142222222,45.3931111111,12.902,3.51588888889,6.15888888889,6.47477777778,5.01877777778,6.28477777778,6.14355555556,7.63744444445
389.19,4.52955555556,43.3105555555,45.2991111111,12.8596666667,3.57188888889,6.24977777778,6.49955555556,5.10766666667,6.30911111111,6.22211111111,7.77233333333
389.55,4.575,43.1765555556,45.2671111111,12.8345555555,3.57377777778,6.20444444445,6.50366666667,5.08622222222,6.31166666667,6.16377777778,7.73788888889
389.91,4.53255555555,42.9645555555,45.1895555555,12.8096666667,3.55922222222,6.13877777778,6.40688888889,5.059,6.25777777778,6.10511111111,7.67244444444
390.27,4.5,42.845,45.2153333333,12.8146666667,3.57455555555,6.12888888889,6.36177777778,5.02344444445,6.27844444444,6.12022222222,7.71877777778
