wavelength,Back_LoxNocf,Belly_LoxNocf,Breast_LoxNocf,Crissum_LoxNocf,Crown_LoxNocf,DorTail_LoxNocf,Rump_LoxNocf,Throat_LoxNocf,WingTip_LoxNocf
806.83,18.7962,36.8272,30.7438,43.4725333333,19.7538666667,26.0139333333,20.3263333333,23.451,26.9074666667
807.13,19.2485333333,37.4073333333,30.891,43.4998,20.1825333333,26.2695333333,20.6386,24.1492,27.1605333333
807.44,18.7497333333,36.7340666666,30.0673333333,42.657,19.7305333333,25.3894,19.9192666667,23.5462666666,26.2624666667
807.74,18.8302666667,37.1170666667,30.1098666667,42.9325333333,20.0824,25.1016,19.956,23.7452666667,26.2823333333
808.05,19.0508,37.6828666667,30.631,43.3724,20.5082,25.4828666667,20.2736,23.9754,26.5885333333
808.35,19.8033333333,38.2068666667,31.1242,43.9684,21.1409333333,26.1102666667,20.8544,24.4351333333,27.2961333333
808.66,19.7207333334,37.8347333333,31.0599333333,43.618,21.2992,26.0569333333,20.6380666667,24.0627333333,26.9172666667
808.97,19.3545333333,37.6548,30.481,43.3822666667,20.8874,25.3702,20.2938666667,23.8144,26.3380666667
809.27,19.3908,37.7152666667,30.6501333333,43.3157333333,20.5974,25.4656666667,20.0293333333,24.0071333333,26.4967333333
809.58,19.1513333333,37.5416,30.5883333333,42.8739333333,20.7022,25.2033333333,19.9356,23.8746666667,26.5262666667
809.88,19.5356666667,37.8572666667,31.0178,43.1904666667,21.2976,25.3570666667,20.512,24.3215333333,26.8273333334
810.19,19.0996666667,37.8345333333,30.9184666667,43.3759333333,21.1922,24.9939333333,20.5170666667,24.0206666667,26.7760666667
810.49,18.9200666667,37.6972,30.9932666667,43.4203333334,21.0118,25.0216666667,20.5959333333,23.5877333333,26.8464666667
810.80,19.4228666667,38.262,31.7286,44.1801333333,21.5731333333,25.4360666667,21.034,23.92,27.4848666667
811.10,19.2250666667,37.7777333333,31.6682666667,43.8041333333,21.1334666667,25.4948666667,20.4931333333,23.6184,26.9611333333
811.41,18.2395333333,36.8026,30.6926,43.0356666667,20.5501333333,24.3625333333,19.8834666667,22.6926666667,26.0906666667
811.71,17.4299333333,36.2752666667,29.8956,42.4659333334,20.1499333333,23.6008666667,19.4195333333,22.0286666667,25.5382
812.02,18.8422666667,37.5479333333,30.9008,43.6098,21.0471333333,24.3317333333,20.2926666667,23.5511333333,26.7576
812.32,19.0412,37.4298666667,31.4220666666,43.803,21.3306666667,24.2009333333,20.3458,24.0508666667,27.0711333333
812.63,18.6942666667,36.9882,30.853,43.6681333334,21.4763333333,23.7728666667,20.4528,23.7927333333,26.7258
812.93,18.899,37.2809333333,31.0372,44.1624,21.5106,23.9611333333,20.6578666667,24.2632,27.0223333333
813.24,18.9157333333,36.8072666667,30.676,43.8621333333,21.4458,23.9158666667,20.2610666667,24.0496,26.5126666667
