wavelength,Back_NeoFasf,Belly_NeoFasf,Breast_NeoFasf,Crissum_NeoFasf,Crown_NeoFasf,DorTail_NeoFasf,Patch10_NeoFasf,Rump_NeoFasf,Throat_NeoFasf,WingTip_NeoFasf
224.62,-91.111,-46.9841111112,-50.7935555556,40.9524444444,-90.7935555557,-67.9366666667,-49.2064444444,-44.4444444444,33.6507777778,-66.0317777779
225.00,-81.5872222222,-39.0476666668,-38.0954444445,39.6825555557,-96.5080000001,-66.0317777778,-28.2541111111,-43.1745555556,34.2857777778,-53.0157777778
225.38,-112.963,-67.0369999999,-67.037,20.0,-143.703666667,-87.407222222,-60.0001111111,-69.6296666668,15.1852222222,-84.4446666668
225.75,-67.7561111111,-38.7798888889,-46.1874444444,14.3791111112,-86.2746666668,-54.2484444445,-34.8583333333,-37.0371111111,2.61433333333,-51.1981111111
226.13,-88.4353333332,-51.9273333333,-58.9571111111,-0.906777777777,-95.9184444445,-70.2947777778,-42.1768888889,-43.3105555556,-9.2971111111,-65.7597777778
226.51,-81.2635555557,-44.4445555556,-56.6448888889,2.17866666668,-81.9172222222,-62.9628888889,-38.3442222222,-33.5511111111,-7.84322222223,-58.1698888889
226.88,-38.0952222222,-18.783,-26.5874444444,8.5977777778,-42.0635555555,-32.275,-17.4602222222,-10.4497777778,1.8518888889,-25.3967777778
227.26,-20.6222222222,-7.2,-17.3333333333,9.95555555556,-21.0666666667,-18.4888888889,-9.6,-0.266666666667,1.06666666665,-10.8444444444
227.64,-5.52344444445,2.95433333333,-6.80811111111,14.5794444444,-8.09255555557,-6.74388888889,-1.92688888889,7.64311111111,5.33088888889,-1.60555555555
228.01,-6.77066666667,-0.347222222233,-10.648,11.169,-11.2267777778,-8.39099999999,-2.19911111111,3.99311111111,1.27322222221,-4.05088888889
228.39,-3.48377777778,1.41244444445,-4.42566666667,13.5593333333,-4.75511111111,-4.14311111111,2.30711111111,7.53288888889,5.36711111111,-2.02466666667
228.76,-3.28277777778,0.12611111111,-3.83,11.5318888889,-5.51333333334,-4.08244444443,1.72555555556,6.31311111111,4.41933333332,-1.72566666667
229.14,-4.50577777778,-1.56544444445,-5.80366666667,8.85811111112,-6.8728888889,-4.811,-1.90911111111,3.70366666667,3.89466666667,-3.24555555555
229.52,0.812999999999,2.71011111111,-1.65988888889,11.5853333333,-0.745444444447,-0.034111111111,1.82933333333,7.18144444443,7.58822222221,1.96477777778
229.89,3.13711111111,5.196,-0.098111111109,13.7908888889,0.915000000001,3.072,3.889,7.51633333333,9.57533333332,3.72544444444
230.27,3.121,3.65166666666,-9.99940870846e-13,12.8587777778,-0.343444444442,3.33966666666,3.18344444444,5.68022222222,7.5218888889,2.965
230.65,3.14055555555,3.08155555556,-0.651888888889,11.2887777778,-0.533333333333,2.10366666667,1.95555555555,4.11844444444,5.926,2.60744444444
231.02,4.22866666667,4.89955555556,1.54555555556,12.3943333333,1.48733333333,4.05355555556,3.32455555555,4.637,7.55311111111,4.05366666667
231.40,5.77777777778,5.65911111111,3.49633333333,13.5704444445,2.84444444444,6.163,4.59277777778,5.00744444444,9.09633333332,4.85933333333
231.78,8.19688888888,8.59133333332,6.01077777779,15.4825555556,5.22155555556,8.89488888889,7.83244444444,7.07355555556,12.629,8.10555555557
232.15,10.8066666666,11.2328888889,8.24966666666,17.0473333333,8.12788888889,11.1414444444,9.467,8.58444444444,15.6772222222,9.74122222221
232.53,10.518,11.7038888889,6.71044444446,15.1998888889,6.46077777778,10.7678888889,7.99011111111,7.39699999999,14.6692222222,9.23844444447
232.90,10.3458888889,12.2131111111,6.91755555556,15.5188888889,7.04022222222,12.1213333333,7.59122222221,7.25444444443,14.0801111111,9.88677777778
233.28,11.1112222222,12.7025555556,7.75122222221,17.0352222222,8.60588888889,12.9973333333,7.69222222222,8.01655555555,13.7045555556,10.5806666667
233.66,5.70588888889,8.55866666667,4.38444444445,13.0628888889,4.20433333334,8.88899999999,3.36333333333,3.39333333333,9.24933333336,6.18611111111
234.03,2.70277777778,5.49533333333,2.58266666667,9.60966666666,1.86177777778,5.25522222222,1.05111111111,0.690666666667,6.66677777778,4.20411111111
234.41,3.52088888889,7.50355555556,3.521,9.63922222222,3.03033333333,5.13722222222,1.70277777778,1.70277777778,7.07077777778,5.28144444444
234.78,3.08177777778,7.43566666667,4.38244444444,9.41477777779,2.68577777778,5.711,1.66822222222,2.34644444445,6.98355555555,5.76755555555
235.16,1.22522222222,4.72933333333,2.02288888889,8.20533333332,0.05711111111,3.76055555556,-0.0855555555556,0.826222222223,4.61555555555,4.644
235.54,-2.60766666667,2.63588888889,-1.89911111111,5.35711111112,-3.68488888889,-0.0567777777777,-2.74944444444,-2.69266666667,1.67222222222,1.98411111111
235.91,-5.29355555555,-0.248222222221,-4.54922222222,3.03288888889,-6.31355555557,-2.84,-5.40388888889,-5.12822222222,-1.10277777778,-1.46122222222
236.29,-1.38244444444,2.99933333334,-0.234666666667,6.78144444443,-3.13,1.06944444445,-2.13866666667,-0.573666666668,1.98211111111,2.26911111111
236.66,-2.76444444444,1.85177777778,-0.912555555557,6.84399999999,-4.69666666666,-0.0267777777777,-4.05255555556,-1.74455555556,0.832,1.93244444444
237.04,-3.46877777778,0.840222222221,-1.46333333333,6.69366666668,-5.14911111112,-1.84266666667,-5.47422222222,-2.22233333333,0.162666666667,1.00288888889
237.41,-4.90777777778,0.193,-2.895,4.99044444445,-6.42399999999,-4.246,-6.20366666667,-2.45355555556,-0.496222222223,0.634111111112
237.79,-1.71744444445,3.22666666667,-0.28611111111,7.62433333334,-3.35666666666,-2.68011111111,-2.73222222222,0.338222222221,3.09677777778,4.31966666667
238.17,1.62888888889,5.68933333333,1.67744444444,8.89866666666,-1.28866666666,-0.461999999999,-0.607888888889,3.37933333333,5.68933333333,6.49177777778
238.54,4.05933333333,8.07244444444,4.36088888889,11.7837777778,1.27577777778,2.55155555556,1.53122222222,6.031,8.25799999999,9.13933333333
238.92,3.69655555556,7.721,3.91511111111,11.8547777778,0.634222222223,2.27466666667,1.70611111111,5.468,8.20222222222,7.874
239.29,3.59766666666,7.83133333332,3.31933333333,11.0116666667,1.05355555556,1.68955555556,1.51044444444,5.44622222222,7.45388888889,6.83777777778
239.67,5.50155555556,8.82044444445,5.62777777778,13.0052222222,3.337,4.25677777778,3.26466666667,7.77422222222,9.14511111111,9.27133333333
240.04,5.927,9.04377777777,6.50844444444,12.8393333333,3.82755555555,5.378,4.23111111111,7.89733333334,9.31866666668,10.2875555556
240.42,3.98488888889,6.64622222222,4.40655555556,10.2531111111,1.81811111111,3.694,3.11222222222,5.14844444445,7.11166666667,8.40611111111
240.79,4.28777777778,6.202,4.58622222222,9.48311111111,2.34888888889,4.64833333333,4.44933333333,5.15788888889,7.08422222222,8.26511111111
241.17,4.73288888889,6.38877777778,4.893,9.45511111112,3.02344444444,5.51277777778,5.26711111111,5.63044444445,6.98711111111,8.40811111111
241.54,4.42755555556,5.46088888889,4.68344444445,9.10122222222,2.85377777778,5.52722222222,5.02466666667,4.77811111111,6.20966666666,8.03944444444
