wavelength,Back_SicTacm,Belly_SicTacm,Breast_SicTacm,Crissum_SicTacm,Crown_SicTacm,DorTail_SicTacm,Patch10_SicTacm,Rump_SicTacm,Throat_SicTacm,WingTip_SicTacm
643.85,20.4498166667,63.9316,41.1746666667,48.6421666667,16.4379333333,20.7502234649,16.1256,22.8368666667,60.6825333333,16.9317444444
644.18,20.3967666667,63.8888666667,41.2020666667,48.6345833333,16.4349333333,20.7699524123,16.0636,22.7811333333,60.7967333333,16.9089222222
644.51,20.2711166667,63.8618666667,41.1211333333,48.5808333333,16.319,20.6836120614,15.9458666667,22.7052,60.7614666667,16.8203333334
644.84,20.3472333333,63.9676,41.2354,48.63575,16.3939333333,20.7810546053,16.0176,22.7886,60.8214,16.9249555555
645.17,20.2879333333,63.9093333333,41.1824,48.6839166666,16.3539333333,20.7204263158,16.0008666667,22.7228,60.8451333333,16.9139111111
645.50,20.2675166667,63.8396666666,41.1844666667,48.62,16.3562666667,20.6911774123,15.9644666667,22.6702,60.8817333333,16.8585777778
645.83,20.35035,63.7420666667,41.1493333333,48.5236666667,16.3706,20.715341886,16.0366666666,22.6250666667,60.839,16.8690222222
646.16,20.38865,63.6589333333,41.1148666667,48.44375,16.3720666667,20.7605094298,16.0354666667,22.6319333333,60.7104666667,16.8834555556
646.49,20.4575333333,63.6927333333,41.1628666667,48.5093333333,16.4656,20.8637364035,16.0883333333,22.6821333333,60.7646666667,16.9179777778
646.82,20.5232833333,63.644,41.179,48.5379166667,16.5334666667,20.902091886,16.1656,22.738,60.6953333333,16.9977111111
647.15,20.5787333333,63.6747333333,41.2644666667,48.5606666667,16.5996666667,20.9482217105,16.2007333333,22.7664666667,60.7422666667,17.0719333333
647.48,20.7090666667,63.8723333334,41.4072,48.6955,16.6841333333,20.9916515351,16.3096666667,22.8442666667,60.8448,17.1426333333
647.81,20.7724333333,63.8606666667,41.3687333333,48.66825,16.7419333333,20.9848153509,16.3976,22.9021333333,60.758,17.2106222222
648.14,20.9101833333,63.8506,41.3933333333,48.6116666667,16.8522666667,21.0522199561,16.5346666667,22.9576666667,60.7263333333,17.3391
