wavelength,Back_PorCaem,Belly_PorCaem,Breast_PorCaem,Crissum_PorCaem,Crown_PorCaem,DorTail_PorCaem,Rump_PorCaem,Throat_PorCaem,WingTip_PorCaem
608.59,9.3818,9.55606666666,8.88033333334,9.60746666667,8.77353333334,7.24446666666,9.13146666667,9.87599999999,7.83553333333
608.92,9.3756,9.54346666667,8.87086666667,9.6056,8.76186666666,7.2646,9.13193333334,9.85846666666,7.83693333333
609.26,9.37446666666,9.55573333334,8.86653333333,9.61820000001,8.75213333333,7.29106666667,9.1244,9.84926666667,7.8466
609.59,9.37906666666,9.55686666667,8.87926666667,9.62853333333,8.72366666667,7.322,9.12666666666,9.83939999999,7.85353333333
609.93,9.40213333333,9.58846666667,8.9156,9.66666666667,8.75106666667,7.38366666667,9.14573333334,9.87953333333,7.9172
610.26,9.38806666666,9.57413333333,8.9044,9.64146666667,8.71580000001,7.38353333333,9.12653333333,9.86933333333,7.92086666667
610.60,9.36480000001,9.56373333334,8.8812,9.6234,8.68699999999,7.385,9.117,9.84253333333,7.91753333333
610.93,9.34326666667,9.55366666667,8.86673333333,9.59393333334,8.65500000001,7.38993333333,9.10886666667,9.82913333333,7.91553333333
611.27,9.35099999999,9.50273333333,8.84106666667,9.55686666667,8.62273333333,7.3794,9.10106666667,9.81093333333,7.90086666667
611.60,9.35733333334,9.4914,8.84393333333,9.53873333334,8.59453333334,7.38426666667,9.09726666667,9.80453333333,7.91053333333
611.93,9.34493333333,9.47699999999,8.79973333333,9.52906666667,8.58833333333,7.38906666667,9.0678,9.78853333333,7.902
612.27,9.26533333334,9.42453333333,8.73313333333,9.46653333333,8.50946666667,7.336,8.9908,9.72039999999,7.84646666666
612.60,9.23786666667,9.38646666667,8.69933333334,9.44113333333,8.4734,7.3126,8.9516,9.70533333334,7.82066666667
612.94,9.17553333333,9.31366666667,8.64686666667,9.39226666667,8.40973333333,7.2572,8.888,9.6648,7.7824
613.27,9.14713333333,9.2854,8.61466666667,9.37213333333,8.42579999999,7.21793333333,8.85873333333,9.65353333333,7.76166666667
613.61,9.1508,9.2716,8.59953333333,9.37233333333,8.4154,7.22966666667,8.86366666667,9.64140000001,7.75526666667
613.94,9.16033333333,9.27806666667,8.6312,9.39613333333,8.43640000001,7.25786666667,8.8708,9.65353333334,7.7614
614.28,9.18653333333,9.31086666667,8.662,9.42213333333,8.4648,7.2974,8.87993333333,9.7004,7.78973333333
614.61,9.15766666667,9.262,8.6502,9.4134,8.42826666666,7.25533333333,8.861,9.69413333333,7.76806666667
614.94,9.1674,9.29733333333,8.66553333333,9.43786666667,8.46906666666,7.27213333333,8.8852,9.72713333333,7.81633333333
615.28,9.22873333333,9.36886666667,8.73086666667,9.52159999999,8.56226666666,7.34293333333,8.96206666666,9.80379999999,7.91606666667
615.61,9.26973333333,9.38786666667,8.77566666667,9.53873333334,8.56906666666,7.3534,9.00193333333,9.83453333334,7.9472
615.95,9.33273333333,9.45346666666,8.84373333333,9.58213333334,8.62566666667,7.41953333333,9.09233333333,9.91393333334,8.04206666667
