wavelength,Back_DelCasm,Belly_DelCasm,Breast_DelCasm,Crissum_DelCasm,Crown_DelCasm,DorTail_DelCasm,Patch10_DelCasm,Patch11_DelCasm,Rump_DelCasm,Throat_DelCasm,WingTip_DelCasm
775.67,13.4605333333,54.8065333333,53.2856,50.8001333334,17.2708,14.7906666667,9.61306666667,15.7181333333,13.3545333333,46.0464666667,17.2602
775.98,13.3062666667,55.2079333333,53.5386,50.9455333333,17.0610666666,14.2950666667,9.24913333335,15.3429333333,12.9767333334,46.2667333334,16.7423333333
776.30,12.8188666667,54.9644666667,53.6287333333,50.9688666667,16.6886,14.0448,8.97653333334,14.9096,12.6984,45.9495333333,16.4914666667
776.61,12.1344666666,54.986,53.5519333333,50.902,16.0897333333,13.6078,7.83746666667,14.1457333333,11.8096666667,45.9664,15.7479333333
776.92,11.9695333333,55.2009333333,53.5201333333,50.9678666667,15.9933333333,13.3560666666,7.39673333333,13.5201333333,11.5110666667,46.1742,15.7102
777.23,11.0639333333,53.7004,51.9728666667,49.4552666667,14.8348,12.3568,6.0456,12.5091333333,10.4826666667,45.1651333333,14.2590666667
777.54,9.76173333332,53.2989333333,51.4097333333,48.952,13.6204,11.3235333333,4.49026666667,11.0363333333,8.88886666667,44.3297333333,13.0404666667
777.85,9.48793333334,53.0642666667,51.2732666667,48.2232,13.5737333333,10.9127333333,3.88546666667,10.8841333333,8.4748,44.0343333333,12.9328
778.16,10.4134666667,53.7439333333,52.0900666667,48.7082,14.1716666667,11.5825333333,4.82473333333,11.8848,9.2444,44.8589333333,14.0919333334
778.47,10.2054666667,53.5388666667,52.1574,48.5046,14.0126666667,11.2669333333,4.61173333333,11.9178666667,9.0924,44.5776666667,14.1038666667
778.78,9.60560000001,53.4968666667,52.2932666667,48.443,13.2164666667,10.4760666667,3.833,10.9494666667,8.68833333333,44.1251333333,13.4092666667
779.09,9.60913333332,54.0201333333,52.611,48.5849333333,13.3392666667,10.3079333333,3.75366666667,10.6987333333,8.8988,44.3339333333,13.6056666667
779.40,10.4507333333,54.4958,53.2562666667,49.1458,14.1636,11.1506666667,4.48986666667,11.3167333334,9.53726666667,44.9702,14.6382666667
779.71,10.2125333333,54.3874666667,52.9978666667,48.8829333333,13.7525333333,10.9253333333,4.31266666667,11.0990666667,9.34426666668,45.1451333333,14.4293333333
780.02,10.14,54.0184,52.7910666667,48.1442,13.7861333334,10.9264666667,4.70053333333,11.0692,9.55006666667,44.5813333333,14.7216
780.33,8.96413333334,54.022,52.9008,47.9158666667,13.0896,10.4388,3.89993333333,10.4936,8.77513333335,44.089,14.156
780.64,8.89306666667,55.2837333333,54.2114,49.0059333333,13.2580666667,11.0880666667,4.0576,10.7243333333,9.2192,44.8290666667,14.9829333333
780.95,9.68839999999,56.1096,54.7624,49.7512,14.0383333333,11.8601333333,4.77813333333,11.514,10.1291333333,45.458,15.5239333333
781.26,9.4608,55.5343333333,54.0414666667,49.8756,13.7862666667,11.5661333333,4.638,11.362,10.0989333333,45.5375333333,15.1259333333
781.57,8.95613333333,55.3172,53.6454666667,50.0682,13.5349333333,10.8747333333,3.97393333333,11.0113333333,9.574,45.0730666667,14.4
781.88,8.6454,55.4979333333,53.7185333333,50.0929333333,13.2803333333,10.6905333333,3.46606666667,10.5378,9.62153333333,44.9070666666,14.336
782.19,8.99173333333,55.819,54.0501333333,50.8877333333,13.9296,11.33,4.13413333333,11.1692,9.89619999999,45.3333333333,15.0283333333
782.50,9.23639999999,55.2390666667,53.7118,50.6174666667,14.3160666667,11.7065333334,4.7144,11.5802666667,10.3321333333,45.0863333333,15.3651333333
782.81,9.05279999999,54.6426666667,53.0010666667,50.2692666667,14.2639333333,11.5984666667,4.9852,11.6982666667,10.7145333333,44.5396,15.1014
783.12,10.0433333334,55.3687333333,53.7871333333,51.1112,15.2753333333,12.3324,5.8058,12.6929333333,11.6182,45.0450666667,15.8826
783.43,10.1358,55.5804,53.8900666667,51.5342666667,15.4445333333,12.2403333333,5.52606666667,12.7222666667,11.5344,45.3293333333,15.6756
783.74,10.5834,55.2644,53.3810666667,51.6547333333,15.9194,12.2484,5.9228,12.7669333333,11.3204,45.4657333333,15.5851333333
784.05,10.8197333333,54.7356666667,52.8726,51.3956666667,16.4159333333,11.9038666667,6.3956,12.9200666667,11.2330666667,45.0270666667,15.3319333333
784.36,10.1449333333,54.4582,52.6847333333,50.8696666667,15.6316666667,11.1456,5.8178,12.3050666667,10.5037333333,44.9138,14.9414
784.67,10.5112,55.3571333333,53.7604666667,51.4915333333,15.8963333333,11.3515333333,5.98753333333,12.5140666667,10.8052666667,45.5880666667,15.3571333333
784.98,10.7296,55.8673333333,53.9128,51.5323333333,16.1256,11.993,6.38746666667,12.7329333333,11.1274,45.7871333333,16.0209333333
785.29,10.2398,55.1895333333,52.8606666667,51.1297333333,15.6690666667,11.5816,6.2912,12.3114666667,10.4831333333,45.0817333333,15.7178
785.60,10.3919333333,55.6920666667,53.0836666667,50.8984666667,15.6435333333,11.5226666667,6.22966666667,12.2927333333,10.5653333333,45.2237333333,15.5602
785.91,10.274,55.8654666667,53.6733333333,51.1688666667,15.8514666667,11.6128666667,6.16013333333,12.3621333333,10.4336666667,45.3138666667,15.5324666667
786.22,10.735,56.3418666666,54.1676,51.323,16.3350666666,12.0890666667,6.64606666667,12.4307333333,10.6461333333,45.6821333333,15.9862666667
786.53,10.2783333333,56.3679333333,54.0189333333,51.317,15.8859333333,11.962,6.32026666667,11.8738,10.319,45.5329333333,15.6348666667
786.84,10.7686,56.7064,54.2876,51.5043333333,16.1763333333,12.6242,7.17686666667,12.2929333333,10.9476,45.9642666667,16.4679333333
787.14,11.2874666667,56.5072666666,54.2192666667,51.3638666667,16.2906,13.1166666667,7.75653333333,13.1422666667,11.9564666667,46.1503333333,17.2722
787.45,12.2968,57.4861333333,54.9968,52.1167333333,17.3308,14.4506666667,9.00686666666,14.4753333333,13.2775333333,47.2315333333,18.7460666667
787.76,13.3576,57.7817333333,55.2794666667,52.5234666667,18.2472,15.5031333334,10.0453333333,15.4003333333,14.2279333333,47.8695333333,19.5951333333
788.07,13.4821333333,57.8154,54.7857333333,52.6250666667,18.2262666667,15.8035333333,10.2916666667,15.3273333333,14.3868666667,47.4464666667,19.5772666667
788.38,13.4535333333,58.0120666667,55.3634666666,52.8828666667,18.3363333334,15.6937333333,10.3364,15.0330666667,14.4144666667,47.9819333333,19.4175333333
788.69,14.1682,58.7148,56.3903333333,53.6276,19.1052,16.3302666667,11.009,15.7418666667,15.111,48.7688,20.018
789.00,13.7496666667,58.3832,56.2594,53.5446,18.6907333333,15.8372666667,10.5519333333,15.602,14.6667333333,48.9232,19.9334666666
789.31,14.0006,59.1428666667,56.6085333333,54.2945333333,19.0756666667,16.2596,11.1539333333,15.8738666667,14.9800666667,49.5682666667,20.2632666667
789.62,13.856,58.8929333333,56.0209333333,54.0898,18.6408,16.3039333333,10.9778,16.1008,14.8463333333,49.3049333333,20.129
789.92,14.1238666667,58.8172,56.1407333333,54.0553333333,18.7862,16.4518,11.136,16.4332,14.8896,49.6484,20.579
790.23,13.7612,58.6972666667,56.041,54.1634,18.3526,16.1111333333,10.6896666667,16.4176,14.5018666667,49.4381333333,20.2362666667
790.54,13.2598666667,59.078,56.4662666667,54.5089333333,17.9022666667,15.8516666667,10.1402,15.8116,13.8008666667,49.6993333333,19.7662
790.85,12.3029333333,58.5062,56.0718666667,53.9971333333,16.5906666667,15.0207333333,9.08706666667,14.6196666667,12.87,49.1147333333,18.5338666667
791.16,11.3469333333,57.8276666667,55.9342666667,53.8693333333,15.9486,14.1978666667,8.25293333333,13.7406666667,12.0686666667,48.3958666667,17.8349333333
791.47,10.8277333333,57.6044,56.2051333333,53.956,15.8022666666,13.7802666667,7.63366666667,13.5458666667,11.5750666666,48.3369333333,17.6556
791.78,10.5671333333,56.6778,54.9871333333,53.1211333333,15.3385333333,13.2528,7.07653333333,13.4649333333,10.9916,47.2594666667,17.1020666667
792.08,9.83806666668,55.4011333333,53.6645333333,51.7072666667,14.2900666667,12.5828,6.38713333333,12.5755333333,10.0368666667,46.4385333333,15.9675333333
792.39,11.0846,55.5676,53.4706666667,51.6124,15.7556,14.4034666667,8.40926666666,14.0708666667,11.6558,46.6233333333,16.9486
792.70,10.445,54.7593333333,52.3054666667,50.5756,15.0199333333,13.7893333334,7.51346666667,13.5722,11.0749333333,45.9502,16.3445333333
793.01,10.8114666667,55.1828666667,52.8143333333,51.0673333333,15.7676,14.1593333333,7.54386666667,13.7938,11.3742,46.3305333333,16.7616666667
793.32,10.4782666667,54.9763333333,51.9532,50.6171333333,15.6333333333,13.8954,7.32386666667,13.3480666667,11.0111333333,45.6224666667,16.3054
793.62,10.9348,54.9927333333,52.1304,50.6086666667,16.2609333333,14.2172666667,7.65933333333,13.4058,11.4492666667,45.8334,16.6230666667
793.93,11.2401333333,54.7884,51.9283333333,50.6665333333,16.6164666667,14.2150666667,8.15053333333,13.7491333333,11.7563333333,45.5483333334,17.018
794.24,11.5514,54.9094666667,52.24,51.2530666667,17.6144,14.5332,8.29966666667,14.1711333333,12.0979333333,45.7436666667,17.6427333333
794.55,11.4752,55.3758666666,52.1986,51.5319333333,17.5462,14.5886,8.02126666667,13.9504666667,11.9433333334,46.0567333333,17.4823333333
794.86,11.5406,55.2242,51.9117333333,50.8894,17.5769333333,14.6008666667,8.0812,13.9005333333,11.9397333333,46.4284666667,17.3599333333
