wavelength,Back_HemXanm,Belly_HemXanm,Breast_HemXanm,Crissum_HemXanm,Crown_HemXanm,DorTail_HemXanm,Rump_HemXanm,Throat_HemXanm,WingTip_HemXanm
798.85,18.4528666667,58.5406666667,38.9713333333,38.7798666667,22.7751333333,20.1356,18.9713333333,41.3156666667,20.8773333334
799.16,18.3918666667,58.9333333333,39.6201333333,39.4101333333,23.1515333333,20.8403333333,19.4264,41.8908666667,21.5030666667
799.47,16.5834666667,58.0383333333,38.512,38.0465333333,21.6126666667,19.5843333333,17.5893333333,40.2826,19.8838
799.78,16.8447333333,57.88,38.8489333333,37.5734666667,22.087,20.3064,17.9212666667,40.0912,20.1904666667
800.08,17.9614,58.3969333334,39.3752,38.43,22.7045333333,21.1098666667,18.8162666667,40.4522,21.6852666667
800.39,18.1862666667,58.0124666667,39.1884666667,38.5507333333,22.0042,20.7949333333,18.7246,39.7680666667,21.706
800.70,17.5345333333,56.8134666667,38.541,37.3586,21.2996666667,19.8658666667,17.8364666667,38.6498666666,20.6457333333
801.00,17.9102666667,56.6921333333,38.6548,37.4112,21.4721333333,19.8646,17.8765333333,38.6125333333,20.533
801.31,18.1990666667,57.0995333333,39.3764666666,37.0042,21.2813333333,19.8788,17.9478666667,39.1082,20.3464666667
801.62,18.8787333333,56.9142666667,39.2959333333,36.2797333333,21.4862666667,20.0868666667,17.9922,39.3828666667,20.9213333334
801.92,18.4812,56.8654,38.5078666667,35.7352666667,20.9977333333,19.4084666667,17.2450666667,39.161,20.9802
802.23,19.7932,57.1748,38.9492,36.3566666667,22.6096666667,20.4994666667,18.1308666667,38.9749333333,22.2740666667
802.54,20.1298,56.6710666667,38.9364666667,36.4635333333,22.4210666667,20.026,18.1064,38.6252666667,22.0839333333
802.84,22.4634,58.4841333333,40.5513333334,38.6822,24.3754666667,22.1188666667,20.0430666667,40.4736666666,24.5306
803.15,22.6562,58.3377333333,40.2286666667,38.7334666667,23.7905333333,21.8029333334,19.701,40.4926666667,24.2305333333
803.46,22.2104666667,57.7631333334,39.7094,38.0272,23.7955333333,21.5323333333,19.5420666667,39.6654,22.7212666667
803.76,21.6578,57.8307333333,39.224,37.0812,24.1092,21.305,19.3475333333,39.1887333334,22.6454
804.07,22.2309333334,58.8492666667,39.8242666667,38.2696666667,24.9274666667,22.152,20.3338,39.7364666667,23.6978
804.38,21.4523333333,58.154,38.7663333333,37.8215333333,24.4969333333,21.8723333333,19.8774666667,39.0727333333,22.7734666667
804.68,19.9827333333,56.4022666667,36.9224,36.8271333333,23.0949333333,20.6068666667,18.2488666667,37.1392666667,21.2137333333
804.99,19.2962666667,56.4027333333,36.7283333333,37.5460666667,22.8672666666,20.4925333333,18.3554666667,37.0097333333,21.2226666667
805.30,19.7558,56.7714666667,37.391,38.1064666667,23.5514666667,20.8812,19.0837333333,37.4433333333,21.6492666667
805.60,19.9108666667,57.9234666667,38.0659333333,38.9572666667,24.1533333333,21.5507333333,19.4564,38.3333333333,21.8984666667
805.91,20.9460666667,59.1334666667,38.9124,39.9380666667,25.8179333333,22.9886666666,20.6896666667,39.4518666667,22.8293333333
806.21,21.2841333333,59.2963333333,39.4898,39.9648666667,26.1829333333,23.1574666667,21.5566666667,40.0263333333,23.1750666667
806.52,21.0638,59.61,39.8138666666,40.0708666667,26.0727333333,22.7748,21.6578666667,40.1596,23.2093333333
806.83,20.1162666667,58.9634,38.8026666667,39.3298666667,24.9955333334,21.8141333333,20.5542666667,39.6248,22.8954
807.13,20.4989333333,59.0020666667,39.5828,39.9546666667,25.4421333333,22.3582666667,20.9524,40.5442,23.8277333333
807.44,21.2097333333,59.3360666667,39.7636,40.0545333333,25.8209333333,22.8468,21.4278666667,40.9914,24.6656666667
807.74,22.1482666667,58.6772666666,40.3728666667,40.3817333333,26.5866666667,23.4887333333,22.459,41.4202666667,26.0008666667
808.05,22.8752666667,59.7189333333,41.1246666667,41.5237333333,27.5736666667,24.3265333333,23.7914666667,42.4308,26.9932
808.35,21.6484666667,58.1874666667,39.3624666667,39.6448666667,25.7376666667,22.8686666667,22.3862,40.938,25.0454666667
808.66,20.6740666667,56.8884,38.7442666667,38.7442,24.6261333334,22.0960666667,21.7915333333,40.3324,23.8874
808.97,19.2686,54.8240666667,36.9721333333,37.0462,22.4536,20.2592666667,20.4629333333,38.9537333333,22.1389333333
809.27,18.8622,54.396,36.7091333333,36.1448,21.7676666667,19.8871333333,19.8776666667,38.5989333333,21.984
809.58,18.6723333333,54.074,36.3060666667,35.9501333333,21.5970666667,19.4612666667,19.2786,38.028,21.7989333333
809.88,19.0585333333,53.6792666667,36.3496666667,36.5802,22.075,20.096,19.462,38.3094666667,22.267
810.19,20.6568666667,55.5588666667,38.549,38.9117333334,24.0489333333,21.8628,21.0294,40.4902,24.3921333333
810.49,21.3564666667,55.5716666667,38.4206666667,39.2249333333,24.3314666667,22.4032,21.3662666667,40.659,24.1181333333
810.80,21.721,56.8546,38.9715333333,40.178,25.0642666666,22.9674666667,21.7210666667,41.6915333333,24.9554666667
811.10,22.1633333333,58.8974666667,39.9999333333,41.1647333333,25.429,23.765,22.1218666667,42.8498,25.2938
811.41,23.6978,60.4584666667,41.4062,42.6876,26.8542,24.9374666667,22.8646,44.4063333333,26.8126
811.71,25.2278,61.3976,43.1366666667,44.3788,28.4988666667,26.2008,23.7474,45.5176,28.2712
812.02,25.7424666667,62.648,43.3748,45.1297333333,28.8577333333,26.7392666667,23.8108666667,46.0437333333,28.9616
812.32,25.5221333333,63.2232666667,43.6955333333,44.8398666667,29.1127333334,27.1286,23.9370666667,46.2677333333,29.7954
812.63,24.4831333333,62.5105333334,42.6478,44.0610666667,28.3122666667,26.403,23.0168,44.8839333334,29.0717333333
812.93,24.2490666667,61.957,41.7583333333,43.0978666667,28.1948,26.405,22.4489333333,43.8932666667,28.4770666667
813.24,23.455,61.7538,41.4474,42.7153333333,27.8078,25.9588,22.1341333333,43.349,28.4098666667
813.54,22.8998666666,61.2198,40.8346666667,42.2686,26.6024,24.6014,21.5516,42.1507333333,26.9876666667
813.85,23.8397333333,63.3833333334,42.5264666667,44.0177333333,27.6683333333,25.4089333333,22.2259333333,43.6504666667,27.7462
814.15,23.5333333333,62.6889333333,41.9999333333,43.5222,27.6778,25.0333333333,21.6,42.9111333333,26.9555333333
814.46,23.5856,62.3903333333,41.8092,43.2785333333,28.0153333333,24.7368,21.5791333333,42.3904666667,27.0286666667
814.76,23.2619333333,61.977,41.7682666667,42.4932,27.699,24.8984,21.7462666667,42.1635333333,27.1938666667
815.07,21.6751333333,61.7650666667,41.0006,40.8994666667,26.4980666667,24.1708666667,20.4385333333,41.72,26.1045333333
815.37,22.5199333334,63.1385333333,42.2794666666,41.7297333333,27.9152666666,25.1087333333,21.3174,42.1306666667,26.9301333333
815.68,23.4518,63.2939333333,43.0457333333,42.9440666667,28.5842666667,26.0687333333,22.2899333333,42.6058,27.1742666667
815.98,22.9629333333,62.2784,42.4467333333,42.7721333333,27.8451333333,25.2186,21.8518666667,42.2108666667,26.981
816.29,21.5110666667,60.6334,42.3778,42.0333333333,26.589,23.9111333333,21.1222,41.6111333333,25.8778
816.59,23.0995333333,61.7400666667,43.7085333333,43.2190666667,28.0152666667,25.0571333333,22.2729333333,42.5014,26.7754666667
816.89,22.656,61.4293333333,43.52,42.208,28.2986666667,25.3866666667,22.2933333333,42.816,27.008
817.20,20.3344,59.4357333333,41.6928,39.9581333333,26.322,23.7512666666,20.3344666667,40.6479333334,25.0574666667
817.50,20.3676,59.3568,41.8682666667,39.7039333333,25.9213333333,24.0632666667,20.5717333333,40.878,24.5227333333
817.81,19.6983333333,58.8436,40.9552666667,39.1956666667,24.8566,23.278,19.1655333333,40.4424,23.3180666666
818.11,17.5479333333,57.0458,39.1432666666,37.4002,22.826,21.0143333333,16.7306666667,38.4540666667,21.0832666667
818.41,17.3946,56.5326,38.7259333333,37.2988,22.3179333333,20.048,15.8429333333,38.2663333334,20.249
818.72,17.8837333333,56.3942666667,38.7374666667,37.5112,22.1434666667,20.0452,15.8764,38.9281333334,20.4542666667
819.02,17.3902,56.2014666667,38.0792666667,37.1319333333,21.7571333333,19.1386666667,15.2798666667,38.6735333333,19.845
819.33,18.5704,57.3582666667,38.8501333333,37.5678666667,22.4086,20.0155333333,16.5190666667,39.5647333333,20.7304666666
819.63,19.7479333333,57.9238,38.859,38.1888666666,22.8988666667,21.0879333333,17.6184,39.9668666667,21.9238666667
819.93,19.6186,57.6230666667,38.7838666667,37.7778666667,22.8634666667,21.2105333333,17.8052666667,39.8563333333,22.0730666667
820.24,20.032,58.0206666667,39.047,38.4283333333,23.3952666667,21.7092,18.3780666667,40.0046,22.6894
820.54,20.8872,58.7827333333,39.6543333333,39.2280666667,24.1434666667,22.523,19.4816,40.8909333333,23.6635333334
820.85,21.3788666667,59.021,40.0651333333,39.8016666667,24.5822,23.0146,20.3446666667,41.3658,24.4846
821.15,21.5670666667,58.9181333333,40.159,39.9052666667,24.8738,23.2176666667,20.8392,41.5112666667,24.7372666667
821.45,22.1460666667,59.4143333334,40.6078,40.4627333334,25.5788666667,23.9300666667,21.5134,41.9835333333,25.2392666666
821.76,22.5344666667,59.7695333333,40.9641333333,40.8613333333,26.0895333333,24.4586,22.1431333333,42.266,25.7763333333
822.06,22.1841333333,59.2235333333,40.4900666667,40.5190666667,25.8632666667,24.2168,21.8456666667,41.7128,25.3814666667
822.36,22.1681333333,59.2732666667,40.5405333333,40.6177333333,25.936,24.2946,21.9463333333,41.774,25.5341333333
822.67,22.1714666667,59.2472,40.5732666667,40.7526666667,26.0972,24.3389333333,22.0208666667,41.8144666667,25.5452666667
822.97,22.3011333333,59.6275333333,40.7742,41.0225333333,26.3814666667,24.4683333333,22.2350666667,42.1478666667,25.6868
823.27,22.4014666667,59.892,40.8039333333,41.2936,26.4927333333,24.5791333333,22.3617333333,42.2635333333,25.7488666667
823.58,22.7058,60.1242666667,40.9896666667,41.6256,26.7444666667,24.8095333333,22.6131333333,42.4973333333,25.9190666667
823.88,22.6996,59.9842,40.9935333333,41.7351333333,26.9094666667,24.8326,22.6096,42.3669333333,25.9655333333
824.18,22.3230666667,59.8599333333,40.6972,41.5592666667,26.7404,24.4592,22.0896,42.0011333333,25.6623333333
824.49,22.1027333333,59.8695333333,40.633,41.4996666667,26.6748,24.314,21.9342666667,41.8174666667,25.6507333333
824.79,22.1634,59.7998,40.5408666667,41.4162666667,26.7354,24.1774666667,22.035,41.8437333333,25.8090666667
825.09,22.3908666667,59.7453333333,40.522,41.4886,26.9213333333,24.4016666667,22.2008,41.9203333333,25.8354666667
825.39,22.9842666667,60.8864,41.2636,42.3874,27.5812,24.9738666667,22.9598666667,42.7609333333,26.5304666667
825.70,23.6668,61.3449333333,41.5417333333,42.5734,28.1172666667,25.4564,23.4008,43.2075333333,26.8343333333
826.00,23.8282,60.8559333333,41.3932666667,42.2345333333,28.0044,25.6401333333,23.4796666667,42.9646,26.8890666667
826.30,24.0366,60.4960666667,41.4401333333,42.1264,27.9312666667,25.566,23.5143333333,42.8577333333,26.7302
826.61,24.4044666667,60.6676666667,41.6844666667,42.1946666667,28.1412,25.8714666667,23.8004,43.2978,26.9556
826.91,24.4657333333,60.7072666667,41.6628666667,42.0805333334,28.1940666667,26.1174666667,23.9954666667,43.5025333333,27.1896666667
827.21,24.2912,60.6081333333,41.2924,41.6078,27.7309333333,25.9028,23.8122,43.2041333333,26.8262
827.51,24.5616666666,60.5871333333,41.4098666667,41.5450666667,27.8022666667,26.1568,23.9937333333,43.2638,26.7632
827.82,25.1003333334,61.0522,41.7068666667,42.0040666667,28.3252666667,26.7751333333,24.2650666667,43.7188666667,26.9598666667
828.12,25.0202666667,61.0133333333,41.5620666667,42.2250666667,28.2836666667,26.9410666667,24.1462666667,43.479,26.7342666667
828.42,25.2953333333,61.8511333333,42.0683333333,42.7698666667,28.5585333333,27.3408666667,24.4716,43.8832666667,27.1419333333
828.72,25.3856,61.2714,41.8902666667,42.4316,28.702,27.3917333333,24.5637333333,43.8433333333,27.2854
829.02,25.2544,60.9644666667,41.6706,42.4454,28.6324,27.3886666667,24.5429333333,43.921,27.3518666667
829.33,25.7833333333,62.5724666667,42.4052,43.79,29.3704666667,28.0872,25.0014666667,44.9596,28.1228
829.63,25.8492666667,62.8878,42.6732666667,44.2412666667,29.5812,28.8173333333,24.9382666667,45.1390666667,28.603
829.93,24.7576666666,62.1194666666,41.9166,43.6002,29.3723333333,28.2751333333,24.1113333333,44.3066666666,28.0345333333
830.23,23.668,61.2061333333,41.3960666667,42.8995333333,28.8640666667,27.3276666667,23.0233333333,43.5357333334,27.3936
830.54,23.365,61.402,41.2302,43.2022666667,29.3894,27.3451333333,22.2976,43.9167333333,27.5352
830.84,23.2570666667,61.7809333333,40.9808666666,43.3144,29.4286,27.2572,22.0381333333,44.1808666667,27.6285333333
831.14,22.9015333333,61.7468,40.6015333333,42.62,28.6172,26.4240666666,20.9607333333,43.5711333333,26.9577333333
831.44,23.4002666667,62.5118,41.3086666667,42.9034666667,29.3791333333,27.0487333333,21.872,44.6130666667,27.8988
831.74,22.5475333333,60.7409333333,39.9456666667,41.6711333333,28.8076,25.9349333333,20.9846666667,43.6132,26.9106
832.04,22.2280666667,61.8812,40.7456666667,42.0459333333,28.3224666667,25.8865333333,20.6674666667,44.0572,26.9008
