wavelength,Back_LoxAnom,Belly_LoxAnom,Breast_LoxAnom,Crissum_LoxAnom,Crown_LoxAnom,DorTail_LoxAnom,Patch10_LoxAnom,Rump_LoxAnom,Throat_LoxAnom,WingTip_LoxAnom
595.82,15.7323333333,10.4560833333,7.17625,16.4588333334,6.098,8.61600000001,27.03725,17.7739166667,5.72316666666,11.5655833333
596.16,15.70625,10.4191666667,7.17216666667,16.4626666667,6.08125,8.60641666667,27.0363333333,17.7478333333,5.70675,11.5739166666
596.50,15.7145,10.40125,7.15533333333,16.48425,6.06833333333,8.59408333333,27.0764166667,17.7594166667,5.68833333333,11.5561666667
596.83,15.738,10.4015,7.19391666667,16.5476666666,6.11391666667,8.62533333332,27.1256666666,17.8005833333,5.69858333333,11.5826666666
597.17,15.7351666667,10.4283333333,7.20408333333,16.5706666666,6.11641666667,8.64983333334,27.1624166667,17.79725,5.695,11.5924166666
597.51,15.75425,10.4390833333,7.20516666666,16.614,6.11708333333,8.66474999999,27.2001666667,17.8215833333,5.69683333333,11.6230833333
597.84,15.7923333333,10.48275,7.2585,16.6789166667,6.15925,8.69441666666,27.259,17.8576666667,5.72633333333,11.6575833333
598.18,15.8086666667,10.5390833333,7.31591666667,16.7520833333,6.22183333333,8.73266666667,27.3130833333,17.91175,5.77675,11.70325
598.52,15.793,10.5561666667,7.36133333333,16.8223333333,6.247,8.75891666666,27.3164166667,17.9306666667,5.80758333333,11.7304166667
598.85,15.8151666667,10.57725,7.40291666667,16.8960833333,6.29575,8.80799999999,27.3389166667,17.9729166667,5.84916666667,11.7944166667
599.19,15.843,10.62,7.45041666667,16.9585833333,6.35475,8.82900000001,27.3829166667,18.0063333333,5.8955,11.8266666667
599.53,15.8665833333,10.632,7.46791666667,17.015,6.36116666667,8.83958333333,27.422,18.0351666667,5.89658333333,11.8694166667
599.86,15.8626666667,10.6454166667,7.44741666667,17.0465,6.33908333333,8.81691666666,27.3825833333,18.0340833333,5.88966666666,11.8491666666
600.20,15.8788333333,10.6901666667,7.46708333333,17.1194166667,6.36141666666,8.83833333333,27.42925,18.0671666667,5.89225,11.873
600.53,15.88325,10.7029166667,7.44008333334,17.1469166667,6.32225,8.80983333334,27.4065,18.0503333333,5.85016666667,11.8663333333
600.87,15.8848333333,10.6675833333,7.4405,17.2046666667,6.29341666667,8.80366666667,27.3729166667,18.0646666667,5.81583333334,11.8498333334
601.21,15.8793333334,10.6763333333,7.43566666666,17.2440833333,6.30383333333,8.81066666666,27.33425,18.0588333334,5.80933333334,11.8515
601.54,15.8680833334,10.6778333333,7.40083333333,17.27825,6.2955,8.81316666666,27.3046666667,18.0408333333,5.79133333333,11.8648333334
601.88,15.8446666667,10.6580833333,7.37125,17.289,6.25291666667,8.80041666666,27.3080833333,18.0266666667,5.74708333333,11.8634166667
602.21,15.8564166666,10.639,7.3235,17.30075,6.23516666667,8.80450000001,27.3174166667,18.01325,5.72066666667,11.8556666667
602.55,15.8485,10.6498333333,7.33766666667,17.3406666667,6.21183333333,8.8165,27.3226666667,18.004,5.71325,11.865
602.88,15.84725,10.6380833333,7.32983333333,17.38175,6.1895,8.8375,27.2926666667,18.02725,5.70841666667,11.87825
603.22,15.8544166667,10.6371666667,7.36308333333,17.4364166667,6.19975,8.83616666668,27.30925,18.0385833333,5.714,11.9089166667
