wavelength,Back_PhrCarf,Belly_PhrCarf,Breast_PhrCarf,Crissum_PhrCarf,Crown_PhrCarf,DorTail_PhrCarf,Rump_PhrCarf,Throat_PhrCarf,WingTip_PhrCarf
197.78,93.59,-129.487,60.2563333333,91.0256666667,39.7436666667,71.795,43.5896666667,-7.692,94.872
198.16,73.3333333333,-181.666666667,53.3333333333,101.666666667,-15.0,78.3333333333,28.3333333333,-73.3333333333,78.3333333333
198.54,192.857,-230.952666667,95.2383333333,161.905,23.8093333333,147.619,116.666666667,-80.9523333333,138.095
198.92,-300.0,833.333333333,-53.3333333333,-220.0,200.0,-106.666666667,-53.3333333333,546.666666667,-93.3333333333
199.30,-106.060333333,342.424,-130.303333333,-100.0,103.030333333,-106.060333333,-27.2726666667,224.242333333,-48.4846666667
199.68,-29.8846666667,141.379333333,-45.9766666667,-24.138,65.5173333333,-26.437,16.092,83.908,-29.8846666667
200.06,-130.303,287.879,-175.757666667,-263.636333333,93.9393333333,-127.272666667,-69.697,45.4546666667,-142.424
200.44,416.666666667,-244.444333333,594.444333333,650.000333333,-66.6666666667,477.777666667,316.666666667,166.666666667,266.666666667
200.82,-47.3683333333,182.456,-85.965,-42.105,129.824333333,-24.5613333333,-22.807,87.7196666667,3.50833333333
201.19,-9.52366666667,123.809666667,-84.5236666667,4.762,69.0473333333,-21.4286666667,-10.7143333333,44.0476666667,3.57133333333
201.57,3.92166666667,80.3923333333,-48.3656666667,15.0326666667,44.4443333333,1.961,5.22866666667,32.0263333333,12.4183333333
201.95,-33.3333333333,52.688,-121.505333333,-19.355,18.2796666667,-75.2686666667,-41.9356666667,5.37633333333,-37.6343333333
202.33,-29.885,60.9196666667,-139.080333333,-12.6436666667,10.345,-75.8623333333,-51.724,-4.59766666667,-44.8273333333
202.71,-151.852,155.555666667,-581.481333333,-103.703666667,-29.6296666667,-266.666666667,-200.0,-170.37,-251.852
203.09,566.666666667,-466.666666667,2883.33333333,533.333333333,383.333333333,1100.0,1150.0,1183.33333333,1166.66666667
203.47,-683.333333333,733.333333333,-3033.33333333,-1083.33333333,-600.0,-1233.33333333,-1250.0,-916.666666667,-1066.66666667
203.85,100.0,-233.333333333,852.380666667,266.667,90.4763333333,319.048,314.285666667,261.904666667,128.571666667
204.22,193.333333333,-213.333333333,1133.33333333,280.0,60.0,380.0,433.333333333,233.333333333,226.666666667
204.60,-33.3333333333,96.4913333333,-236.842,-7.01766666667,14.0346666667,-61.4033333333,-61.4036666667,22.807,-66.667
204.98,-187.879,87.879,-403.03,-124.242333333,-0.00033333333333,-209.090666667,-178.787666667,-84.8483333333,-163.636666667
205.36,1316.66666667,-650.0,1666.66666667,900.0,0.0,650.0,716.666666667,100.0,1283.33333333
205.74,129.824666667,-75.4386666667,170.175,94.7366666667,24.5613333333,56.1406666667,56.1403333333,15.7893333333,131.579
206.12,633.333333333,-1366.66666667,1383.33333333,316.666666667,50.0,150.0,-150.0,100.0,733.333333333
206.50,142.222333333,-57.7776666667,306.666666667,115.555666667,111.111333333,88.889,44.4446666667,91.1113333333,151.111333333
206.87,119.298333333,-3.509,252.631666667,100.0,110.526333333,82.4563333333,40.3506666667,21.0526666667,129.824666667
207.25,168.055666667,15.278,212.500333333,115.277666667,119.444666667,122.222333333,86.1113333333,30.5556666667,154.167
