wavelength,Back_TanCalf,Belly_TanCalf,Breast_TanCalf,Crissum_TanCalf,Crown_TanCalf,DorTail_TanCalf,Patch10_TanCalf,Rump_TanCalf,Throat_TanCalf,WingTip_TanCalf
621.28,5.08158333333,11.3005,9.47225000001,6.34475,68.1564166667,5.80275,10.8725833333,94.3673333333,10.7915,7.51877083333
621.62,5.11875,11.3113333333,9.47858333334,6.34875,68.15375,5.81933333333,10.906,94.1713333334,10.78125,7.55983333333
621.95,5.1335,11.2735,9.44683333334,6.3545,68.02875,5.81125,10.8595,93.7669722222,10.7405,7.5239375
622.28,5.17608333333,11.28325,9.49883333334,6.38183333333,68.0533333333,5.83825,10.8830833333,93.6084166667,10.7695833333,7.558625
622.62,5.22908333333,11.3561666667,9.54341666668,6.43625,68.0804166667,5.8945,10.9246666666,93.4859444445,10.7844166667,7.63033333333
622.95,5.23975,11.3729166667,9.55391666666,6.43891666667,68.0685,5.90833333333,10.943,93.2730277779,10.8071666667,7.6418125
623.28,5.27058333333,11.4013333333,9.56258333332,6.46066666667,68.068,5.91466666667,10.9894166667,93.0303888887,10.8293333333,7.64866666667
623.62,5.34775,11.4456666667,9.59825000001,6.52725,68.1801666667,5.97566666667,11.03825,93.0633333333,10.87175,7.70754166666
623.95,5.36441666666,11.4856666666,9.60541666667,6.53933333333,68.10575,6.00266666667,11.0416666667,92.7988055555,10.8855,7.72229166666
624.28,5.34383333333,11.4675,9.54383333333,6.53641666666,68.0590833333,5.99058333333,10.9965,92.5511666667,10.862,7.71922916667
624.62,5.34358333333,11.4751666667,9.50733333333,6.53416666667,68.0184166666,5.98975,11.0314166667,92.3479166666,10.8601666667,7.732
624.95,5.34341666667,11.51675,9.50025,6.55066666667,68.1051666667,5.98916666667,11.0365,92.3789444445,10.884,7.740125
625.28,5.32983333333,11.5419166667,9.53733333332,6.57275,68.1295,5.97775,11.0345,92.2516111112,10.9143333334,7.74877083333
625.61,5.362,11.57575,9.55491666668,6.61433333333,68.1513333333,6.00425,11.0775833333,92.2097500001,10.958,7.82877083333
625.95,5.432,11.6513333333,9.61133333332,6.68141666667,68.15025,6.06333333333,11.1126666667,92.0241388889,11.0165,7.89383333333
626.28,5.43208333333,11.624,9.60591666666,6.68833333333,68.1710833333,6.0625,11.1103333333,91.8917500001,11.0079166667,7.9085625
626.61,5.43766666667,11.5895833333,9.59833333334,6.68908333333,68.1871666667,6.06691666667,11.0871666666,91.669138889,10.9881666667,7.89908333333
626.94,5.39816666667,11.5808333333,9.56458333333,6.66666666667,68.25375,6.047,11.0445833334,91.5824722221,10.9579166667,7.87997916667
627.28,5.32683333333,11.5125,9.50174999999,6.56341666667,68.186,5.94441666667,10.9754166667,91.3386944443,10.8796666667,7.808875
627.61,5.32441666667,11.506,9.49474999999,6.59691666667,68.2471666667,5.92075,10.9909166666,91.2365833333,10.8895833333,7.8188125
627.94,5.30541666667,11.4704166667,9.46591666667,6.53733333333,68.1743333333,5.88508333333,10.969,90.9564722222,10.8523333333,7.77733333334
628.27,5.27358333333,11.43725,9.45975000001,6.52625,68.1428333333,5.82341666667,10.9309166667,90.7738888888,10.85175,7.74895833333
628.61,5.20416666667,11.3638333333,9.40508333332,6.475,68.0371666666,5.75575,10.8633333333,90.4119444445,10.77725,7.69195833333
628.94,5.216,11.3389166667,9.3595,6.49675,67.9281666667,5.76266666667,10.8515,90.0502499998,10.7464166667,7.7056875
629.27,5.15508333333,11.3175833333,9.32050000001,6.46375,67.9668333333,5.74608333334,10.7970833334,89.8400555557,10.7384166667,7.66929166667
629.60,5.08008333333,11.236,9.26658333333,6.408,67.9553333333,5.70166666667,10.76125,89.646861111,10.68025,7.62485416667
629.94,5.0405,11.2165,9.25133333333,6.37491666667,67.9634166667,5.6655,10.7070833333,89.4631388889,10.666,7.55895833333
630.27,5.06233333334,11.2403333333,9.27491666668,6.40791666666,67.8705,5.69258333333,10.72725,89.1734166667,10.7135833333,7.6035
630.60,5.11366666666,11.2416666667,9.30433333332,6.45525,67.75075,5.73683333333,10.74625,88.8370833334,10.75775,7.63385416667
630.93,5.228,11.38375,9.42883333333,6.6115,67.7346666667,5.86533333334,10.8066666667,88.6064166666,10.8969166667,7.75202083334
631.26,5.27433333333,11.389,9.48708333332,6.60733333333,67.6946666667,5.91433333333,10.7906666667,88.3385,10.9135,7.78939583333
