wavelength,Back_ThrOrnm,Belly_ThrOrnm,Breast_ThrOrnm,Crissum_ThrOrnm,Crown_ThrOrnm,DorTail_ThrOrnm,Patch10_ThrOrnm,Patch11_ThrOrnm,Rump_ThrOrnm,Throat_ThrOrnm,WingTip_ThrOrnm
592.79,11.2468,26.2851333333,17.9796666666,23.0828,17.0024,10.9126,15.6379333333,29.8332,16.5632666667,20.3839333333,9.7316
593.13,11.2550666667,26.2692,17.9683333333,23.0524666667,17.009,10.9197333334,15.6432666666,29.8123333333,16.5416,20.4108666667,9.74013333333
593.47,11.2310666667,26.2639333333,17.9834666667,23.0342666667,16.9842,10.8982,15.5804666667,29.7326,16.5682,20.4175333333,9.75499999999
593.80,11.2058666667,26.1638,17.944,23.0181333334,16.9470666667,10.8732666667,15.517,29.6620666667,16.5058,20.3886,9.74666666668
594.14,11.1215333333,26.0335333333,17.8519333333,22.9256,16.8285333333,10.7507333333,15.4421333333,29.52,16.4179333333,20.2888,9.67353333334
594.48,11.0573333334,26.0193333333,17.8063333333,22.9132,16.7860666667,10.7091333333,15.4158,29.4756666667,16.3985333334,20.2476,9.61653333332
594.81,11.0625333333,26.0812,17.8567333333,22.9508666667,16.7996666667,10.7346,15.4549333333,29.5628,16.4204666667,20.3384666667,9.63353333333
595.15,11.0199333333,26.0898,17.8185333333,22.9180666667,16.7544,10.6928,15.428,29.5908666667,16.4143333333,20.3218666667,9.57926666666
595.49,10.9963333333,26.1165333333,17.8428,22.9364,16.7307333333,10.6643333333,15.4161333334,29.6219333333,16.4192,20.3323333333,9.57979999999
595.82,11.0034666667,26.0770666667,17.8328666666,22.9360666667,16.7242,10.6399333333,15.4046,29.6131333333,16.3958,20.3084,9.54453333335
596.16,11.044,26.1376666667,17.8886,22.9979333334,16.7861333333,10.7191333333,15.445,29.6825333333,16.4454,20.3748666667,9.62093333334
596.50,11.0836,26.1518,17.8945333333,23.0308,16.8074,10.7583333333,15.4534666667,29.6821333333,16.4532666667,20.4266666667,9.65079999999
596.83,11.0214,26.0799333333,17.8441333333,23.0044,16.7082666666,10.6972666667,15.3724,29.6148,16.4167333334,20.3598666667,9.60173333333
597.17,11.0126,26.0823333333,17.7858,23.0157333334,16.6943333333,10.6783333333,15.3764666667,29.6193333333,16.3763333333,20.3638666666,9.58146666665
597.51,11.0284,26.1266666667,17.7667333333,22.9905333334,16.6774666667,10.7179333333,15.3972666667,29.6341333334,16.3881333333,20.373,9.59206666667
597.84,11.098,26.2408,17.8660666667,23.1208666667,16.7757333333,10.8191333333,15.4908666667,29.7401333333,16.4966666666,20.4678,9.6556
598.18,11.0838666667,26.2312666667,17.8306,23.1302,16.7387333333,10.7877333333,15.4359333333,29.7275333333,16.4517333333,20.4564666667,9.62440000001
598.52,11.0532666667,26.187,17.7695333334,23.1061333333,16.7195333333,10.7626,15.3814,29.6567333333,16.4347333333,20.4236666667,9.6122
598.85,11.0941333333,26.1639333333,17.7965333333,23.1364,16.7154,10.7907333333,15.382,29.6538,16.3952,20.4358,9.6438
599.19,11.1631333333,26.2368666667,17.8451333333,23.2000666667,16.7682666667,10.8545333333,15.4533333333,29.7172,16.443,20.4850666667,9.68833333332
599.53,11.0959333334,26.2174666667,17.762,23.1203333333,16.6756,10.7933333333,15.3734,29.6019333333,16.3744666667,20.4366,9.64846666667
599.86,11.0930666667,26.2118666666,17.7502,23.1102,16.6663333333,10.7902,15.3962666667,29.6033333333,16.3973333333,20.4320666667,9.68360000001
600.20,11.0462,26.1799333333,17.7843333333,23.1014666667,16.6588666667,10.7789333333,15.3952666667,29.6060666667,16.3926,20.4240666667,9.67746666665
600.53,11.0037333333,26.2463333334,17.7614,23.0975333333,16.6722,10.7815333333,15.4019333333,29.5984666667,16.3734666667,20.4429333333,9.68153333334
600.87,10.9742,26.1963333333,17.727,23.0978666667,16.6545333334,10.7576666667,15.3825333333,29.5730666667,16.3494,20.4432666667,9.62346666667
601.21,10.9795333333,26.269,17.8047333333,23.1473333333,16.7282666667,10.8111333333,15.4252,29.5721333333,16.3824,20.5193333333,9.67553333333
601.54,10.9022666667,26.1783333333,17.6954666666,23.0538666667,16.6202666667,10.7270666667,15.3108666667,29.427,16.2910666667,20.4580666667,9.62306666666
601.88,10.8678666667,26.1504666666,17.7014,23.009,16.6038666667,10.7418,15.3326666667,29.4120666667,16.3130666667,20.4394,9.66166666666
602.21,10.8227333333,26.0882,17.645,22.9291333333,16.5000666667,10.6847333333,15.2765333333,29.3376666667,16.2254,20.3472,9.60573333333
602.55,10.8138,26.1378666667,17.6792,22.9382,16.5160666667,10.6752,15.2990666667,29.3234,16.2527333334,20.3869333333,9.6294
