wavelength,Back_PhrFrum,Belly_PhrFrum,Breast_PhrFrum,Crissum_PhrFrum,Crown_PhrFrum,DorTail_PhrFrum,Patch10_PhrFrum,Patch11_PhrFrum,Rump_PhrFrum,Throat_PhrFrum,WingTip_PhrFrum
740.86,13.6502166667,35.4835,9.48193333334,31.9556148148,9.95213333334,11.8233333333,11.0624,12.4256666667,15.9389333333,11.9530666667,16.1234
741.18,13.663975,35.6324333333,9.46539999999,32.1259111111,9.82713333333,11.7378666667,11.2279333333,12.3721666667,16.0104666667,12.0348,16.0254666667
741.49,13.9321083333,35.7447333333,9.57313333333,32.270437037,9.9345,11.9644666667,11.4497333333,12.5576333333,16.1613,12.2593333333,16.2162
741.81,13.7533583333,35.8083666667,9.55173333335,32.2268259259,9.73773333333,11.7525333333,11.247,12.5213333333,15.9012,12.1268,16.1467333333
742.12,13.5165333334,35.5958666667,9.40346666668,32.0896666667,9.70589999999,11.4022666667,11.1046666667,12.5202333333,15.6514666667,11.879,15.8353333333
742.44,13.3908166667,35.7572666667,9.30326666667,32.0446074074,9.58749999999,11.2280666667,10.8672666667,12.3832333333,15.4979,11.6530666667,15.7819333333
742.76,13.1461416667,35.5257666667,9.32146666667,31.8728037037,9.35256666667,11.0836,10.6811333333,12.0906333333,15.3641333333,11.4964,15.7072666667
743.07,13.128625,35.4983,9.47019999999,31.9599037037,9.2164,11.0118666667,10.6486,11.9960666667,15.2335,11.4559333334,15.834
743.39,13.26575,35.9193333333,9.86599999999,32.1586592592,9.55866666667,11.3025333333,10.736,12.2105,15.5274,11.7804666667,16.2116
743.70,12.997475,35.7612666667,9.80353333333,31.9628259259,9.55483333333,11.2574,10.5482,12.1538333333,15.3571333333,11.8005333333,15.9602666667
744.02,12.9146583333,35.9894666667,9.63619999999,31.8043851852,9.53569999999,11.4062,10.3586,12.0936333333,15.1896333334,11.7622,15.9366
744.34,13.156125,36.1027,9.69853333333,31.8197259259,9.77503333333,11.6646,10.3194,12.2933333333,15.0950666666,12.0008666667,16.1584666667
744.65,13.2408583333,36.3341666667,10.0181333333,31.9821740741,10.1117666667,11.9121333333,10.4260666666,12.5772666667,15.3013,12.2604666667,16.4899333333
744.97,13.2468583333,36.3625,10.2467333333,32.1225740741,10.2795666667,11.8838666667,10.4138,12.7341,15.4433,12.3646,16.6000666667
745.28,13.3711083333,36.4340333333,10.2602,32.4432074074,10.4732333333,11.9742,10.5942,12.7695,15.6913,12.4212666667,16.5456666667
745.60,13.5868666667,36.1992666667,10.4047333333,32.2566333333,10.5321666667,12.1723333333,10.6599333333,12.7085666667,15.9,12.5574666667,16.6418666667
745.91,13.8432833333,36.2678,10.679,32.3511962963,10.8211333333,12.3832666667,10.9604666667,13.128,16.2212,12.8116666667,16.8319333333
746.23,14.2049583333,36.5139666667,10.9467333333,32.6209555556,11.1509,12.6705333333,11.3423333333,13.4965333333,16.587,13.1766666667,17.0868
746.55,14.36095,36.5188666667,10.9948,32.6120962963,11.3883,12.9512666667,11.438,13.6506,16.808,13.3153333333,17.292
746.86,14.1736333333,36.1473666667,10.6528,32.3225222222,11.1379,12.7858666667,11.1924666666,13.5355333333,16.5472,13.1092666667,16.9734666667
747.18,14.354525,36.3913333333,10.7482666667,32.5631925926,11.1983333333,12.9329333333,11.3372,13.6926666667,16.6207666666,13.0504,17.1931333333
747.49,14.22735,36.3303666667,10.5964,32.4419481481,10.9798333334,12.6783333333,11.1416666667,13.3844333333,16.4192666667,12.8388666667,17.0821333333
747.81,13.9333583333,36.3738333333,10.4043333333,32.5352444444,10.7804,12.3475333333,10.9152,13.1922,16.3048333333,12.5657333333,16.9579333333
748.12,13.65825,36.0401,9.95280000001,31.9938888889,10.5106666667,12.0062,10.7399333333,12.9728,15.9559,12.1233333333,16.5761333333
748.44,13.4240666667,35.8665333333,9.40873333333,31.7221,10.2063666667,11.8348666667,10.6294666667,12.6847333333,15.7249333333,11.7660666667,16.4042
748.75,13.516725,35.9913333333,9.4644,31.6395925926,10.2798,11.9572666667,10.6894,12.9539666667,15.8349,11.9521333333,16.6074
749.07,13.473625,36.2850333333,9.68486666667,31.7845925926,10.4394333333,12.2309333334,10.8702,13.1901,15.9672333333,12.138,16.678
749.38,13.167125,36.2951,9.52133333334,31.7044407407,10.0566666667,12.0986666667,10.6626,12.9214666667,15.7734666667,11.9199333333,16.4398666667
749.70,12.9776166667,36.0682666667,9.37253333334,31.6321740741,9.87683333334,11.8648666667,10.5258666667,12.7998333333,15.6059666667,11.7098,16.2602
750.01,12.8228833333,36.1466333333,9.25686666667,31.5907,9.7616,11.6659333333,10.4883333333,12.7584333333,15.6035333333,11.6557333333,16.0408666667
