wavelength,Back_ParDomf,Belly_ParDomf,Breast_ParDomf,Crissum_ParDomf,Crown_ParDomf,DorTail_ParDomf,Rump_ParDomf,Throat_ParDomf,WingTip_ParDomf
221.98,-119.827583334,-30.3160416667,-32.7585833333,-49.4253333334,-120.6895,-35.9195833332,-87.35625,-108.045916667,-85.057388889
222.36,-69.1175000001,13.848,14.9510833333,-5.39208333333,-74.5096666667,1.47058333332,-41.1765,-62.7449166666,-42.8104444444
222.74,-96.0,-1.5,25.3333333332,-18.0,-93.6666666667,-0.999999999907,-86.6666666666,-80.6666666666,-64.4444444444
223.11,-117.284083333,-5.55545833333,16.0494166667,-33.3335,-109.25925,-17.9010833334,-88.8887499998,-90.7406666665,-80.0410555556
223.49,-135.555583333,-47.9168333333,-14.7221666667,-56.9443333333,-143.611166667,-40.0000833333,-116.9445,-105.555666667,-109.444666667
223.87,-278.43125,-143.382375,-58.3335,-139.705916667,-291.666666667,-122.058833333,-275.49025,-239.705833333,-216.666777778
224.24,-176.98425,-73.4126666666,-26.5871666667,-82.53975,-192.857166667,-65.4761666667,-186.904833334,-152.77775,-122.222333333
224.62,-244.607833333,-132.107833333,-67.1569166667,-172.05875,-296.568666667,-143.62725,-287.745083333,-255.392083333,-198.692888889
225.00,-439.394083334,-223.106291667,-104.5455,-318.181916667,-488.6365,-249.242416666,-481.06075,-458.33325,-293.939722222
225.38,-226.449333333,-106.884166667,-36.2319166666,-154.34775,-228.623083333,-108.3335,-221.014333333,-213.40575,-161.111222222
225.75,-88.8298333333,-26.773,5.31925,-56.20575,-88.6524166666,-23.93625,-68.7943333333,-76.2411666666,-54.9645555556
226.13,-60.48375,-14.1129166667,8.33333333333,-37.2311666667,-51.4784166667,-12.9033333333,-40.05375,-55.7795,-22.8495555556
226.51,-78.9800833334,-39.801,-19.4030833333,-60.0745833333,-68.2835833333,-34.577,-61.1940833333,-72.388,-36.7330555556
226.88,-52.64725,-20.83325,-12.7451666667,-39.4119166667,-44.4118333334,-19.9020833333,-34.2155833333,-54.5099166666,-18.8233888889
227.26,-46.5909166667,-23.200875,-12.5000833333,-35.7008333333,-41.8561666666,-16.47725,-34.6591666667,-53.21975,-16.4774444444
227.64,-41.2650833334,-15.1607916667,-7.83141666667,-36.4458333333,-37.6505,-12.3493333333,-34.6384166667,-55.2209166667,-5.0201111111
228.01,-21.5908333333,0.643958333332,2.42425,-15.4545,-17.8788333333,3.33316666667,-12.6515,-27.8031666667,9.49477777778
228.39,-26.488,-6.24983333333,-4.98516666667,-22.9165833333,-24.55375,-8.48233333333,-19.7916666667,-34.22625,4.86127777778
228.76,-24.0113333333,-5.96766666667,-4.09616666668,-15.81925,-19.3501666667,-0.353083333335,-14.3361666667,-27.8249166667,8.4745
229.14,-12.0831666667,1.66662499998,1.90474999998,-4.58333333332,-8.39283333334,2.97625000001,-7.91658333334,-14.52375,12.3412777778
229.52,-9.51624999999,2.607625,0.645166666667,-3.01066666668,-5.69891666666,3.60208333334,-7.41925000001,-14.56975,12.5807777778
229.89,-9.20241666665,2.63299999999,-0.204583333333,-2.14724999999,-6.18600000001,1.53366666668,-11.7585833333,-15.3885,8.62288888889
230.27,-8.6745,3.31391666667,-1.21825000001,-4.58091666667,-6.87133333333,1.55941666667,-12.5245,-14.425,4.87333333333
230.65,-3.62125000002,8.333125,4.23208333333,0.130999999993,-0.567166666667,6.32641666667,-5.89016666668,-7.11174999998,9.39511111111
231.02,-1.38175000002,10.211625,8.33333333333,1.51100000001,0.388583333335,7.51308333333,-4.49050000001,-3.88616666667,12.1472222222
231.40,-0.846083333333,11.3367083333,7.57183333334,0.803666666667,1.56508333333,7.91033333334,-4.35708333334,-3.72266666666,14.2413888889
231.78,-1.19058333335,9.56633333333,7.56808333332,0.850333333333,2.04108333333,7.95058333333,-2.466,-3.48641666667,12.4432222222
232.15,-2.67041666667,8.12604166667,6.12341666666,-0.644583333342,-0.092083333335,6.07733333333,-4.60425,-5.61691666668,10.7736111111
232.53,0.601333333333,10.5241666667,11.8556666667,3.5225,5.67016666667,12.02725,0.386666666666,0.085833333325,15.0915
232.90,-1.25208333333,8.80820833333,9.84466666667,1.98608333333,3.84275,9.715,-0.604416666667,-1.77033333333,14.8819444444
233.28,-6.72041666667,3.27066666666,5.42108333334,-2.82258333334,-1.344,6.27250000001,-5.42116666667,-6.18283333333,11.9772222222
233.66,-6.55108333334,4.40745833333,6.11758333332,-2.21583333333,-1.30041666666,4.72066666667,-3.75733333333,-6.50291666668,16.2493888889
234.03,-6.52175000001,5.48666666667,8.33341666665,-1.55274999999,0.362166666665,7.09116666666,-1.708,-5.22783333332,23.3954444444
234.41,-5.28849999999,7.53195833333,11.4315833333,4.75416666666,2.19024999999,10.14975,0.801416666667,-4.32683333334,28.2762777778
234.78,-4.08366666667,7.3125,11.8100833333,6.01533333332,0.993416666666,10.1545,-0.055083333335,-5.73949999999,27.9618888889
235.16,1.05358333333,10.4884583333,12.8351666667,10.0574166667,5.41191666666,12.9310833333,7.08799999999,-1.19733333332,26.1812222222
235.54,-2.44258333336,5.69925,10.6321666667,6.89650000001,2.82558333334,8.23733333335,5.45983333332,-1.38891666667,21.9027222222
235.91,-0.520583333333,9.20149999999,12.4565833333,8.33333333334,3.55908333333,9.15800000001,6.03299999999,0.34725,18.7499444444
236.29,2.12425,7.47549999999,11.4375833333,6.61766666668,4.00316666666,8.16999999999,6.12750000001,-0.735416666668,15.9585
236.66,4.74999999999,10.0416666667,10.4583333333,8.54166666668,3.70833333334,8.625,7.41666666666,0.333333333342,17.3611111111
237.04,9.68008333333,14.2888333333,15.1935,10.1008333333,5.80808333333,10.564,8.54391666666,4.92425000001,18.238
237.41,9.35908333334,13.6539583334,16.06825,8.71791666667,5.76916666666,9.70091666667,9.48708333333,2.94875000001,17.265
237.79,9.73550000002,9.47512500001,15.4648333333,7.29166666667,3.56575,11.6988333333,7.01125,4.12658333332,14.3696666667
238.17,9.93749999998,8.705,14.5931666667,7.51166666668,2.03441666666,10.6025833333,7.00308333333,4.65575000001,13.2760555556
238.54,12.8959166667,11.1612916667,16.5910833333,8.18233333332,5.16583333333,11.31225,8.82341666666,7.27758333333,16.0635
238.92,12.57,12.465125,16.1065833333,8.68358333333,7.248,12.395,10.71425,7.94816666666,17.3672222222
239.29,10.56025,11.3505,15.0501666667,8.76433333335,6.93233333332,11.9970833333,9.05166666666,8.40516666666,19.2528333333
239.67,12.1031666666,15.311,16.1706666667,11.971,8.43249999999,14.2856666667,11.6730833333,9.19316666667,22.2001666667
240.04,13.309,16.7277916667,15.7815833333,14.6825833333,10.3785,15.62875,14.011,12.0879166667,27.0857777778
240.42,10.9375,16.8721666667,14.74775,14.6655,9.92333333334,16.5295,14.4735833333,12.1435833333,27.2477777778
240.79,8.33333333333,14.1568333333,11.5496666667,12.4513333333,7.60224999999,15.7408333333,11.7933333333,9.16175,23.4567777778
241.17,7.95916666666,13.1024166667,9.78808333334,12.1569166667,7.91775000001,14.256,10.45325,7.77233333333,21.9589444444
241.54,8.69158333334,13.0645833334,9.10391666666,12.0251666667,8.56616666668,14.1039166667,10.0178333333,7.97491666667,21.4932777778
241.92,9.97408333333,14.50625,10.1039166667,13.0278333333,10.05525,14.8471666667,11.7121666667,9.21058333334,22.8936666667
242.29,10.413,15.374,11.1928333333,13.5760833333,10.8029166667,15.1935,12.47825,9.87858333333,22.7323888889
242.67,10.41,15.0522083333,11.7095,13.5985,10.6779166667,15.5948333333,13.19675,9.76683333332,23.0885
243.05,10.2241666667,14.6325,11.3458333333,13.1845833333,10.107,14.8539166667,12.7673333333,9.19408333333,22.6221111111
243.42,10.271,13.8739166667,11.2209166667,12.8293333334,9.19458333332,14.767,11.95525,8.232,21.9013333333
243.80,10.9079166667,13.7500833333,11.33075,13.2215833333,10.0869166667,15.5721666667,12.2513333333,8.27099999999,21.7081111111
244.17,9.99041666667,12.2838333333,10.903,11.9595833333,9.05383333332,14.2170833333,11.2151666667,6.82041666667,19.5804444444
244.55,9.71458333333,11.6222083333,10.206,11.9616666667,8.54408333334,13.0266666666,10.7094166667,6.051,18.4926111111
244.92,10.3243333333,12.244375,11.423,12.6414166667,9.30150000001,13.3050833333,11.9344166667,6.81033333333,18.2621666667
245.30,10.0221666667,12.2890833333,12.0024166666,12.7161666667,9.30816666667,13.7816666667,12.4848333333,7.47883333333,18.5298333333
245.67,9.70058333333,11.9734166667,11.3728333333,12.72175,8.67525000001,13.3686666667,12.38925,7.32633333334,18.0831111111
246.05,8.09,10.9557083333,9.90266666667,11.4886666667,7.47725,11.8410833333,11.0523333333,5.91641666667,15.8329444444
246.42,7.23891666668,9.91633333333,8.84141666666,10.9130833333,6.79325,11.0381666666,10.2876666667,4.84683333333,14.9466666667
246.79,6.48624999999,8.91395833333,7.84991666667,9.92041666665,6.04616666667,10.137,9.05491666667,4.21358333333,13.7327222222
247.17,6.47608333333,8.823,7.96191666667,9.87308333334,6.206,10.3456666667,8.96141666666,4.44341666667,13.7673888889
247.54,6.45216666667,8.99120833334,7.78741666667,9.47616666668,6.03491666667,10.1245,8.93675000001,4.44275,13.923
247.92,6.64316666667,9.34508333334,8.17308333333,9.51149999998,6.04483333333,10.3440833333,9.14125,4.805,13.6645
248.29,7.17583333333,10.0083333333,8.79008333333,10.1548333333,6.63366666667,10.9891666667,9.51524999999,5.26308333333,14.2217222222
248.67,7.19825,10.3622916667,9.28133333332,10.1630833333,6.70283333333,11.1714166667,9.37191666668,5.56758333333,14.4885555556
249.04,6.73966666667,9.85141666668,9.00716666667,9.78833333333,6.17291666667,10.8215,8.67349999999,5.21541666667,14.2437222222
249.42,7.13725,10.031125,9.19058333332,10.1143333333,6.54575,11.0843333333,9.01775,5.35633333333,14.4115555556
249.79,6.354,9.31941666666,8.89275,9.05758333334,5.65841666667,10.25525,8.09683333333,4.604,13.272
250.17,6.35841666667,9.46016666665,8.891,9.05358333333,5.398,10.2540833333,7.86091666667,4.3215,13.8891666667
250.54,7.21408333334,9.75070833333,9.90216666666,9.00324999999,5.59625,10.6699166667,8.03916666667,4.714,14.1232222222
250.92,8.89408333334,11.15425,11.39575,10.56775,6.90983333333,11.9479166667,9.48058333335,6.30616666666,15.1256111111
251.29,9.56066666667,11.446125,11.72175,11.14375,7.04375,12.3443333333,9.67624999999,6.84808333333,14.7990555556
251.66,9.67091666666,12.1024166667,12.32825,11.8763333333,7.64641666667,12.7803333333,10.1500833333,7.33008333333,14.7384444444
252.04,9.74041666666,12.3582916667,12.28975,11.9060833334,7.78508333332,12.6461666667,10.1973333333,7.66633333333,14.7172777778
252.41,9.63741666668,11.991375,11.4779166667,11.4040833334,7.01991666667,11.98675,10.0443333334,7.621,14.7307777778
252.79,9.20658333332,11.1947916667,10.5446666667,10.5543333333,6.549,11.5794166667,9.74758333333,7.0805,13.7304444444
253.16,8.72424999999,11.2604583333,10.0400833333,10.0590833333,6.35966666666,10.8886666667,9.42041666667,6.579,13.6028888889
253.54,8.79158333333,11.6301666667,10.47525,10.59675,6.20083333333,11.07375,9.84850000001,6.55616666667,13.4244444444
253.91,9.49816666666,12.1402083333,11.089,11.4869166667,6.85616666667,11.9318333333,10.606,6.97908333333,13.6553333333
254.28,10.00775,12.3984583333,11.7790833333,12.437,7.74291666666,12.5144166666,11.6628333334,7.91708333333,13.4985
254.66,9.59583333334,12.5807083333,10.8990833333,12.6968333333,7.98983333334,12.7170833334,11.7273333333,8.25249999999,12.9428333333
255.03,7.49249999999,11.089875,9.17408333334,11.2175833334,6.4815,11.07925,10.1425833333,6.69433333333,11.4943888889
255.41,6.71291666666,10.97325,8.61999999999,10.8135,5.83108333333,10.2293333333,9.96475,6.17291666667,11.5077777778
255.78,6.92208333333,10.320875,8.46899999999,10.4789166667,5.67983333333,10.287,9.53041666667,6.00725,10.9454444444
256.15,6.94641666666,9.73154166667,8.64900000001,10.8366666667,5.8975,10.1489166667,9.79933333334,5.672,11.2088333333
256.53,7.74758333333,10.7594166667,9.74791666665,11.9030833333,7.394,11.68225,10.7979166667,6.73083333333,11.9438333333
256.90,8.98925,11.782375,10.7625,12.997,8.49725,12.72025,11.63375,7.8105,12.6895
257.28,9.44633333333,11.6114166667,11.0174166666,13.4494166667,8.76366666667,13.2435833333,11.9435833333,8.39875000001,13.2124444444
257.65,9.18666666668,11.550375,10.8599166667,12.80125,8.85208333332,13.2194166667,11.4120833333,8.33333333334,13.6101666667
258.02,10.13025,12.4499166667,11.462,13.55225,9.65783333334,14.01075,12.1920833333,9.29266666668,15.3253888889
258.40,9.24824999999,11.4191666667,10.36,12.3986666667,8.56049999999,12.7119166667,11.20725,8.24125,14.9060555556
258.77,8.1295,10.4312916667,9.66408333334,11.2309166666,7.47483333334,11.4885833333,10.367,7.21183333333,14.0016666667
259.15,7.82983333333,10.4454166666,9.58475000002,10.9129166667,7.26408333333,11.4355833333,10.4815,7.01,13.4862222222
259.52,7.92966666666,10.2992916666,9.64116666666,10.6985833333,7.311,11.5060833333,10.47475,7.02125,13.042
259.89,7.84216666667,10.2939166667,9.49983333333,10.6089166667,7.38366666667,11.4480833333,10.4043333333,7.048,12.9230555556
260.27,7.62991666667,10.1628333333,9.0405,10.2498333333,7.1915,11.33225,10.17475,6.74883333333,12.8943888889
260.64,6.987,9.39074999999,8.39525,9.60191666666,6.54475,10.4825833333,9.36141666666,5.9125,12.1922777778
261.01,6.77791666666,9.17529166667,8.35283333333,9.43375,6.40858333333,10.297,9.20033333334,5.70466666667,12.1843888889
261.39,7.06741666667,9.65391666667,8.50908333332,9.67741666666,6.74325,10.5524166667,9.55625,6.083,12.3535555556
261.76,6.41683333333,9.08391666667,7.731,9.12683333334,6.03008333333,9.76175,9.02508333333,5.36291666667,11.4203333333
262.13,5.61466666667,8.478375,7.264,8.54974999999,5.528,9.16875,8.64508333334,4.68833333333,10.6636111111
262.51,5.85558333333,8.83045833334,7.67391666667,8.75249999999,5.832,9.47350000001,8.79025,4.82858333333,10.5584444444
262.88,5.96583333334,8.85520833333,7.62191666667,8.74374999999,5.78925,9.56908333333,8.62933333333,4.52225,10.45
263.25,6.63116666667,9.227125,8.08783333333,9.19583333335,6.31141666667,10.1553333333,8.91591666666,5.06041666666,11.1605
263.63,7.51125,9.74404166668,8.99349999999,10.27025,7.21841666666,10.9490833333,9.80316666667,5.60541666667,12.3317777778
264.00,7.28733333333,9.35879166667,8.59316666666,10.1311666667,6.69916666666,10.5825,9.74166666667,5.10658333334,12.2732222222
264.37,7.13483333334,9.39358333332,8.67366666668,10.0070833333,6.24825,10.1701666667,9.51074999999,5.34733333334,11.2388888889
264.75,7.04175,9.58512499998,8.80241666668,10.02875,6.09675,10.66375,10.0071666667,5.67816666667,11.1350555556
265.12,6.2625,8.88325000001,8.30475,9.51149999999,5.40558333333,10.0970833333,9.46891666667,5.03425,10.6684444444
265.49,5.617,8.02466666667,7.993,8.94333333333,4.96458333333,9.83683333334,8.87933333333,4.34758333333,10.0049444444
265.87,6.02258333333,8.05720833334,8.20541666667,9.00716666666,5.38266666667,10.078,9.06783333332,4.77633333333,10.5856111111
266.24,6.80058333333,8.72287499999,8.84216666667,9.69216666667,6.29183333334,10.6904166667,9.5505,5.82183333333,11.1027222222
266.61,6.48508333333,8.18704166666,8.4765,9.26066666668,5.99316666667,10.5303333333,9.26066666668,5.55125,10.5882777778
266.98,7.5155,9.30941666668,9.42566666667,10.4645833333,7.56325,11.6761666667,10.2913333333,6.93658333334,11.6602777778
267.36,7.5585,9.42925,9.53616666666,10.7854166667,7.68558333333,11.6065,10.31675,6.77766666667,11.8746666667
267.73,6.7365,9.33204166667,8.99141666668,10.3021666667,7.18858333333,11.1323333333,9.74125,6.26133333333,11.588
268.10,6.45566666667,9.13608333334,9.02216666667,10.05,7.05558333333,11.0111666667,9.48333333333,6.09441666667,11.8294444444
268.48,6.47191666667,9.08904166667,9.24766666666,10.1345833333,7.23825,11.2846666667,9.51049999999,6.11033333333,12.7172777778
268.85,6.30533333333,8.95533333333,8.85233333333,10.1125833333,7.26258333333,11.0588333333,9.23641666667,5.91066666667,12.9211111111
269.22,6.90333333333,9.38183333335,9.02149999999,10.4570833333,7.53766666667,11.3816666667,9.58058333333,6.3065,13.3298888889
269.59,6.36708333333,8.71466666668,8.4595,9.84766666666,6.84016666667,10.4311666667,9.14833333333,5.7255,12.5832222222
269.97,6.61208333333,9.08341666667,8.97558333333,10.2239166667,7.24408333333,10.8969166667,9.37625000001,6.14475,12.6526111111
270.34,6.4285,9.32329166666,8.70516666667,10.05725,6.90091666667,10.5650833333,9.17783333334,5.84041666666,12.2034444444
270.71,6.29258333333,9.73941666666,8.73358333333,10.4374166667,7.01525,10.8670833333,9.25583333334,6.19025,12.2666111111
271.09,5.24508333333,8.62062499999,7.76333333333,9.59708333335,5.99108333333,9.97241666668,8.357,5.31641666667,11.4817222222
271.46,4.79266666667,8.14912499999,7.10858333333,8.88575,5.57558333333,9.36449999999,7.77625,4.97241666667,10.9455
271.83,4.97683333333,8.11183333333,7.09366666666,8.79433333334,5.62558333333,9.38958333334,7.68891666667,5.06175,10.8964444444
272.20,5.14775,8.22770833333,7.12783333333,8.85691666667,5.74608333333,9.22641666668,7.70408333334,5.13466666666,10.9967777778
272.58,5.16458333333,8.33779166667,7.1905,8.86149999999,5.6535,9.28575,7.68833333333,4.97841666667,10.7647777778
272.95,5.39925,8.455,7.66366666666,8.92183333335,5.91516666667,9.46783333334,7.91116666667,5.19,10.6648888889
273.32,5.63,8.79229166666,7.807,8.965,6.27833333333,9.64291666667,8.00908333333,5.52041666666,10.6083888889
273.69,6.2595,9.50974999999,8.42633333333,9.54974999999,6.93083333334,10.1958333333,8.46858333333,6.22983333333,11.3251111111
274.06,5.10908333333,8.63445833334,7.27316666667,8.70433333333,5.87691666667,9.13625,7.49133333333,5.01741666666,10.4042777778
274.44,4.73708333333,8.18404166668,6.93408333333,8.33333333335,5.55691666667,9.06425000001,7.32608333333,4.64791666667,10.4546111111
274.81,4.67475,7.84579166667,6.88908333333,8.09183333334,5.33075,8.80250000001,7.30366666667,4.22375,10.4489444444
