wavelength,Back_SpoLucm,Belly_SpoLucm,Breast_SpoLucm,Crissum_SpoLucm,Crown_SpoLucm,DorTail_SpoLucm,Patch10_SpoLucm,Rump_SpoLucm,Throat_SpoLucm,WingTip_SpoLucm
367.47,5.74111111111,30.5021111111,4.39211111111,36.609,3.99644444444,7.03288888889,29.7946666667,5.17344444445,4.52033333334,8.06488888889
367.84,5.77192592592,30.5783333333,4.35244444444,36.6981111111,4.03622222222,7.08955555556,29.9298888889,5.20222222222,4.57311111111,8.07866666667
368.20,5.70290740741,30.627,4.27177777778,36.8614444445,3.99311111111,7.03533333333,30.0208888889,5.16522222222,4.52022222222,8.04333333334
368.56,5.73877777778,30.7114444445,4.278,36.885,4.02477777778,7.035,30.1417777778,5.15288888889,4.53355555555,8.07055555555
368.93,5.6037037037,30.8334444444,4.14466666666,36.9373333333,3.91755555556,6.88233333333,30.1771111111,5.045,4.39466666667,7.93277777778
369.29,5.43425925925,30.777,4.00333333333,36.96,3.77133333333,6.742,30.0916666667,4.90977777778,4.25011111111,7.77722222222
369.65,5.38559259259,30.8387777778,3.866,37.0214444444,3.69144444444,6.68111111111,30.1464444445,4.87766666667,4.171,7.733
370.01,5.33440740741,30.8194444444,3.81488888889,36.9922222222,3.63477777778,6.64177777778,30.1917777778,4.86533333333,4.14377777778,7.69833333333
370.38,5.35468518519,30.9008888889,3.83311111111,37.1091111111,3.65688888889,6.64388888889,30.3606666667,4.80766666667,4.11855555556,7.63166666667
370.74,5.34035185185,30.9483333333,3.81044444445,37.169,3.58877777778,6.603,30.4466666667,4.77733333333,4.07866666667,7.55188888889
371.10,5.32177777778,30.9352222222,3.81033333334,37.2102222222,3.61888888889,6.608,30.516,4.72255555555,4.05811111111,7.49688888889
371.46,5.22924074075,30.9243333333,3.70466666667,37.1505555556,3.51611111111,6.49777777778,30.4327777778,4.58544444445,3.95977777778,7.42844444444
371.83,5.20238888889,31.073,3.72488888889,37.2285555555,3.52788888889,6.44222222222,30.4443333333,4.50322222222,3.89533333333,7.454
372.19,5.18862962964,31.1651111111,3.71411111111,37.2151111111,3.51277777778,6.377,30.4533333333,4.45077777778,3.86133333333,7.36166666667
372.55,5.10835185186,31.2094444444,3.69011111111,37.2862222222,3.49988888889,6.33077777778,30.4865555556,4.398,3.79711111111,7.31755555556
372.92,5.13274074074,31.3083333333,3.69388888889,37.34,3.50133333333,6.33344444445,30.5916666667,4.41388888889,3.83111111111,7.37322222222
373.28,5.25153703704,31.5677777778,3.81133333333,37.606,3.62888888889,6.44511111111,30.7755555556,4.57066666667,3.92244444444,7.51166666667
373.64,5.40811111111,31.8264444444,3.99422222222,37.9288888889,3.80633333333,6.62422222222,31.0677777778,4.73244444445,4.10188888889,7.64555555556
374.00,5.43290740741,31.9185555556,4.059,38.0396666667,3.85066666667,6.66977777778,31.1745555556,4.74666666667,4.11777777778,7.70466666667
374.37,5.50277777778,32.149,4.10422222222,38.2687777778,3.93211111111,6.73711111111,31.3964444444,4.81144444444,4.19966666667,7.80566666667
374.73,5.64653703703,32.3331111111,4.21288888889,38.3996666667,4.05311111111,6.83511111111,31.5438888889,4.93455555556,4.33288888889,7.96855555556
375.09,5.8405,32.5723333334,4.31411111111,38.6564444444,4.14788888889,6.94022222222,31.7851111111,5.05866666667,4.43222222222,8.155
375.45,6.04748148148,32.8974444444,4.48833333333,38.9533333333,4.292,7.12944444444,32.1031111111,5.22277777778,4.63766666667,8.32633333333
375.81,6.1027962963,32.9354444444,4.48555555555,38.9367777778,4.31422222222,7.12344444444,32.145,5.30944444444,4.67433333333,8.32422222222
376.18,6.17261111111,33.1104444444,4.52855555556,39.108,4.37188888889,7.16844444445,32.2936666667,5.358,4.70611111111,8.38766666667
376.54,6.18166666667,33.1745555556,4.45655555556,39.1508888889,4.318,7.118,32.291,5.343,4.69844444445,8.32633333334
376.90,6.20327777778,33.222,4.45855555556,39.2574444444,4.31844444444,7.12166666666,32.3635555556,5.35088888889,4.68511111111,8.30311111111
377.26,6.20805555556,33.2746666667,4.43166666667,39.2856666667,4.26588888889,7.09988888889,32.3974444444,5.28888888889,4.651,8.26911111111
377.63,6.10518518519,33.2703333333,4.33688888889,39.264,4.12277777778,6.971,32.3744444444,5.15333333333,4.50288888889,8.168
377.99,6.142,33.4466666667,4.40777777778,39.3822222222,4.18422222222,6.998,32.4936666667,5.17555555556,4.57088888889,8.17155555555
378.35,6.07462962964,33.4727777778,4.41533333333,39.378,4.17488888889,6.96088888889,32.4473333333,5.17188888889,4.54722222222,8.126
378.71,6.00374074074,33.5073333333,4.35266666667,39.4922222222,4.136,6.91266666667,32.4508888889,5.13666666667,4.48933333333,8.06155555556
379.07,5.96031481481,33.6617777778,4.33466666666,39.6153333333,4.09211111111,6.89533333333,32.5003333333,5.12622222222,4.49122222222,8.06044444444
379.44,5.86764814815,33.6111111111,4.26077777778,39.6,4.04433333333,6.81277777778,32.47,5.08088888889,4.42544444444,7.94144444444
379.80,5.80474074074,33.7207777778,4.22388888889,39.7482222222,4.00188888889,6.78011111111,32.5733333333,5.00555555556,4.34988888889,7.91544444444
380.16,5.76361111111,33.6923333333,4.22244444444,39.7007777778,4.005,6.77255555555,32.5636666667,4.99211111111,4.36788888889,7.919
380.52,5.72662962963,33.8513333333,4.272,39.8905555556,4.006,6.80555555556,32.7103333333,5.03066666667,4.37966666667,7.93511111111
380.88,5.71659259259,33.9948888889,4.30366666667,40.0434444444,4.022,6.84455555555,32.7892222222,4.99255555556,4.38322222222,7.93222222222
381.24,5.67396296297,34.0482222222,4.28366666667,40.0756666667,4.05322222222,6.80977777778,32.8488888889,4.966,4.39111111111,7.86655555556
