wavelength,Back_DigSitm,Belly_DigSitm,Breast_DigSitm,Crissum_DigSitm,Crown_DigSitm,DorTail_DigSitm,Rump_DigSitm,Throat_DigSitm,WingTip_DigSitm
573.85,11.7652083333,29.2343333333,26.9951666667,24.7319,12.4965,11.0424583333,13.5798333333,27.9633333333,11.9163333333
574.19,11.7537916667,29.2768333333,27.0355833333,24.78095,12.47075,11.0219166667,13.5918333334,27.989125,11.9091666667
574.53,11.6959166666,29.2405,26.9460833333,24.7281,12.39175,10.96125,13.5316666667,27.911625,11.8543333333
574.87,11.7632083334,29.2991666667,27.0451666667,24.7955,12.4826666667,11.0250833334,13.5916666666,27.9829166666,11.9335833333
575.21,11.821125,29.37525,27.0863333333,24.887525,12.568,11.0910416666,13.6509166667,28.046875,12.0150833333
575.55,11.8784583333,29.4630833333,27.0914166666,24.9580083333,12.62525,11.17125,13.699,28.113875,12.0966666667
575.89,11.9165416667,29.5594166667,27.15725,25.0153166667,12.6643333333,11.208,13.7141666667,28.22325,12.1480833333
576.22,12.0140833333,29.7104166667,27.3101666667,25.1510833334,12.7535833334,11.3144166667,13.7449166666,28.3618333333,12.2334166667
576.56,12.0535,29.7589166667,27.36475,25.2493916667,12.8073333333,11.3749583333,13.7621666666,28.4251666667,12.2785
576.90,12.04175,29.7323333333,27.40025,25.2719583333,12.8106666667,11.3864166667,13.7268333333,28.39825,12.3156666666
577.24,12.00925,29.7388333333,27.4179166667,25.2928416667,12.7851666666,11.377625,13.7088333333,28.378375,12.3125
577.58,11.9965,29.7104166666,27.398,25.3594583333,12.7645833333,11.38025,13.68375,28.4269166667,12.2690833333
577.92,12.0026666667,29.7385833333,27.399,25.3772833333,12.8051666667,11.3972083334,13.6745,28.428625,12.2974166667
578.26,12.083875,29.8906666667,27.5165833333,25.5430166667,12.9108333333,11.5069583333,13.7761666667,28.5864166666,12.4128333333
578.60,12.126,30.0259166667,27.587,25.6367333333,12.9591666667,11.537375,13.8194166666,28.6620833333,12.4993333333
578.94,12.195625,30.09175,27.6655833333,25.725675,12.966,11.59925,13.8398333333,28.7134583333,12.5166666666
579.28,12.1827916667,30.061,27.6900833333,25.737425,12.9530833333,11.5680833333,13.8066666666,28.6674583333,12.50175
579.61,12.2292916666,30.0643333333,27.70875,25.8170166667,12.9950833333,11.61475,13.84925,28.6927916667,12.5391666667
579.95,12.1870833333,30.0350833333,27.66575,25.8228416667,12.9501666667,11.5969166666,13.876,28.6326666667,12.4773333333
580.29,12.1682916667,30.0949166667,27.7251666667,25.8566333333,12.9368333333,11.5937083333,13.89925,28.6423333334,12.47625
580.63,12.1793333333,30.17175,27.7614166667,25.9146583333,12.948,11.5710833333,13.9345833333,28.7378333333,12.4549166667
580.97,12.1338333333,30.1459166667,27.7126666667,25.8859166667,12.89375,11.506625,13.8935,28.7745833333,12.3941666667
581.31,12.15,30.1948333333,27.8060833334,25.886975,12.8891666667,11.5329166666,13.9049166666,28.80875,12.4556666666
581.65,12.1376666667,30.2514166666,27.877,25.9252083333,12.8674166667,11.509875,13.8939166667,28.8647083333,12.4669166667
581.98,12.1468333333,30.3168333333,27.9461666667,25.9601666667,12.86675,11.5300416666,13.8895833334,28.9430833333,12.4541666667
582.32,12.0647916667,30.27825,27.9685,25.9260583333,12.7865833334,11.4828333333,13.8408333333,28.9147083333,12.38425
582.66,11.942875,30.2335,27.916,25.8604416667,12.7200833333,11.4162083333,13.7595,28.8877916667,12.3051666667
583.00,11.8734583333,30.2383333333,27.9089166667,25.8958416667,12.6298333333,11.4165416667,13.7121666666,28.8892083333,12.2414166667
583.34,11.8572083334,30.2740833333,27.9749166667,25.896475,12.646,11.407,13.7065,28.9046666667,12.2338333334
583.68,11.8502083333,30.2923333333,27.9465,25.853475,12.6729166666,11.3865833333,13.6968333333,28.9689583333,12.2951666667
584.01,11.84875,30.3289166666,27.9643333333,25.8566333334,12.6958333333,11.410875,13.6960833333,28.9845833333,12.2891666667
584.35,11.8205833334,30.364,28.03075,25.8519916667,12.68575,11.4112916667,13.6509166667,28.9930416667,12.2884166667
584.69,11.8386666667,30.4548333333,28.11325,25.9499916667,12.7050833333,11.4577916667,13.6695833333,29.0072916667,12.3658333333
585.03,11.87825,30.51775,28.22425,26.0145583333,12.7565,11.4719166667,13.7333333333,29.0262083333,12.3899166667
585.37,11.877875,30.52525,28.25125,26.085075,12.7879166667,11.4952916666,13.7376666667,29.0631666667,12.4253333333
585.70,11.89425,30.531,28.256,26.10885,12.8484166667,11.494375,13.7421666667,29.036375,12.4760833333
586.04,11.960125,30.58175,28.293,26.1837833334,12.938,11.5760833333,13.7843333333,29.1241666667,12.5375833333
586.38,12.038625,30.7038333334,28.42025,26.3488583333,13.0081666667,11.6504166667,13.89625,29.2652916667,12.6138333333
586.72,12.1525833333,30.8256666667,28.5551666667,26.4279333333,13.1253333333,11.723625,14.0134166667,29.39225,12.7674166666
587.06,12.0969166666,30.8354166667,28.5200833333,26.4809916666,13.0385,11.7,13.9659166667,29.3249583333,12.7178333334
587.39,12.107625,30.8970833333,28.6000833333,26.5621166666,13.01325,11.70625,13.983,29.3142083333,12.7326666666
587.73,12.079125,30.8951666667,28.5988333333,26.6253666667,12.9735,11.670875,13.9688333333,29.3284166667,12.7211666667
588.07,12.0752083333,30.9218333334,28.6119166666,26.670075,12.9714166667,11.6676666666,13.9881666667,29.30775,12.72725
588.41,12.092,30.9238333334,28.6766666667,26.6866916667,12.97375,11.6762916667,13.9768333334,29.3674583333,12.724
588.74,12.0780416666,30.9095,28.5906666667,26.68715,12.9325833333,11.6637083333,13.9393333333,29.3007916667,12.7230833333
589.08,12.0998333334,30.8910833333,28.6165833333,26.6803166667,12.9198333333,11.6558333333,13.9361666667,29.2551666667,12.6965
589.42,12.1092916667,30.893,28.6445833333,26.7222666667,12.8815833333,11.6599583333,13.9308333333,29.2600833333,12.7099166667
589.76,12.075,30.91075,28.61475,26.7217666667,12.8321666667,11.6136666667,13.9046666667,29.2282916667,12.6646666666
590.09,12.08175,30.95725,28.653,26.7226416667,12.81175,11.602125,13.8814166667,29.202125,12.661
590.43,11.9762916667,30.9059166667,28.6340833333,26.6766666667,12.7044166667,11.50175,13.7670833333,29.1287083333,12.58225
590.77,12.071,31.01625,28.7801666667,26.7854333333,12.79125,11.5912916667,13.8690833333,29.3004166667,12.69
591.11,12.05375,30.982,28.7793333333,26.8101083333,12.8069166667,11.60875,13.82925,29.2849583333,12.6945833333
591.44,12.0613333333,30.9646666667,28.7965833333,26.8109916667,12.7786666667,11.5957083333,13.8163333333,29.2704583333,12.6695833333
591.78,12.0608333334,31.0565833333,28.8353333333,26.9060833333,12.7743333334,11.622,13.8401666666,29.2989166667,12.6835
592.12,12.0630833333,31.06625,28.84075,26.9394333333,12.8095,11.65975,13.84975,29.2909166667,12.696
592.46,12.0047083333,31.065,28.8751666666,26.8964916667,12.7828333333,11.63875,13.80225,29.3235,12.63475
592.79,12.007625,31.1133333333,28.9126666667,26.9508833333,12.81175,11.683,13.8380833333,29.3737083333,12.6703333334
593.13,12.0024583333,31.1845833333,28.9435,26.9757166667,12.838,11.7334583333,13.8496666667,29.4235,12.6691666667
593.47,11.9985833333,31.1794166666,29.0588333333,27.0126583334,12.8569166667,11.7802083333,13.8691666666,29.4589583333,12.7236666667
593.80,11.951125,31.153,29.0150833333,26.9930083333,12.809,11.7528333333,13.819,29.4087083333,12.67075
594.14,11.978375,31.2131666667,29.0490833333,27.0705916667,12.802,11.7670833333,13.8036666667,29.3739583333,12.6583333333
594.48,11.9255,31.2113333333,29.0416666667,27.0459666667,12.74425,11.6909583334,13.7208333334,29.346,12.5960833333
594.81,11.9596666666,31.3339166667,29.0406666667,27.1102666667,12.75125,11.6927916666,13.7305833333,29.4329583333,12.6098333333
595.15,12.0407916667,31.5123333333,29.18775,27.244225,12.8373333333,11.7774583333,13.8046666667,29.5271666667,12.7208333334
595.49,12.0700833333,31.5450833334,29.2521666666,27.2915833333,12.853,11.7927083333,13.8075833333,29.5815,12.7438333333
595.82,12.0330416666,31.5608333334,29.2134166667,27.2679,12.8053333333,11.7795416667,13.7533333333,29.5385416667,12.6913333334
596.16,12.0937083333,31.70675,29.2995833333,27.3984166667,12.8540833334,11.8674166667,13.8340833333,29.6514583333,12.7829166667
596.50,12.106125,31.7659166667,29.3545833333,27.4299416666,12.8331666667,11.84025,13.7739166667,29.6982083334,12.7768333333
596.83,12.0925,31.8205833334,29.4230833334,27.4965,12.832,11.8134166667,13.7694166667,29.7213333333,12.7739166667
597.17,12.066125,31.9029166667,29.4394166667,27.5457583334,12.7925833333,11.7959583334,13.76725,29.722375,12.7346666667
597.51,12.0793333334,31.9273333333,29.5173333333,27.60105,12.8305833333,11.86425,13.8115,29.7850416667,12.8016666667
597.84,12.0715833333,31.9799166667,29.5300833333,27.6371333333,12.8318333333,11.8925,13.8125,29.8253333333,12.7910833333
598.18,12.1083333333,32.0633333333,29.577,27.68945,12.889,11.9635416667,13.87975,29.8755416667,12.8714166667
598.52,12.1004166667,32.0789166667,29.675,27.7228,12.904,12.0102916667,13.8981666667,29.9211666667,12.8768333333
598.85,12.09825,32.0899166667,29.7158333333,27.7195666666,12.905,12.0407083334,13.8965833333,29.9575,12.8366666667
599.19,12.1132916667,32.1298333333,29.7080833333,27.7337,12.9011666666,12.0697916667,13.8978333334,30.0023333333,12.8561666667
599.53,12.0918333333,32.17925,29.8053333333,27.8146916667,12.8946666667,12.0002916666,13.9301666666,30.044,12.9028333333
599.86,12.0727916667,32.1674166666,29.7753333333,27.836275,12.876,11.96075,13.9041666667,30.017875,12.8998333333
600.20,12.0920416667,32.1885,29.7889166666,27.8702083333,12.8828333333,11.9972083333,13.9841666667,30.0541666667,12.9231666667
600.53,12.0996666667,32.1465833334,29.7524166666,27.8327166667,12.84275,11.9603333333,13.9534166666,30.0845,12.91225
600.87,12.1491666667,32.2415833334,29.791,27.87235,12.8939166667,11.9712083333,13.95575,30.1275833333,12.9954166667
601.21,12.1450833333,32.33025,29.8330833333,27.9282333333,12.9100833333,11.938125,13.9495,30.2141666667,12.971
601.54,12.1894166667,32.3551666667,29.9299166666,27.9728083333,12.9809166666,11.9967083333,14.0734166667,30.3214583333,13.0575
601.88,12.23875,32.3884166667,29.9938333333,28.0185416667,12.99,12.0135833334,14.057,30.324875,13.0544166667
602.21,12.2757083333,32.4061666667,30.0026666667,28.074075,12.99025,12.00975,14.0624166667,30.329625,13.0681666667
602.55,12.1998333333,32.3589166667,29.9200833333,28.0634583333,12.92475,11.936625,14.0018333333,30.3065416667,13.054
602.88,12.166,32.36375,29.9731666667,28.06835,12.9345833333,11.94025,13.9720833333,30.3149583333,13.0436666667
603.22,12.2325416667,32.4455833334,30.0248333333,28.13005,12.9784166667,12.0358333333,14.023,30.3994583333,13.0810833334
603.56,12.1985833333,32.39425,29.9929166667,28.1192833333,12.9560833333,11.990125,13.98575,30.400625,13.05825
603.89,12.1535416667,32.4755,29.97875,28.1588916667,12.9549166667,11.9909583334,13.9445,30.4190833333,13.0706666667
604.23,12.1565,32.488,30.0265,28.2187583333,12.9379166667,12.0217916666,13.9675,30.3925,13.07475
604.56,12.1510833333,32.4975,30.0536666667,28.2642416667,12.96425,12.0462083333,13.9774166667,30.4245833333,13.0579166667
604.90,12.151,32.48825,30.0584166667,28.2793,12.9398333333,12.0364166667,13.9495,30.389375,13.0685
605.23,12.125875,32.5116666667,30.0723333334,28.2884416667,12.9035833333,11.9949166667,13.8745833333,30.3657916667,13.0136666667
605.57,12.086,32.50875,30.0835833333,28.3052916667,12.90575,11.9815833333,13.8765833333,30.3400833333,13.0236666666
605.90,12.058375,32.5284166667,30.09925,28.3029333333,12.9005833333,11.9597916667,13.8888333334,30.293375,13.0463333333
