wavelength,Back_TanPerm,Belly_TanPerm,Breast_TanPerm,Crissum_TanPerm,Crown_TanPerm,DorTail_TanPerm,Patch10_TanPerm,Patch11_TanPerm,Rump_TanPerm,Throat_TanPerm,WingTip_TanPerm
797.93,12.4453333333,54.4683333333,17.5713333333,55.8933333333,42.352,9.416,12.8286666667,49.534,54.249,20.8056666667,18.7773333333
798.24,13.0603333333,55.1936666667,17.2933333333,57.1986666667,42.6623333333,10.025,13.2553333333,49.8746666667,54.6643333333,21.0246666667,19.8273333333
798.55,13.238,55.3593333333,16.6526666667,56.1153333333,42.1216666667,9.194,12.93,48.9223333333,54.548,20.0673333333,19.4236666667
798.85,12.933,55.5363333333,16.4233333333,55.794,42.4036666667,9.1845,12.5036666667,48.4693333333,54.9356666667,19.943,19.7713333333
799.16,12.4456666667,55.229,16.681,55.8626666667,42.7253333333,9.7235,12.2733333333,47.969,54.7106666667,19.6486666667,20.4553333333
799.47,11.6343333333,54.654,16.6376666667,55.2646666667,42.0303333333,8.7695,11.373,47.644,53.6653333333,19.5753333333,19.4296666667
799.78,11.9603333333,54.3003333333,16.5653333333,54.3003333333,40.8343333333,9.6005,10.86,47.1183333333,53.7793333333,20.1853333333,18.5053333333
800.08,12.4963333333,54.4026666667,17.0006666667,54.2283333333,40.3663333333,9.939,10.6653333333,46.934,53.996,21.1856666667,18.832
800.39,14.023,55.0103333333,17.762,54.28,40.5493333333,11.437,12.0653333333,47.473,55.799,22.5243333333,20.1283333333
800.70,14.3566666667,54.6493333333,17.3976666667,53.7716666667,40.702,11.7105,12.456,46.4326666667,55.2926666667,22.4856666667,20.1756666667
801.00,14.818,53.404,17.6643333333,53.1393333333,40.6396666667,11.84,11.7666666667,45.7746666667,55.0763333333,21.86,20.188
801.31,14.912,52.7483333333,17.7776666667,52.544,40.6143333333,12.456,12.3976666667,45.614,55.029,21.608,20.497
801.62,14.391,52.305,17.9666666667,51.5363333333,40.1003333333,12.1895,11.909,45.3903333333,55.0826666667,20.7153333333,19.3856666667
801.92,14.8676666667,51.7403333333,18.8793333333,51.6223333333,40.413,12.699,12.6843333333,46.2536666667,55.5753333333,21.0913333333,19.7053333333
802.23,14.8313333333,51.537,18.7106666667,51.089,40.137,12.22,12.7426666667,45.9563333333,55.476,20.4716666667,19.666
802.54,14.5663333333,51.0426666667,17.5883333333,49.9246666667,40.4353333333,11.333,12.2996666667,45.5426666667,54.7896666667,19.6133333333,20.0056666667
802.84,14.865,51.201,16.847,50.3003333333,41.4116666667,12.3875,13.033,45.4656666667,55.1053333333,20.0,20.751
803.15,13.6116666667,50.7866666667,16.0013333333,50.121,41.863,11.615,12.6136666667,44.5553333333,54.2346666667,19.6913333333,20.266
803.46,12.8393333333,49.4053333333,15.4313333333,48.8563333333,41.8113333333,10.8875,12.5343333333,44.3123333333,53.0953333333,18.664,19.9453333333
803.76,11.9223333333,49.844,15.699,48.8763333333,42.2596666667,10.159,12.11,44.3196666667,52.7463333333,18.1646666667,18.5706666667
804.07,12.1716666667,50.9423333333,16.528,49.4593333333,42.6323333333,10.241,12.635,45.3816666667,52.6413333333,18.628,18.072
804.38,12.1736666667,50.8803333333,17.0006666667,49.9696666667,42.3193333333,10.6555,13.3273333333,45.3856666667,51.9123333333,18.974,18.8826666667
804.68,12.3063333333,50.866,17.3806666667,50.5013333333,42.2666666667,11.121,13.066,45.214,51.5343333333,18.7483333333,19.2343333333
804.99,12.327,50.5123333333,18.4146666667,51.3863333333,43.309,11.8445,13.6526666667,45.9916666667,52.2906666667,19.6203333333,20.6753333333
805.30,12.412,51.571,17.6883333333,52.3636666667,43.5803333333,12.3055,13.9066666667,45.776,51.9973333333,20.1893333333,20.86
805.60,11.9463333333,51.726,16.7736666667,52.7346666667,43.019,12.282,13.4126666667,45.9516666667,52.0013333333,20.257,20.5313333333
805.91,11.736,51.391,16.6663333333,52.4196666667,41.8633333333,11.6605,12.916,45.1906666667,51.24,20.3566666667,18.6026666667
806.21,12.2383333333,52.46,16.9433333333,53.1673333333,41.636,11.762,13.3763333333,45.326,51.5683333333,20.172,18.7576666667
806.52,12.543,52.599,17.4913333333,53.5636666667,42.0476666667,11.158,13.788,45.9073333333,52.4123333333,20.0126666667,20.0123333333
806.83,12.508,53.0333333333,17.2293333333,53.5336666667,42.3076666667,10.741,13.3206666667,45.497,52.5016666667,20.2003333333,19.6996666667
807.13,12.746,52.796,17.182,53.452,42.3616666667,11.293,13.1836666667,45.767,53.3896666667,19.9623333333,20.65
807.44,12.8153333333,52.381,16.7466666667,53.084,41.8343333333,10.355,12.8153333333,45.7656666667,53.2756666667,19.8146666667,21.5083333333
807.74,12.4916666667,52.5183333333,15.7056666667,52.3856666667,41.9816666667,9.543,11.3983333333,45.8583333333,53.0816666667,19.5493333333,21.4713333333
808.05,12.854,52.9013333333,15.4523333333,52.362,41.6666666667,8.755,11.235,46.5923333333,53.239,19.6356666667,21.727
808.35,13.9226666667,53.896,15.9893333333,52.507,41.938,9.502,11.4496666667,46.9173333333,52.8793333333,20.325,21.579
808.66,13.7556666667,52.877,16.0366666667,52.2983333333,41.471,8.376,10.3166666667,47.77,52.9793333333,19.714,21.1783333333
808.97,14.78,53.8246666667,16.4416666667,52.9593333333,42.056,8.0995,10.3843333333,48.2173333333,53.4786666667,19.9723333333,21.6336666667
809.27,16.0773333333,54.519,16.3633333333,53.5906666667,42.4796666667,8.521,10.7536666667,49.5533333333,55.2696666667,20.7216666667,23.044
809.58,14.7343333333,52.6546666667,16.0706666667,51.4623333333,41.3146666667,6.8795,8.812,48.8623333333,53.9906666667,20.0793333333,21.5963333333
809.88,15.1516666667,51.948,15.909,50.4686666667,39.7546666667,7.305,8.47766666667,47.7996666667,52.8136666667,20.0576666667,20.5266666667
810.19,15.7856666667,52.643,16.6666666667,51.028,40.0883333333,7.544,9.43466666667,48.7153333333,53.8913333333,19.7136666667,21.1456666667
810.49,15.5356666667,52.0206666667,15.7953333333,49.9073333333,39.9703333333,6.2295,9.38066666667,48.9803333333,52.54,18.8356666667,20.9866666667
810.80,16.3146666667,52.2803333333,17.019,49.833,41.1196666667,8.12,11.0493333333,49.3883333333,53.8003333333,19.911,21.3566666667
811.10,16.927,52.6413333333,17.2246666667,50.6326666667,41.3693333333,8.9285,13.207,49.442,55.022,21.131,21.0933333333
811.41,17.9693333333,53.039,17.7046666667,51.4156666667,42.2046666667,9.853,13.9676666667,49.6413333333,55.9456666667,22.235,20.385
811.71,17.4196666667,52.337,16.0293333333,51.6803333333,41.29,8.053,13.171,48.6286666667,55.0793333333,20.6643333333,19.5826666667
812.02,17.0376666667,51.6996666667,16.061,50.723,40.2893333333,8.4405,13.013,47.245,54.9826666667,20.3596666667,18.132
812.32,16.158,50.704,16.9403333333,49.8436666667,39.6713333333,9.566,12.8326666667,47.6916666667,54.8513333333,20.6963333333,17.4493333333
812.63,15.3036666667,50.8953333333,18.1076666667,49.7663333333,40.4596666667,11.273,13.9016666667,47.43,54.2833333333,20.7556666667,17.913
