wavelength,Back_GeoConf,Belly_GeoConf,Breast_GeoConf,Crissum_GeoConf,Crown_GeoConf,DorTail_GeoConf,Patch10_GeoConf,Rump_GeoConf,Throat_GeoConf,WingTip_GeoConf
796.40,20.3275333333,22.8748,18.1436,22.5771333333,16.6312,21.0756666667,34.5781333333,19.9271333333,19.7817333333,28.6814
796.70,21.1138666667,23.2324666667,18.7442,22.5226,17.3574666667,21.5179333333,35.146,20.4623333333,20.1529333333,28.9844333333
797.01,20.8546,23.294,18.1618666667,22.1979333333,16.9140666667,20.9556,35.4076,20.2472444445,19.7584,29.0106666667
797.32,19.6152,22.1218333333,17.1922666667,21.2689333333,15.8542,19.8334666666,34.5907333333,19.1941333333,18.4955333333,28.0533
797.63,19.3628666667,22.1415333333,17.1326666667,21.2742666667,16.0058,20.0472666667,34.9439333333,19.1680666667,18.2713333333,28.0648
797.93,18.9898,21.5183666667,16.5396,21.1432,15.5476,19.8488666667,34.8638666667,19.0905111111,17.9431333334,27.6799333333
798.24,18.5302,20.6335,15.9102,20.4058,14.7416,19.348,34.1882666667,18.4153555556,17.1956,27.1247666667
798.55,17.5694666667,19.2791333333,14.4050666667,18.8580666667,13.3714666667,18.2966,33.3269333333,17.0100666667,16.1276,26.15
798.85,16.8380666667,18.4351,13.5854666667,18.4482,12.6608,17.8984666667,32.2856666666,16.1417555556,15.603,25.1245333333
799.16,15.9286,17.534,12.5521333333,17.4446,11.6186666667,16.8950666667,32.1416,15.3259555555,14.5119333333,24.4422333333
799.47,15.2505333333,17.4515,12.2710666667,17.161,11.6030666667,16.8402666667,31.8102666667,15.0099555556,14.1482666667,24.3787333333
799.78,14.7682666667,16.9997666667,11.8779333333,16.9446,10.6144666667,15.7019333334,31.4452,14.4318888889,13.3608,23.8861333333
800.08,13.3613333333,15.8210333333,10.5031333333,16.1844,9.16146666667,14.7449333333,30.2306,13.1469333333,11.9566,23.1865666667
800.39,13.4112666667,14.9965,10.1982,15.6971333333,8.98080000001,14.501,30.2052666667,12.7671333333,11.8967333333,23.0042333333
