wavelength,Back_SicLuam,Belly_SicLuam,Breast_SicLuam,Crissum_SicLuam,Crown_SicLuam,DorTail_SicLuam,Patch10_SicLuam,Rump_SicLuam,Throat_SicLuam,WingTip_SicLuam
230.65,15.0387333333,17.1058666666,18.9664,5.47562121212,7.59686666665,16.7442,12.2220666667,6.64079999999,9.35383333332,14.2636
231.02,17.1170666667,22.5225333333,24.7074,13.8001,12.2072666667,19.8198,14.8873333333,12.6576666667,15.5180666667,22.973
231.40,17.8648666667,24.6186666667,25.2505,17.4173121212,12.7234,21.7428,17.2111666667,13.6819,14.9019,23.8779333333
231.78,12.4999333333,21.1573333334,20.7871666667,12.664130303,7.77780000001,17.5000666667,10.9028,6.389,9.90736666667,20.8796
232.15,15.5396,22.3022666667,22.7577333333,14.4342515152,9.49640000001,18.2734,14.5085666667,6.85843333333,12.0382,24.5082
232.53,11.908,16.138,20.1611333333,10.0314636364,5.79293333333,14.7127333333,11.8161,5.47116666666,7.44816666667,19.1724
232.90,8.04446666667,10.9332,16.5111666667,5.57969999999,5.15553333333,13.4665333333,8.71106666666,2.82216666667,5.66676666666,16.7556666667
233.28,16.9142666667,19.1618666667,24.2286333333,15.440669697,16.8000666667,23.8095333333,18.5333,12.8761666667,14.0190666667,25.8286666667
233.66,14.1899333333,18.3241333333,23.2775333333,13.9258484848,16.9086666667,19.2550666667,17.7282,11.2664,11.7132,23.6126
234.03,19.0284666667,21.541,24.4054,17.2819333333,20.5693333333,22.6466666667,21.1893666667,13.8525666667,16.3316333333,27.2026666667
234.41,19.8672666667,21.4262,26.3018333333,17.8832121212,21.4262,24.5769333334,24.345,15.2570666667,16.6832666667,28.491
234.78,21.2,22.6666666667,28.6,18.6303030303,24.2333333333,26.0666666667,27.1333333333,16.6666666667,18.5833333333,29.2
235.16,19.0328666667,19.9309333333,23.4197,14.0791424242,21.8652666667,23.7306,27.0984333333,14.2833,16.0103,25.0432666667
