wavelength,Back_TanSchf,Belly_TanSchf,Breast_TanSchf,Crissum_TanSchf,Crown_TanSchf,DorTail_TanSchf,Patch10_TanSchf,Patch11_TanSchf,Patch12_TanSchf,Patch13_TanSchf,Patch14_TanSchf,Patch15_TanSchf,Rump_TanSchf,Throat_TanSchf,WingTip_TanSchf
212.17,16.8350666667,6.027,14.5455333333,-8.61956666666,-6.59939999999,-15.0168666667,-5.38713333333,3.63633333335,-10.9089333333,2.62626666667,10.7744666667,0.404000000006,28.0807333333,13.6028666667,-8.41368518518
212.55,14.3234666667,3.56439999999,9.50493333332,-11.5510666667,-7.26073333332,-15.9735333333,-10.1649333333,0.660000000014,-16.1716,-2.17813333333,5.54453333333,-6.93066666667,23.6303333333,10.8250666667,-9.45353703706
212.92,18.7778,13.7499666667,14.6665333333,-1.111,1.94426666668,-4.05553333333,-1.72220000001,8.55559999999,-6.1112,4.66673333333,12.6665333333,2.27786666667,26.111,17.1110666667,1.95048148148
213.30,21.4062666667,16.0157,17.0311333333,0.442566666666,6.87486666667,0.104133333334,0.052066666666,9.5312,-4.21886666667,8.07286666669,16.7707333333,7.03126666667,24.4270666667,19.1665333333,5.76958518519
213.68,21.8818,16.3441,19.9999333333,-0.833333333334,9.62366666667,2.3656,-0.967933333334,8.33333333331,-4.56993333333,10.1612,19.2472,9.56973333333,26.7204666667,22.0967333333,5.52866666667
214.06,14.7767333333,3.05836666668,10.1032666667,-15.1889666667,-3.23019999999,-11.7525333333,-18.5566666667,-8.04133333332,-22.2680666667,-3.78000000001,8.31613333333,-5.15446666667,18.5568,11.3402,-7.51055925924
214.44,12.1864,-3.33333200009e-05,5.59153333332,-21.8279333333,-7.24013333333,-13.62,-24.1576666667,-8.60226666669,-26.6666,-5.08973333334,5.44806666667,-15.3404666667,17.1325333333,4.7312,-7.9649222222
214.81,10.9332666667,-3.59993333334,3.46666666665,-28.0444666667,-11.5556,-15.8222,-35.0221333333,-12.8,-36.8002,-10.0443333333,1.06666666667,-22.5777333333,21.4221333333,5.33326666666,-14.4592111111
215.19,22.3475333333,14.9765666667,19.4366666666,-11.0328333333,3.0986,1.50233333334,-21.3146,3.00480000001,-22.1596666667,4.31906666668,15.2112,-8.3568,40.0939333333,22.1596666667,1.49722592592
215.57,37.2463333333,32.3914,38.0435333334,18.7682,24.2754,19.5654,4.20286666668,26.4492,1.15940000001,22.7535333334,29.9276666667,14.9998666667,52.6088,38.7682,21.715
215.95,41.6821333333,34.8287666667,36.4486,22.8971666667,24.299,20.4362,12.1496,26.1682666667,9.90666666668,28.4735333333,29.7820666667,19.5639333333,52.0248666667,41.9314666667,26.0849703704
216.32,42.0605333333,30.5758,32.6060666667,20.4545666667,19.6363333333,18.6059333333,11.7576,21.2120666667,8.48480000001,26.4849333333,24.6667333333,18.1214,45.5152666667,39.091,23.6196
216.70,34.2858666667,26.4761,29.2062666666,13.5556333333,9.01586666665,13.8412666667,5.77786666668,14.2857333333,-0.761866666667,21.3333333333,17.6508,13.3334,35.6190666667,32.1269333333,16.3316777778
217.08,26.2550666667,14.074,22.9629333334,-5.88476666666,-7.57193333333,-3.8682,-13.0864666667,2.6338,-21.7283333333,11.1935333333,1.72839999999,-2.22213333333,24.4444,19.8354,0.960114814814
217.46,24.4761333333,10.5714,19.8094,-13.0477,-25.0476666667,-12.5713333333,-18.6666,-2.85713333333,-31.0476,8.28573333332,-10.0952,-14.5714666667,23.0478,13.143,-6.67722592594
217.83,26.6666666667,19.9578666667,19.578,-6.37136666666,-19.6624,-2.86913333334,-11.8988,3.88193333332,-22.7004,10.5486,-5.48533333332,-5.90719999999,25.1478,14.4304666667,-2.71442592593
218.21,35.1633333333,31.732,30.7190666667,6.30726666667,0.784400000014,14.5751333333,5.75173333332,18.1044666667,-1.43793333335,22.2223333333,8.69300000001,8.56200000001,33.1372,28.3006,12.6871333333
218.59,32.2222,28.0903333333,26.8054666667,1.77076666667,-5.27773333333,4.375,1.38886666667,9.65266666666,-9.51393333335,18.1251333333,1.25000000001,4.65286666667,26.7362666667,25.1388666667,7.12194814814
218.97,36.4744,30.0322,25.7051333333,3.55776666668,-2.17953333333,7.62819999999,6.15393333333,10.5770666667,-5.12820000001,22.8205333333,7.4358,5.00000000001,25.1282666667,25.577,9.80080370372
219.34,36.1616,24.3097666667,19.1243333333,-3.87196666667,-2.55880000001,0.94266666666,2.82819999999,8.21533333335,-11.6498,19.3266666667,-0.740666666668,-0.673466666667,18.9226,21.4142666667,5.11406666666
219.72,36.0784,22.2743333333,12.4706666667,-15.4117666667,-7.8432,-2.11740000002,-2.58819999999,0.392199999986,-20.0784,15.7647333333,-8.23526666665,-5.64713333333,12.7842666667,17.2548666667,-4.01311111112
220.10,33.3333333333,21.8987333334,12.0674666667,-17.2573333333,-5.73833333334,-1.68766666666,-6.076,2.02539999999,-24.3881333334,13.2488,-13.2488666667,-10.8016666666,8.60740000001,13.4175333333,-2.75216296296
220.47,42.0952666667,37.3809,20.0001333333,-8.42873333334,4.47613333333,6.95233333333,6.76200000001,19.4286666666,-14.8572666667,24.1902666667,-3.04746666667,-3.71413333333,22.1905333333,23.8094666667,10.6244444444
220.85,42.5351333333,34.5539666667,14.4599333334,-1.92493333334,9.20200000001,5.82153333333,10.7980666667,21.5962666667,-7.69953333335,22.0658,-2.25353333334,-1.97179999999,25.2580666667,28.1689333333,9.92176666665
