wavelength,Back_ParHumf,Belly_ParHumf,Breast_ParHumf,Crissum_ParHumf,Crown_ParHumf,DorTail_ParHumf,Patch10_ParHumf,Patch11_ParHumf,Patch12_ParHumf,Patch13_ParHumf,Rump_ParHumf,Throat_ParHumf,WingTip_ParHumf
729.44,17.9853333333,57.2846666667,35.1493333333,42.5423333333,9.55466666667,15.521,15.5643333333,14.1373333333,41.937,8.128,14.397,41.937,13.0133333333
729.76,17.5073333333,56.5333333333,33.7213333333,42.044,8.58133333333,14.5753333333,15.2653333333,13.3246666667,41.6556666667,7.029,13.454,41.052,11.8586666667
730.08,18.1203333333,56.6793333333,34.429,42.183,9.77666666667,15.9713333333,16.2243333333,14.412,42.014,7.45866666667,14.5806666667,40.961,12.853
730.39,18.687,57.4916666667,34.8906666667,42.6346666667,10.059,16.414,16.8773333333,14.8993333333,42.677,7.87033333333,14.731,41.2456666667,13.005
730.71,19.3293333333,58.826,35.807,43.103,10.6083333333,16.939,17.61,15.3876666667,42.7673333333,8.51166666667,15.1363333333,41.887,13.3753333333
731.03,19.4023333333,58.9226666667,36.406,43.9813333333,10.8586666667,17.1296666667,18.0556666667,15.6563333333,43.2243333333,8.96466666667,15.446,41.4143333333,13.889
731.35,18.8423333333,59.9916666667,36.671,44.4443333333,10.6043333333,17.617,18.5043333333,15.4626666667,43.1346666667,9.46333333333,14.9976666667,41.487,13.6883333333
731.67,19.205,60.533,37.4363333333,44.3736666667,10.4483333333,17.8933333333,19.1203333333,15.8626666667,44.078,9.47566666667,14.763,41.9206666667,14.7206666667
731.98,20.11,61.5123333333,38.1496666667,45.2896666667,11.0266666667,18.631,19.8566666667,16.35,45.078,10.055,14.998,42.3743333333,15.6313333333
732.30,20.4343333333,61.856,38.442,46.1473333333,11.3663333333,19.1996666667,20.0086666667,16.5176666667,45.8066666667,10.5576666667,15.113,43.2096666667,15.9643333333
732.62,20.962,61.8986666667,38.2303333333,46.4776666667,11.5116666667,19.3303333333,20.017,16.667,46.134,10.653,14.7336666667,43.0843333333,16.7526666667
732.94,20.9473333333,62.1033333333,38.8526666667,47.24,11.4733333333,19.9476666667,20.252,16.6016666667,46.632,11.082,14.8193333333,43.416,17.123
733.25,21.8586666667,62.4346666667,39.5286666667,47.0766666667,12.391,21.3786666667,20.244,16.8846666667,46.6843333333,12.5653333333,15.4886666667,43.761,18.0626666667
733.57,21.0173333333,61.7133333333,38.4653333333,46.854,11.513,20.705,18.9646666667,15.5733333333,45.7833333333,11.959,14.101,43.4626666667,16.9123333333
733.89,19.837,61.1866666667,37.9983333333,46.1503333333,11.1866666667,20.652,18.116,14.9003333333,44.882,11.096,12.9983333333,42.7536666667,16.7573333333
734.21,19.6216666667,60.6186666667,37.7193333333,45.7983333333,10.803,20.7756666667,17.9133333333,15.0043333333,44.9216666667,10.9876666667,12.881,42.1053333333,16.7586666667
734.52,20.1703333333,61.411,37.8316666667,46.2593333333,10.843,21.1173333333,17.6136666667,15.0096666667,44.7916666667,11.0323333333,12.879,42.3293333333,16.6193333333
734.84,21.0143333333,61.7873333333,38.164,46.763,11.4976666667,21.3523333333,17.2463333333,14.6856666667,45.2173333333,11.0143333333,13.3816666667,42.4153333333,17.391
735.16,20.7783333333,61.595,37.5676666667,46.5286666667,11.3243333333,21.1226666667,16.8386666667,14.131,44.6086666667,10.98,13.0476666667,41.7526666667,16.1003333333
735.48,20.3426666667,60.2213333333,36.5556666667,45.418,10.9266666667,20.6446666667,15.9113333333,13.142,44.31,10.3223333333,12.1853333333,41.39,14.854
735.79,19.9596666667,59.4733333333,36.4236666667,43.9716666667,11.0436666667,20.517,15.7043333333,12.5126666667,43.5156666667,9.67566666667,12.5123333333,40.223,14.6403333333
736.11,20.5403333333,59.429,36.4933333333,44.597,11.264,21.4066666667,15.8,12.2323333333,43.374,9.786,12.946,40.265,14.322
736.43,20.2966666667,58.5893333333,35.583,43.8136666667,11.0426666667,20.5523333333,15.3883333333,11.503,42.28,9.25366666667,12.372,39.315,13.804
736.74,20.177,59.0223333333,35.4136666667,43.838,11.0243333333,19.865,14.7686666667,11.752,41.7576666667,8.476,12.0123333333,39.5216666667,13.937
737.06,20.7476666667,60.8213333333,36.0186666667,44.4973333333,11.2163333333,20.1683333333,15.113,12.006,42.5486666667,8.68866666667,12.3226666667,39.5996666667,14.6393333333
737.38,21.789,60.5303333333,35.7776666667,44.618,11.3363333333,19.917,15.601,12.4283333333,42.3296666667,8.892,13.1563333333,39.4696666667,14.977
737.69,21.8746666667,60.573,35.729,44.8436666667,11.458,19.7916666667,15.3646666667,12.448,42.2396666667,9.21866666667,13.4373333333,39.0103333333,15.0523333333
738.01,21.4023333333,60.0733333333,34.9033333333,43.799,11.2506666667,19.0473333333,14.495,11.9833333333,41.915,8.111,13.082,38.671,14.4953333333
738.33,20.912,60.3776666667,34.6436666667,43.1863333333,11.1633333333,19.392,14.8846666667,12.526,42.61,8.33333333333,13.522,38.4696666667,14.5176666667
738.64,20.7136666667,61.0756666667,34.0786666667,42.705,11.342,19.276,14.4836666667,12.4066666667,42.6516666667,7.774,12.9926666667,38.5516666667,14.1106666667
738.96,20.9193333333,62.546,34.1786666667,43.5816666667,11.8333333333,19.704,14.8443333333,13.418,42.6306666667,7.871,14.263,38.299,14.4743333333
739.28,20.9206666667,62.547,33.9756666667,44.1413333333,11.557,20.0643333333,14.3923333333,13.483,42.536,7.97233333333,13.8043333333,39.005,14.0716666667
739.59,20.2053333333,62.939,33.5496666667,43.976,11.021,19.773,13.9926666667,13.4523333333,42.5173333333,7.61766666667,13.8303333333,38.682,14.3163333333
739.91,20.888,64.6926666667,34.704,45.1203333333,11.8416666667,21.1623333333,14.4733333333,14.638,43.8596666667,8.388,14.7476666667,39.7476666667,15.7346666667
740.23,21.3506666667,64.107,35.512,45.098,12.5273333333,22.5493333333,15.6863333333,15.359,44.3896666667,9.53166666667,16.013,39.597,16.231
740.54,22.1316666667,63.676,36.5416666667,45.8943333333,13.159,23.4366666667,16.6393333333,16.6936666667,44.698,10.7123333333,17.183,40.076,17.02
740.86,22.185,64.3373333333,36.9383333333,46.7553333333,13.6993333333,24.57,16.916,16.639,45.5906666667,11.5916666667,17.748,40.3216666667,17.8036666667
741.18,21.7926666667,63.8093333333,36.1906666667,46.6666666667,13.2776666667,23.7533333333,16.3026666667,15.8543333333,45.1543333333,11.2603333333,16.5266666667,40.5603333333,16.919
741.49,22.3703333333,63.662,36.839,47.4683333333,14.6356666667,24.7076666667,17.4736666667,16.8056666667,45.075,13.133,17.084,40.846,17.696
741.81,23.0,62.8333333333,36.9446666667,47.333,15.2776666667,24.889,17.5556666667,17.2223333333,44.333,13.7223333333,17.0556666667,40.833,17.7223333333
742.12,23.8333333333,63.3333333333,37.8333333333,48.8886666667,15.9996666667,25.9443333333,17.3336666667,17.9443333333,45.0,15.1663333333,18.7776666667,40.722,19.2776666667
742.44,24.052,63.158,38.2566666667,48.387,16.0156666667,26.2026666667,17.544,17.4873333333,44.822,15.9026666667,18.2796666667,41.1996666667,20.1473333333
742.76,24.8456666667,63.35,38.1113333333,48.8476666667,17.0883333333,26.588,18.325,18.4936666667,45.5313333333,17.313,18.9433333333,41.4276666667,21.304
743.07,25.0866666667,64.1293333333,38.7543333333,49.0773333333,17.82,27.4513333333,18.858,19.0886666667,46.828,18.5696666667,19.2616666667,42.2146666667,21.799
743.39,24.9566666667,63.2583333333,38.417,48.6423333333,17.7933333333,27.7873333333,18.9486666667,18.833,46.5626666667,18.833,19.4106666667,41.8833333333,21.2593333333
743.70,25.5963333333,64.1073333333,38.86,49.098,18.441,27.8066666667,18.732,19.372,46.7133333333,19.546,19.9533333333,42.234,21.466
744.02,25.8933333333,63.7376666667,37.6683333333,48.1546666667,18.7463333333,27.7676666667,18.6293333333,19.5076666667,46.8073333333,18.6293333333,19.6836666667,41.652,22.2613333333
744.34,26.359,64.1843333333,38.1796666667,47.813,18.9123333333,27.955,18.735,20.331,47.104,18.2626666667,19.9763333333,41.194,21.8083333333
744.65,26.4636666667,63.9786666667,38.2913333333,47.9093333333,19.5343333333,29.152,18.7573333333,20.8483333333,47.073,18.459,21.0276666667,40.5616666667,22.8196666667
744.97,26.087,63.9496666667,38.2853333333,48.249,19.384,29.8913333333,18.1763333333,20.773,47.5843333333,18.1763333333,21.3766666667,41.3646666667,23.6716666667
745.28,25.8046666667,64.4806666667,37.887,48.0873333333,18.8826666667,30.2973333333,17.7896666667,20.6436666667,47.0553333333,17.9723333333,20.8866666667,40.9226666667,23.8613333333
745.60,25.0613333333,64.277,37.5003333333,46.875,18.689,29.963,17.831,20.4043333333,46.446,17.279,20.2206666667,41.1766666667,23.039
745.91,24.1146666667,62.8816666667,36.1413333333,46.398,18.01,29.426,16.7276666667,19.8413333333,45.6046666667,16.4836666667,20.0243333333,39.9266666667,22.1
746.23,23.0336666667,63.2336666667,36.579,47.0663333333,17.166,29.276,16.1673333333,19.2886666667,45.755,16.1673333333,20.5366666667,40.1996666667,21.2856666667
746.55,23.0863333333,62.7776666667,35.8643333333,47.284,17.1606666667,27.963,16.4813333333,18.5803333333,44.6293333333,15.741,20.3703333333,39.6913333333,21.2346666667
746.86,23.296,62.887,35.44,47.212,17.1006666667,27.5093333333,16.233,18.1536666667,44.238,14.994,20.88,39.6526666667,21.0036666667
747.18,21.704,62.0023333333,33.6443333333,46.5173333333,15.6716666667,26.306,15.112,16.6043333333,43.3456666667,13.7436666667,19.5893333333,39.055,19.776
747.49,19.8743333333,61.6983333333,32.7673333333,45.9746666667,14.214,25.1573333333,14.214,15.283,42.0756666667,13.3963333333,18.4276666667,38.3646666667,17.5473333333
747.81,19.233,60.235,31.7253333333,45.331,13.729,24.737,13.6053333333,14.904,41.064,13.1726666667,18.429,38.4046666667,17.378
748.12,18.958,61.3306666667,32.078,46.0763333333,13.5593333333,24.608,13.873,14.689,41.306,12.9313333333,18.644,39.3596666667,17.0746666667
748.44,19.4236666667,61.842,32.0173333333,45.6766666667,12.9073333333,24.5613333333,14.035,15.2256666667,40.9773333333,12.7816666667,18.797,38.6593333333,16.6666666667
748.75,20.0256666667,62.294,32.5096666667,46.451,12.9276666667,24.905,14.829,15.2723333333,42.0153333333,13.118,20.152,39.7973333333,17.1736666667
749.07,20.677,62.03,33.2706666667,47.431,12.9073333333,24.7493333333,15.288,15.7896666667,41.98,14.223,21.053,40.0376666667,17.4813333333
749.38,21.212,62.4613333333,34.323,48.423,13.482,25.7886666667,15.8936666667,16.2026666667,42.4243333333,15.3986666667,21.707,40.94,17.687
749.70,21.3183333333,61.5526666667,34.0726666667,46.8886666667,13.3703333333,26.186,15.835,16.081,42.144,14.9103333333,21.7496666667,40.3573333333,18.176
750.01,21.8136666667,61.213,34.5586666667,46.507,13.6646666667,27.3283333333,15.5026666667,16.6053333333,42.647,15.1346666667,22.3036666667,40.7476666667,18.4436666667
750.33,20.9173333333,61.0396666667,33.945,45.8716666667,13.5166666667,27.156,15.7796666667,16.697,43.4863333333,15.352,21.7123333333,40.7953333333,18.41
