wavelength,Back_SalOref,Belly_SalOref,Breast_SalOref,Crissum_SalOref,Crown_SalOref,DorTail_SalOref,Patch10_SalOref,Patch11_SalOref,Rump_SalOref,Throat_SalOref,WingTip_SalOref
383.77,9.42226666666,14.9730666667,21.2533333333,6.38533333333,8.34663333333,6.9302,23.5835333333,4.74513333333,9.86089333334,32.7754666667,9.1678
384.14,9.35946666666,14.9444333333,21.2078,6.32406666667,8.21043333333,6.842,23.5456,4.66146666667,9.80486666666,32.7092666667,9.11213333333
384.50,9.48299999999,15.1160666667,21.3684333333,6.4524,8.3614,6.9748,23.7030666667,4.7598,9.94777333332,32.9047333333,9.19926666667
384.86,9.46986666667,15.0825333333,21.3764333333,6.4328,8.35336666667,6.93233333333,23.7370666667,4.7354,9.95990666665,32.9520666667,9.1993
385.22,9.55773333335,15.1561666667,21.4839333333,6.43833333333,8.42703333333,7.00726666667,23.8072,4.80813333333,9.98197333334,32.9352666667,9.23376666667
385.58,9.55806666668,15.1487,21.5508333333,6.3858,8.3908,6.98586666666,23.8201333333,4.77466666667,9.90006666666,32.9266,9.15946666667
385.94,9.62626666665,15.2477666667,21.5923,6.48513333333,8.4627,7.0648,23.9049333333,4.871,9.95471999999,33.0033333333,9.18720000001
386.30,9.59773333335,15.3428666667,21.7108,6.51126666666,8.47206666667,7.05273333333,23.9546,4.8632,9.93585333334,33.0330666667,9.19893333334
386.66,9.63473333334,15.3808333333,21.8270666667,6.5486,8.52546666667,7.08426666667,23.9924,4.9346,9.94160000001,33.0865333333,9.24230000001
387.03,9.51760000001,15.3631,21.7694333333,6.41346666667,8.4019,6.97486666667,23.9011333333,4.8176,9.79301333333,33.027,9.14663333333
387.39,9.36899999999,15.2718333333,21.6283666667,6.28586666667,8.2471,6.80313333333,23.7616666667,4.6742,9.62627999999,32.933,9.0625
387.75,9.47586666667,15.3836666667,21.7441,6.39393333333,8.3197,6.88273333333,23.8882,4.75166666667,9.70238666666,33.024,9.10646666667
388.11,9.47280000001,15.4275333334,21.8386666667,6.41086666667,8.35253333333,6.88486666667,23.9077333333,4.73053333333,9.69416,33.0599333333,9.11326666667
388.47,9.36713333333,15.3952333333,21.849,6.36813333333,8.27526666667,6.79073333333,23.9003333333,4.63286666667,9.59277333334,33.0742,9.02236666667
388.83,9.34746666667,15.3946666667,21.8747,6.37966666667,8.23323333333,6.7944,23.9381333333,4.60706666667,9.55841333332,33.0582,9.00509999999
389.19,9.31386666666,15.4242333333,21.9211333333,6.40006666667,8.19763333333,6.7672,24.0124666667,4.57333333333,9.54562666667,33.0996,8.97686666667
389.55,9.21753333333,15.3754333334,21.8352333334,6.35346666666,8.1389,6.6758,23.9568,4.53373333333,9.51825333333,33.0504666667,8.89816666667
389.91,9.1726,15.3798333333,21.8897666667,6.318,8.1185,6.61406666667,23.9594666667,4.4832,9.51106666665,33.1066666667,8.89213333333
390.27,9.16566666665,15.3449333334,21.8605,6.3198,8.14073333333,6.62186666667,23.9449333333,4.47806666667,9.51970666667,33.0874666667,8.86679999999
390.63,9.24246666667,15.4577,21.9315666666,6.39866666667,8.21563333333,6.6688,23.9828666667,4.53513333333,9.59395999999,33.1572666667,8.92530000001
391.00,9.29186666667,15.5333666667,22.0292333333,6.42633333333,8.23576666667,6.68493333333,24.0912,4.54146666667,9.62886666667,33.2498,8.95526666667
391.36,9.38566666666,15.6657666667,22.1671666667,6.512,8.32603333333,6.80033333333,24.2412,4.63573333333,9.72245333335,33.4020666667,9.00166666667
391.72,9.26853333335,15.6177,22.1585333333,6.39646666667,8.28743333333,6.7162,24.2454,4.53653333333,9.63495999999,33.4554666667,8.93793333333
392.08,9.2612,15.6543,22.2374,6.3932,8.28936666667,6.724,24.3438,4.5556,9.64551999999,33.5809333333,8.9459
392.44,9.30206666666,15.6755333333,22.2313,6.36213333333,8.3181,6.73673333333,24.3668666667,4.60473333333,9.68737333333,33.5964666667,8.98876666666
392.80,9.35026666667,15.7949666667,22.3959,6.40306666667,8.3968,6.766,24.4654666667,4.65626666667,9.73410666667,33.7536,9.0306
393.16,9.32619999999,15.7514333333,22.3887,6.35953333333,8.37353333333,6.711,24.4611333333,4.6162,9.70427999999,33.8340666667,8.99079999999
393.52,9.39273333333,15.8427,22.5275333333,6.42033333333,8.43126666667,6.78806666667,24.6187333333,4.66626666667,9.77379999999,33.9753333333,9.04936666667
393.88,9.35060000001,15.8304333333,22.4830666667,6.379,8.3571,6.75906666667,24.6146,4.6398,9.7036,33.9272,8.987
394.24,9.40026666666,15.9182333333,22.6128,6.43813333333,8.40393333333,6.82566666667,24.7332,4.68453333333,9.77794666667,34.0561333333,9.07023333334
394.60,9.27593333333,15.8838666667,22.6424,6.34546666667,8.2917,6.73673333333,24.7966666667,4.5772,9.69133333335,34.1052,9.00646666666
394.96,9.31206666667,15.9234,22.7300666667,6.43653333333,8.3598,6.79466666667,24.857,4.6548,9.76766666667,34.1793333334,9.02466666667
395.32,9.36653333333,15.9872,22.8429,6.48646666667,8.4021,6.83926666667,24.9139333333,4.6978,9.80126666667,34.2658,9.05523333333
395.68,9.41293333333,16.0451,22.9078666667,6.5194,8.38596666667,6.85466666667,24.947,4.70566666667,9.81574666666,34.2997333333,9.07276666667
396.04,9.42953333333,16.0887333333,22.951,6.4816,8.37383333333,6.8464,24.9310666667,4.70386666667,9.81135999999,34.3318,9.04393333333
396.40,9.48566666667,16.1906,23.1123666666,6.525,8.35513333333,6.84986666667,25.0102666667,4.70086666667,9.80223999999,34.4732,9.05463333333
396.76,9.47400000001,16.2325,23.103,6.53493333333,8.3144,6.81446666667,25.0094,4.7112,9.79073333333,34.4711333333,9.05146666667
397.12,9.46893333333,16.3607,23.2474666667,6.57606666667,8.29856666666,6.80533333333,25.0493333333,4.6958,9.80807999999,34.5412,9.10899999999
397.48,9.48666666665,16.3894666667,23.36,6.60946666667,8.3309,6.8226,25.1014666667,4.7204,9.85345333333,34.6708666667,9.14773333334
397.84,9.59586666667,16.4976333333,23.5848666667,6.72713333333,8.4356,6.89946666667,25.2675333333,4.79366666667,9.9814,34.8769333333,9.24496666667
398.20,9.50093333333,16.5189333333,23.6457,6.618,8.32806666667,6.76353333333,25.3025333333,4.7194,9.89584000001,34.9352,9.15773333333
398.56,9.65719999999,16.6456,23.7900666667,6.78406666667,8.4779,6.9394,25.4722,4.8728,10.05652,35.0832666667,9.26596666667
398.92,9.60580000001,16.6220333333,23.8142333333,6.72773333333,8.43213333333,6.86593333333,25.4897333333,4.80673333333,10.0028266667,35.1328,9.2578
399.28,9.50826666667,16.5764333334,23.8212,6.6334,8.35603333333,6.75466666667,25.5286,4.6802,9.95694666667,35.177,9.21329999999
399.64,9.50593333335,16.6288666667,23.8562666667,6.66606666667,8.37336666667,6.756,25.5772,4.70733333333,9.99446666668,35.2232666667,9.21423333333
400.00,9.57066666667,16.6949333333,23.9763333334,6.74253333333,8.41173333333,6.77606666667,25.7108,4.72686666667,10.0456533333,35.3435333333,9.2647
400.36,9.49559999999,16.6833,23.9745333333,6.75086666667,8.418,6.75086666667,25.7549333333,4.69206666667,10.0652266667,35.3402,9.23923333334
400.72,9.46813333333,16.7253666667,24.0347,6.70693333333,8.3967,6.72993333333,25.8319333333,4.62506666667,10.0634266667,35.4720666667,9.17350000001
401.08,9.50466666665,16.7781666667,24.0950666667,6.71873333333,8.42866666667,6.7622,25.9413333333,4.67046666667,10.1128,35.5622666667,9.15223333333
401.44,9.52020000001,16.8215666667,24.1504666667,6.71926666667,8.4189,6.75473333333,25.9901333333,4.65913333333,10.0916666667,35.5781333333,9.15693333333
401.80,9.5056,16.9162,24.221,6.71466666667,8.46796666667,6.77266666667,26.0726,4.67593333334,10.12752,35.5896,9.17779999999
402.16,9.56833333334,16.9331333333,24.2635666667,6.7624,8.53506666667,6.843,26.1088666667,4.71166666667,10.1645866667,35.6225333333,9.19740000001
