wavelength,Back_IncPerf,Belly_IncPerf,Breast_IncPerf,Crissum_IncPerf,Crown_IncPerf,DorTail_IncPerf,Patch10_IncPerf,Patch11_IncPerf,Rump_IncPerf,Throat_IncPerf,WingTip_IncPerf
785.29,21.083,37.896,27.604,27.854,20.5416666667,19.75,6.646,31.7815,15.3123333333,20.8336666667,15.0
785.60,21.9273333333,38.3983333333,28.495,28.536,21.371,20.2183333333,7.062,32.6125,16.1003333333,21.5153333333,15.6473333333
785.91,22.6306666667,38.46,29.2486666667,28.697,21.2826666667,20.7313333333,7.41433333333,32.751,17.014,21.6913333333,15.8903333333
786.22,22.4173333333,37.8126666667,29.338,28.5106666667,20.803,20.924,7.46566666667,32.6875,17.3726666667,21.4083333333,15.012
786.53,21.844,37.236,28.9926666667,28.5143333333,20.5696666667,20.609,7.10866666667,32.1985,17.3036666667,21.0473333333,15.1533333333
786.84,22.0316666667,37.771,28.639,28.3433333333,19.9016666667,20.7296666667,7.12033333333,32.1005,17.4356666667,20.9863333333,15.365
787.14,21.744,37.8316666667,28.8743333333,28.6976666667,19.1713333333,20.546,6.914,31.674,17.9136666667,21.312,15.282
787.45,22.369,37.9066666667,29.3533333333,28.9133333333,19.3076666667,20.3786666667,7.27133333333,31.2575,17.968,21.7566666667,15.576
787.76,23.2896666667,38.374,29.9603333333,29.619,20.0303333333,20.3336666667,7.22033333333,31.4385,17.9646666667,22.342,16.0316666667
788.07,23.2106666667,38.4893333333,29.764,29.4616666667,19.7356666667,19.9243333333,6.79866666667,31.3595,17.7906666667,22.3983333333,16.015
788.38,23.3106666667,38.4196666667,29.8986666667,29.392,19.8386666667,19.8576666667,7.057,31.616,17.8116666667,22.56,15.822
788.69,23.969,38.071,29.8026666667,29.1713333333,19.6206666667,20.1043333333,6.93066666667,31.5215,18.042,22.4826666667,16.0346666667
789.00,23.675,37.4106666667,29.162,28.711,18.7333333333,19.3913333333,6.50133333333,30.7495,17.3243333333,21.909,15.6143333333
789.31,23.8176666667,37.379,28.87,28.794,18.5373333333,19.2213333333,6.47666666667,31.1965,16.8283333333,21.8616666667,15.4416666667
