wavelength,Back_TanRuum,Belly_TanRuum,Breast_TanRuum,Crissum_TanRuum,Crown_TanRuum,DorTail_TanRuum,Patch10_TanRuum,Patch11_TanRuum,Rump_TanRuum,Throat_TanRuum,WingTip_TanRuum
768.82,19.2861666667,55.5635,37.98975,39.2031666667,12.7375,20.7941666667,11.8481666667,36.5475833333,26.57425,41.2551666667,21.0312023809
769.13,18.8151666667,55.1415,37.5,38.9715833333,12.2578333333,20.3241666667,11.314,36.4070833334,25.9253333333,41.014625,20.7118154762
769.44,18.8995,54.8536666667,37.5380833333,38.6386666666,12.2265833333,20.4899166667,11.304,36.4823333333,25.7634166667,41.2659166667,20.5094642857
769.76,18.9844166667,54.6610833333,37.256,38.3025,11.99925,20.7305,11.2480833333,36.6205833333,25.9630833333,40.66825,20.4246845238
770.07,18.9475833333,54.3985833333,37.0130833333,38.03925,11.9476666667,20.7253333333,11.2286666666,36.3529166667,25.7844166667,40.4507916667,20.5962380952
770.38,19.1415,54.39225,37.02225,38.20325,12.1350833333,21.2380833333,11.6973333333,36.2593333333,25.7430833333,40.7045833333,20.918577381
770.69,18.557,54.126,36.5380833333,37.859,11.66675,21.3213333334,11.1585,36.2196666667,25.23025,40.4165833333,20.6750238095
771.00,19.2338333333,55.2375833333,37.0606666667,38.406,12.9256666666,22.2335833334,11.4978333333,37.2048333333,25.5354166667,41.028125,21.24375
771.32,18.9210833334,54.7510833333,36.36225,38.4025833333,13.0083333333,22.0815,11.3345833334,36.6735,25.30425,41.2932083334,21.1273392857
771.63,19.1786666667,55.1355833333,36.5448333333,38.8539166667,13.16125,22.2153333333,11.5800833333,36.82475,25.51075,41.5511666666,21.4434107143
771.94,18.9298333333,54.9633333334,36.8091666667,38.7548333333,13.2473333333,22.2504166667,11.3931666667,36.7808333333,25.3525833333,41.6066666666,21.1305892857
772.25,19.8916666666,55.7934166667,37.5214166667,39.3194166666,14.2551666667,22.81675,12.20025,37.4786666667,25.8490833334,42.41575,21.7959702381
772.56,19.4350833333,54.9916666666,37.29825,38.9549166667,14.0115833333,22.6635,12.2203333333,36.753,25.6300833333,41.6490833333,21.4882142857
772.87,19.7295,55.8190833333,37.6354166667,39.6866666667,14.6936666667,23.18375,12.8845833333,37.1865833333,26.2749166667,42.2507083333,22.3596190476
773.18,20.2005833333,56.1589166667,37.5871666666,40.4813333333,15.3721666667,23.0149166666,13.1181666667,37.3618333333,26.1053333333,42.7465416667,22.5168214286
773.50,19.9865833333,56.0954166667,37.1320833333,39.8334166666,14.8704166666,22.5780833333,12.11,37.2349166667,25.3165833333,42.597875,21.8181904762
773.81,20.7585833333,57.3028333333,38.3886666666,40.539,15.9125,23.43925,13.0076666667,38.6199166666,26.6205,43.413875,22.7902202381
774.12,20.98725,57.7849166667,38.4956666667,40.825,16.1555,23.8203333333,13.7435833333,39.0893333333,26.9160833333,43.7743333333,22.9712559524
774.43,19.7868333333,56.99375,38.006,40.0835833333,15.2968333333,22.8843333333,13.5235,37.7624166666,26.4915833333,43.0479583333,21.8580714285
774.74,19.0775833333,57.0775,37.5271666667,39.4108333333,14.7055,22.3411666667,12.8295,37.51175,26.1628333333,42.47675,21.0770059524
775.05,18.9415,56.76275,37.0784166667,38.6646666667,14.4073333333,22.1604166667,12.6043333333,37.1478333334,25.8434166667,41.895,20.6033392857
775.36,19.8269166666,57.5453333333,37.7028333334,39.3495,15.1683333334,22.7294166667,13.2491666667,37.9136666667,26.4434166667,42.8683333334,21.696125
775.67,18.69875,56.9338333333,36.9623333334,38.7254166667,14.3659166667,22.2408333333,12.0889166667,37.405,25.8855833333,42.0103333333,21.4647261905
775.98,18.616,57.039,36.6651666667,38.74225,14.1419166667,21.852,11.673,37.6319166666,26.0545833333,41.9342916667,21.7240892857
776.30,18.115,56.9335833333,36.3269166667,38.4143333333,13.4709166667,21.5455,11.343,37.38675,25.453,41.059875,20.821125
776.61,18.4043333333,57.2098333333,37.0595,38.5305,13.7163333333,22.0013333333,11.6956666667,37.9081666667,25.80025,41.4808333333,21.4910357143
776.92,19.21325,58.0314166667,37.96925,39.86275,14.6750833333,22.976,12.9121666667,38.5814166667,26.6976666667,41.9685833333,22.4387738095
777.23,18.27775,57.033,36.6535,39.385,13.4853333333,21.9496666666,11.73525,37.28325,25.6541666666,41.0492916667,21.5003809524
777.54,18.4559166667,56.732,36.781,39.3219166667,13.73375,21.9119166667,12.0261666667,37.2385833334,25.9720833333,41.1559583333,21.5058392857
777.85,19.5259166666,56.9485833334,36.8199166667,40.19225,14.4428333333,22.64575,12.5204166667,38.3350833333,26.0671666667,41.707375,22.270422619
778.16,19.79975,56.372,36.71875,39.9739166667,14.21725,22.6074166667,12.5406666667,38.3708333333,25.9765,41.0930833333,22.3620654762
778.47,19.7855,56.5079166666,36.9188333333,40.6025833333,14.8329166667,23.0599166667,13.335,38.8670833334,26.1953333333,41.35975,22.7933571428
778.78,20.1463333333,56.3740833333,36.73175,40.7153333334,15.3740833334,23.3250833333,13.70725,38.7315833333,26.6259166667,41.244,22.8711071429
779.09,20.51725,56.3878333333,37.273,40.9209166667,15.5075,24.02725,14.2428333333,38.9510833333,26.7834166667,41.3425,23.0273630952
779.40,20.5185833333,56.4529166667,37.4586666667,40.8050833333,15.1756666666,24.2793333333,14.2561666667,38.6348333333,26.4495,41.3476666667,22.7202142857
779.71,20.1891666667,56.14125,37.2405833333,40.9973333333,15.0519166666,24.2720833333,13.8303333333,38.2614166666,26.4223333334,41.5830416666,22.65675
780.02,18.824,54.95775,35.9728333333,40.1100833333,13.7225,23.7646666667,12.8258333333,37.1404166667,25.9558333333,40.4822083334,21.5850535715
780.33,19.6343333333,55.67175,36.8623333333,40.7739166667,14.5323333333,24.7195,13.7924166667,37.91675,26.8453333333,41.4625833333,22.2753630953
780.64,18.94175,55.90125,37.0466666666,40.368,14.4439166667,24.2240833333,13.4065833333,37.8834166667,26.508,41.596875,21.678827381
780.95,18.3531666667,56.1895833333,37.1455833333,40.4735,14.2536666667,24.0221666667,12.3608333333,37.4148333334,26.12125,41.559,21.4203452381
781.26,17.8873333333,56.2409166667,38.1424166667,40.5835833333,13.7665,24.3299166666,12.5550833333,37.1970833333,26.2205833333,41.49675,21.7393214285
781.57,18.1220833334,56.461,38.5519166667,40.89725,13.9323333333,24.277,12.8291666666,37.2451666667,25.95475,41.49975,21.8782916667
781.88,19.4660833333,57.0963333334,39.4904166666,42.0479166667,14.7601666667,25.186,13.51375,38.2625,26.9346666667,42.062125,22.9245119048
782.19,18.1300833333,55.9768333333,38.7210833334,40.7353333333,13.2365,23.79325,11.9630833333,37.2860833333,25.7315833333,40.8970833333,21.4189940476
782.50,18.0209166667,57.3349166667,38.9580833334,41.3799166667,12.8905,23.33925,11.40775,37.7025833333,25.8106666667,41.8939583333,21.5845178572
782.81,19.1814166667,58.4418333333,40.562,42.7415833333,14.3884166667,24.4376666667,12.90925,39.22075,27.0511666667,43.3727083333,22.5345
783.12,20.1355833333,58.6280833333,40.9885,43.0819166667,15.5169166667,24.6365,13.96425,40.09425,27.5649166667,43.6615,23.5954702381
783.43,21.2308333333,59.786,42.5991666667,44.48375,16.9904166667,25.2945,15.7441666666,40.6850833334,28.3568333334,44.5524166667,25.2600654762
783.74,20.26325,58.3723333333,41.774,43.9375,16.959,24.4151666667,15.4385833333,39.67825,28.1090833334,43.97175,25.0213511905
784.05,21.14325,58.4205,42.1415,44.2926666666,17.5096666666,24.86425,16.4341666667,40.2228333333,28.9921666667,43.6966666667,25.9918571428
784.36,21.0414166667,57.94625,41.91825,44.0669166667,16.9474166667,24.5060833333,16.7053333333,40.2439166667,28.9779166667,43.254,25.9913928571
784.67,21.8325,57.4378333333,41.5630833333,43.7311666667,17.8166666667,24.7736666667,17.18525,40.3750833333,29.11,42.656375,26.4686666667
784.98,22.2546666667,58.3621666667,42.5464166667,44.76025,18.2909166667,25.9958333333,17.6140833333,41.3959166667,29.9208333334,43.6242916667,26.8609761905
785.29,21.6099166667,57.9816666667,42.06725,43.33725,17.077,25.1758333333,16.7351666666,40.5138333334,29.2985,43.0880833333,25.7682797619
785.60,22.8385,59.1354166667,43.0066666667,44.8846666667,17.8698333333,26.4965833333,18.1533333333,41.72525,30.4088333333,44.4004583333,27.1860833333
785.91,23.6318333333,58.94575,43.2070833333,45.0534166667,18.64725,27.28675,18.9725,42.2598333334,31.25725,44.4508333333,27.5238333333
786.22,24.4698333333,59.0495,43.3128333333,45.573,19.8568333334,28.032,19.65225,42.2805833333,31.5475833333,44.563875,28.7347678572
786.53,23.50425,58.6491666667,42.8279166667,44.8160833334,18.9058333333,26.9975,18.8219166667,41.3323333333,31.2244166667,44.2123333333,28.3026369048
786.84,23.27975,58.2871666667,41.9903333333,44.30275,18.1280833333,26.0544166667,17.832,41.2874166667,30.6328333333,43.7476666667,27.4590654762
787.14,22.5280833333,58.6705,41.6199166667,44.3070833334,16.9475833333,25.39325,16.8539166667,41.07675,29.7754166667,43.0242916667,26.7977619048
787.45,22.6138333333,58.9206666667,41.72175,44.5025833333,17.0705833333,26.092,17.13475,41.0425833334,29.7999166667,43.6354583333,26.7772678572
787.76,22.8555833333,59.2653333334,41.7029166667,44.4895833333,17.2729166667,26.0224166667,17.3363333333,40.8795,30.067,43.8880833333,26.9743333333
788.07,23.39325,60.1396666667,42.4473333334,45.1433333334,17.61975,26.4251666667,17.4745833333,41.2218333333,30.6008333333,45.0254166667,27.7174821429
788.38,23.589,59.9219166667,42.2789166667,44.693,17.7139166667,26.269,17.6784166667,40.5750833333,30.7240833333,44.6352916667,27.8252142857
788.69,23.7655833333,59.8500833333,42.619,44.9821666667,18.2538333333,27.0458333333,18.1304166667,40.7581666667,31.2520833334,45.194125,28.415125
789.00,22.59625,59.2878333333,42.4795833333,44.4679166667,17.9304166667,26.5554166667,17.674,40.1290833333,30.5585,44.4019166667,27.6794880952
789.31,21.46925,58.4578333333,42.2625,43.6855833333,17.2446666666,25.60475,16.889,39.2653333333,29.5624166667,43.525375,26.907547619
789.62,21.3931666666,59.61825,43.01575,44.163,16.9879166667,25.78925,16.95125,39.77625,29.8825833333,44.029875,26.56675
789.92,21.1495833334,59.6261666667,42.8746666667,44.4791666667,16.60075,25.9154166666,16.49675,40.015,29.3413333333,43.761875,25.9349345238
790.23,20.8524166667,58.8279166666,42.0186666666,44.1114166667,16.4288333333,25.9036666667,16.2196666667,38.984,28.6148333333,42.9319166666,24.9708273809
790.54,21.9755833333,59.1011666667,42.8705833333,44.5203333333,17.4724166667,27.5028333334,17.2354166667,39.5429166667,29.3230833333,43.6719166667,25.9725178571
790.85,22.5644166667,59.38975,43.1825833333,44.7476666666,17.7131666667,27.4549166666,17.33175,39.72025,29.2646666667,43.8235416667,26.4867202381
791.16,23.1110833333,59.4156666667,43.4574166667,44.7265,18.24075,27.7055833333,17.6604166667,39.64975,29.2010833333,43.7426666667,27.0043988096
