wavelength,Back_SpoFrof,Belly_SpoFrof,Breast_SpoFrof,Crissum_SpoFrof,Crown_SpoFrof,DorTail_SpoFrof,Rump_SpoFrof,Throat_SpoFrof,WingTip_SpoFrof
193.99,19.3695,16.4413333333,22.973,74.7748333334,22.7478333334,86.4863333332,20.9458333334,62.1621666667,-58.1083333334
194.37,-2.381,-1.70083333335,-2.04066666665,77.211,-11.9045,95.238,1.70083333335,54.4216666666,-115.306
194.75,0.606,17.5758333333,-0.60616666665,77.2726666667,-4.2425,99.394,2.72733333335,45.4546666666,-86.6665
195.13,16.425,35.2656666667,21.0145,92.0289999999,20.5315,97.1013333333,24.396,46.6183333333,-49.7585
195.51,6.83066666667,41.2568333334,20.2185,98.0873333335,19.3986666667,103.278833333,35.7923333334,42.8961666667,-63.1148333333
195.89,10.6965,41.2933333333,16.6663333333,90.5473333333,22.6366666667,96.2684999999,36.5671666667,43.2836666666,-45.2735
196.27,10.7455,46.4911666667,19.956,81.7981666666,29.6053333333,87.9386666666,39.9123333334,47.3683333333,-31.7983333333
196.65,9.45966666667,48.874,14.6396666667,79.2793333333,35.3605,84.2343333334,32.6575,54.5045,-27.0268333333
197.03,3.25233333333,43.9025,19.5121666666,72.3576666667,33.1301666666,69.5123333333,29.878,42.4796666667,-29.878
197.40,-11.3635,43.9393333333,18.9395,70.202,37.6261666667,66.6666666667,21.4646666667,28.5353333334,-52.2725
197.78,-20.2703333333,32.2071666667,20.4951666667,61.7118333333,28.3785,50.4503333334,17.1171666667,14.4143333333,-47.072
198.16,-17.0683333333,38.1525,25.7025,62.2491666666,26.9075,46.9878333334,15.8635,16.4658333333,-36.7471666667
198.54,-2.85283333333,44.2943333333,36.1861666666,64.7148333334,38.7388333334,49.9998333333,28.078,25.075,-15.6155
198.92,-5.74716666667,46.5516666667,40.6606666667,62.3563333333,40.6611666667,46.408,31.8965,26.8678333333,-16.6665
199.30,-10.9723333334,42.7776666667,39.0276666666,55.4166666667,38.0556666666,46.8055,27.9168333333,23.7501666666,-20.1388333333
199.68,-12.6343333333,42.07,36.8278333334,51.0753333334,40.9946666667,45.8333333333,25.9408333333,23.1183333333,-15.8603333333
