wavelength,Back_SpoLucf,Belly_SpoLucf,Breast_SpoLucf,Crissum_SpoLucf,Crown_SpoLucf,DorTail_SpoLucf,Patch10_SpoLucf,Rump_SpoLucf,Throat_SpoLucf,WingTip_SpoLucf
800.39,18.70475,63.4403333333,35.23775,44.3814166667,16.4384166667,22.97775,22.28525,20.9001666667,35.6231666667,18.9171666667
800.70,18.5404166666,62.6186666667,34.5509166667,44.1413333333,16.3423333333,22.8575,22.0270833333,20.7305833333,35.33375,18.9990833334
801.00,18.3693333333,61.4964166666,34.2549166667,43.6973333333,16.7214166667,22.9381666666,21.9618333333,20.5638333333,34.9891666667,18.80675
801.31,18.9365,62.47625,35.22225,44.58725,17.72225,23.5634166667,22.4841666667,21.3176666667,36.0000833333,19.9205833333
801.62,19.2423333333,62.4721666666,35.86925,44.7928333334,18.33325,23.83575,22.6793333333,21.7703333333,36.1484166667,20.4225833333
801.92,18.685,60.809,34.9651666666,43.60625,17.6364166666,23.2025,22.217,21.334,35.3045,19.8045833333
802.23,19.6495833333,61.2215833333,35.5665833334,44.02625,18.3868333333,23.89525,22.87725,22.2618333333,35.9138333333,20.5493333333
802.54,19.7035,61.4903333334,35.5208333333,44.263,18.2293333333,23.726,22.90075,22.5320833334,35.641,20.056
802.84,19.3656666667,61.652,35.7795,44.4553333333,18.1180833334,23.4426666666,22.7414166667,22.47225,35.2495833333,20.0749166667
803.15,20.0729166667,61.9578333333,36.7718333333,45.2265,18.6003333333,24.7410833333,23.51125,23.2280833333,36.1894166667,21.246
803.46,20.2158333333,62.496,36.9971666667,45.8373333334,19.0219166667,24.99175,23.6423333333,23.3071666667,36.4328333333,21.2626666666
803.76,19.8879166666,62.82625,36.9560833334,45.917,18.6579166666,24.5649166666,22.76625,22.4648333333,36.1781666667,20.7746666667
804.07,19.6793333333,63.5196666667,37.8733333333,46.4249166666,18.7395833333,24.8320833333,22.5663333333,22.5999166666,36.5139166667,21.05575
804.38,19.7354166666,64.7909166666,38.74475,47.2163333333,18.69825,24.80125,22.4325833333,22.4499166667,37.0245833333,21.1186666667
804.68,17.58575,62.92925,36.5503333333,45.0830833333,16.4411666667,22.91025,20.3954166667,20.08325,34.7901666667,18.7910833334
804.99,17.0598333333,62.05975,36.1025833333,44.265,16.23925,22.8634166667,20.11975,19.70075,34.1623333333,18.7350833333
805.30,16.9480833333,62.4615833333,35.89225,44.5410833333,16.3425833333,22.5861666667,20.2149166667,19.558,34.2289166667,18.7393333334
805.60,15.7015,61.84925,35.4189166667,43.8725833333,15.33075,21.58725,19.364,18.7261666666,33.5228333333,17.9851666667
805.91,15.9365,61.8385,36.0738333333,44.0721666667,15.5155833333,21.6408333333,19.4329166667,18.5393333333,33.677,18.1444166666
806.21,16.5456666667,62.18875,36.37625,44.60575,15.8714166667,22.1733333334,19.99475,18.871,34.336,18.2313333333
806.52,17.1080833333,62.314,36.23225,44.6693333333,16.208,22.13575,20.1715,19.4098333333,34.6658333333,18.3885833333
806.83,17.7241666667,61.7195,36.3528333333,44.6179166667,16.9226666666,22.2024166667,20.6926666666,20.036,35.0561666667,19.2425
