wavelength,Back_ConFerm,Belly_ConFerm,Breast_ConFerm,Crissum_ConFerm,Crown_ConFerm,DorTail_ConFerm,Patch10_ConFerm,Rump_ConFerm,Throat_ConFerm,WingTip_ConFerm
417.22,10.4161,5.66206666667,6.18828666667,4.441,8.60753333333,7.519,22.4402,13.2238666667,7.54903333333,7.9042
417.58,10.4562333333,5.69113333333,6.22299333333,4.48406666667,8.64973333333,7.54746666667,22.5224666667,13.2502666667,7.59713333333,7.93913333333
417.94,10.4463666667,5.67986666667,6.19099333333,4.46426666667,8.64660000001,7.5466,22.5375333333,13.2208,7.59173333333,7.9324
418.29,10.4473666667,5.68386666667,6.20731333333,4.4912,8.6734,7.55786666666,22.554,13.2352666667,7.59126666667,7.942
418.65,10.4092,5.65446666667,6.16631333333,4.45126666667,8.63806666666,7.5158,22.5419333333,13.1935333333,7.563,7.8822
419.01,10.3988333333,5.643,6.15760666667,4.45846666666,8.63846666666,7.51060000001,22.5820666667,13.1698,7.55893333333,7.85353333333
419.37,10.3965,5.65233333333,6.15434666667,4.45373333333,8.64493333335,7.50993333333,22.6062,13.1723333333,7.57903333333,7.83573333333
419.73,10.3941666667,5.65866666666,6.15374,4.46126666667,8.64793333333,7.51226666667,22.6434,13.1568,7.579,7.81633333333
420.08,10.4142,5.70133333333,6.18311333333,4.49546666667,8.68406666667,7.54953333333,22.7087333333,13.1886,7.60976666667,7.8302
420.44,10.4099666667,5.6952,6.17694,4.49713333333,8.69286666667,7.52813333334,22.7351333333,13.1708,7.58876666667,7.81233333333
420.80,10.4013,5.70626666667,6.19786666667,4.50933333334,8.71026666668,7.53906666667,22.7632,13.1634,7.6023,7.80673333333
421.16,10.3807333333,5.70953333333,6.19728666667,4.5118,8.72460000001,7.53853333334,22.8045333333,13.1612,7.6185,7.797
421.51,10.3907333333,5.7158,6.21250666667,4.51713333333,8.74786666665,7.55553333333,22.8550666666,13.1772666667,7.63393333333,7.7908
421.87,10.3699,5.7,6.21016,4.514,8.74053333334,7.54280000001,22.8822,13.1695333333,7.61746666667,7.77773333333
422.23,10.3883,5.72886666667,6.23322,4.53713333333,8.76506666666,7.57133333333,22.9577333333,13.1942,7.6513,7.78393333333
422.58,10.4243666667,5.76153333333,6.27796666666,4.58713333333,8.82073333335,7.6174,23.0537333333,13.2382,7.7111,7.8316
422.94,10.4368,5.78646666667,6.29562666667,4.60733333333,8.85293333333,7.62986666667,23.0963333333,13.257,7.7332,7.84613333333
423.30,10.4643333333,5.81,6.3196,4.6368,8.90000000001,7.6562,23.1712666667,13.2754666667,7.76833333333,7.8618
423.66,10.4714333333,5.83033333333,6.33882666667,4.65533333333,8.92853333333,7.67393333333,23.2136666667,13.2966,7.78816666667,7.88266666667
424.01,10.4940666667,5.84933333333,6.36400666667,4.6718,8.96279999999,7.69419999999,23.2740666667,13.3186,7.823,7.9006
424.37,10.5031,5.8648,6.3928,4.68266666667,8.99906666667,7.71553333333,23.3522,13.3485333334,7.8567,7.90766666666
424.73,10.5192666667,5.8834,6.39800666667,4.705,9.02026666668,7.72246666666,23.4013333333,13.3712666666,7.8868,7.91926666667
425.08,10.5519666667,5.914,6.42051333333,4.72446666667,9.0534,7.74059999999,23.4856666667,13.4046666666,7.91483333333,7.93746666667
425.44,10.5556333333,5.92246666667,6.42804,4.7278,9.06393333333,7.73446666667,23.5384,13.4120666667,7.9303,7.947
425.80,10.5852666667,5.96426666667,6.46240666667,4.75673333333,9.10220000001,7.75360000001,23.6136666667,13.4310666667,7.97936666667,7.94926666667
426.16,10.5808,5.95366666667,6.4678,4.75353333333,9.10473333333,7.73073333332,23.6636,13.4298666667,7.98746666667,7.9422
426.51,10.5677,5.95006666666,6.47324,4.74466666667,9.107,7.71873333333,23.7056,13.4203333333,7.9681,7.91526666667
426.87,10.5689333333,5.95613333333,6.48302666667,4.73946666667,9.10639999999,7.71839999999,23.7642,13.4326666667,7.97836666667,7.9132
427.23,10.5902,5.99246666667,6.5278,4.76526666667,9.1318,7.72806666666,23.8258,13.4632666667,7.9925,7.94793333333
427.58,10.6046333333,6.00046666667,6.54137333333,4.7754,9.152,7.74060000001,23.9042,13.4687333333,8.00986666667,7.94513333333
427.94,10.5889,5.97393333333,6.52949333333,4.76493333333,9.14233333334,7.71019999999,23.9664666667,13.4468,7.99326666667,7.92233333333
428.30,10.6362333333,6.01646666667,6.55404,4.8114,9.184,7.74653333333,24.065,13.4748,8.02716666667,7.94893333333
428.65,10.6221666667,6.0118,6.55734,4.8106,9.20066666667,7.73733333333,24.1424,13.472,8.0301,7.93466666667
429.01,10.6160666667,6.01686666667,6.58674666667,4.825,9.20879999999,7.74553333334,24.2094666667,13.4645333333,8.04763333333,7.9276
429.37,10.6253666667,6.0434,6.60392666667,4.8364,9.21566666665,7.76493333333,24.2942,13.4615333333,8.0568,7.9112
429.72,10.6362,6.0482,6.63140666667,4.84513333333,9.23626666667,7.76933333334,24.3868666667,13.5169333333,8.07216666667,7.95413333333
430.08,10.6258333333,6.0618,6.62768,4.84473333333,9.24633333333,7.77573333334,24.4539333333,13.5318,8.06786666667,7.95026666667
430.44,10.6226666666,6.0708,6.61628666667,4.8458,9.26186666665,7.76986666667,24.5081333333,13.5292666667,8.09026666667,7.96313333333
430.79,10.615,6.059,6.62355333333,4.83733333333,9.26826666667,7.75800000001,24.5768,13.516,8.0926,7.95953333333
431.15,10.5627666667,5.9998,6.58326666667,4.79126666667,9.24493333334,7.71633333333,24.6170666667,13.4680666667,8.06276666667,7.9062
431.50,10.5408,5.9962,6.56017333333,4.76266666667,9.24340000001,7.68913333333,24.6791333333,13.4714666667,8.06033333333,7.89566666667
