wavelength,Back_TiaOlif,Belly_TiaOlif,Breast_TiaOlif,Crissum_TiaOlif,Crown_TiaOlif,DorTail_TiaOlif,Patch10_TiaOlif,Rump_TiaOlif,Throat_TiaOlif,WingTip_TiaOlif
245.30,1.79925,5.73441666667,4.12466666667,1.98866666666,2.71475,4.17725,0.799583333333,2.80933333334,-1.29416666667,6.63933333334
245.67,1.40316666667,4.69641666667,3.2265,1.53691666667,2.11891666667,4.02825,0.162416666666,2.15725,-1.68958333333,6.22366666667
246.05,1.09816666667,3.66016666667,3.03033333333,1.52366666667,1.47258333333,3.90708333333,-0.0936666666658,1.73641666667,-1.65966666666,6.18816666666
246.42,0.8475,3.27775,2.73766666667,1.44,1.575,3.81041666667,-0.255,1.45508333333,-1.8075,6.33808333333
246.79,1.04916666667,3.35833333333,2.61941666667,1.56375,1.83408333333,4.236,-0.369499999999,1.51741666667,-1.37891666667,6.78925
247.17,1.58033333334,3.49316666667,2.68825,2.02941666666,2.11691666666,4.60691666667,-0.0582500000007,1.90091666667,-1.06116666667,7.10291666667
247.54,1.97058333333,3.93025,2.77591666667,2.52358333333,2.4,4.8165,0.3115,2.2875,-0.816083333332,7.54933333333
247.92,2.03875,3.77166666667,2.70641666667,2.66066666667,2.5025,4.66866666667,0.275166666666,2.32408333333,-0.565750000002,7.52291666667
248.29,2.35316666667,3.707,2.79775,3.11741666667,2.72275,5.11583333333,0.374583333333,2.49808333333,-0.214833333333,7.64383333333
248.67,2.26441666666,3.67775,2.89783333333,3.24716666667,2.56833333333,5.17233333333,0.379916666667,2.45691666667,-0.212833333334,7.72041666667
249.04,2.54075,3.95858333333,3.04666666666,3.58416666666,2.78858333333,5.21825,0.717000000001,2.66725,-0.0261666666668,7.82200000001
249.42,2.67525,4.43983333333,3.05116666666,3.78525,3.108,5.07183333333,1.04733333333,2.79483333333,0.0170000000007,7.82666666666
249.79,3.53691666666,4.92691666667,3.49341666667,4.46758333333,3.43141666667,5.33008333333,1.80558333333,3.18925,0.676250000001,8.11608333333
250.17,3.43833333334,4.77775,3.11366666667,4.46016666666,3.238,4.9365,1.88475,2.9825,0.773333333333,7.76025
250.54,3.85766666667,5.27591666667,3.45383333333,4.91008333333,3.774,5.31416666667,2.48541666667,3.41566666667,1.58575,7.80733333333
250.92,3.793,5.0145,3.59216666667,5.33583333333,3.552,5.48858333333,2.64391666667,3.43141666667,1.46258333333,7.76275
251.29,5.56091666667,6.5855,5.04066666667,6.90241666667,4.95125,6.82091666667,4.25191666667,4.88616666666,3.00825,9.47158333333
251.66,5.22566666667,6.35433333334,5.04575,6.14983333333,4.41616666667,6.47675,3.79458333333,4.53883333333,2.50258333333,9.40458333333
