wavelength,Back_PooCinf,Belly_PooCinf,Breast_PooCinf,Crissum_PooCinf,Crown_PooCinf,DorTail_PooCinf,Patch10_PooCinf,Rump_PooCinf,Throat_PooCinf,WingTip_PooCinf
583.68,12.9957111111,51.2830666667,51.4567666667,47.2652,8.36633333333,7.50466666667,40.7502666667,16.6798222222,53.0617333333,8.28246666666
584.01,12.9945222222,51.2431,51.4677666667,47.2365333333,8.35506666667,7.51266666666,40.7150666667,16.6925333333,53.0369,8.29546666667
584.35,13.0128888889,51.2761,51.5125333334,47.2749333333,8.36706666666,7.52426666666,40.7564,16.7306888889,53.0470583333,8.32693333333
584.69,12.9955888889,51.3017666667,51.5452666667,47.2952,8.35060000001,7.50333333333,40.7614666667,16.7064666667,53.0812083333,8.3244
585.03,12.9514333333,51.2544333333,51.5275666667,47.258,8.32246666667,7.4752,40.7204666667,16.6509333333,53.0758,8.2974
585.37,12.9109333333,51.2172666667,51.5183666667,47.2044666667,8.31560000001,7.45093333334,40.6635333333,16.6497111111,53.0419083333,8.26813333333
585.70,12.8358777778,51.1463,51.4634333333,47.1259333333,8.25726666667,7.38626666667,40.5734666667,16.5872,52.9411916667,8.20826666667
586.04,12.8350888889,51.1624,51.4680666667,47.1090666667,8.24346666667,7.37906666666,40.543,16.5714,52.935325,8.20906666667
586.38,12.8284666667,51.2336666667,51.5384666667,47.166,8.2526,7.39526666667,40.5723333333,16.5739777778,52.9886583333,8.2112
586.72,12.9093,51.2029666667,51.5101333333,47.1766,8.32126666666,7.45966666667,40.5816666667,16.6065333333,52.969225,8.28959999999
587.06,12.8456111111,51.1221,51.4318666667,47.1180666667,8.28093333333,7.4234,40.5423333333,16.5519777778,52.8737083333,8.24059999999
587.39,12.8286777778,51.1054333333,51.3976333333,47.0927333334,8.24786666666,7.394,40.4968666666,16.5238222222,52.8392833333,8.22033333334
587.73,12.8005777778,51.0650666667,51.3491666667,47.0635333333,8.21293333333,7.35853333334,40.4828,16.4834222222,52.78495,8.19359999999
588.07,12.7953555556,51.1108333333,51.3686666667,47.1083333333,8.23526666666,7.38906666667,40.494,16.4917333333,52.800675,8.19066666667
588.41,12.7873444445,51.0963333333,51.3342333333,47.0892,8.23879999999,7.38313333333,40.475,16.4946666667,52.7378833333,8.18106666666
588.74,12.7884111111,51.1855333333,51.4092,47.1517333333,8.24306666667,7.39013333333,40.5084,16.5378,52.7588666667,8.19006666667
589.08,12.8048,51.2135333333,51.4217666667,47.1634,8.25959999999,7.42313333334,40.5335333333,16.5489777778,52.7548333333,8.222
589.42,12.8724,51.2854333333,51.4895,47.2242666667,8.31353333333,7.48306666666,40.5954666667,16.6005777778,52.7942583333,8.29266666666
589.76,12.8767,51.3058333333,51.5133,47.2406666667,8.34173333333,7.49926666667,40.6126,16.6294444445,52.7816416667,8.31746666667
590.09,12.8826666667,51.2836,51.4804,47.2106666667,8.35173333333,7.51306666667,40.6056,16.6290666667,52.7356666667,8.31813333334
590.43,12.7715777778,51.2052333333,51.3947,47.1166,8.26440000001,7.43073333333,40.5431333333,16.5412,52.63795,8.21826666667
590.77,12.8049222222,51.2320333333,51.4304,47.1447333333,8.26706666667,7.45426666667,40.5311333333,16.5782888889,52.664375,8.24806666667
591.11,12.8120111111,51.2334666667,51.4523666666,47.1149333333,8.28820000001,7.47440000001,40.5264666667,16.5944888889,52.6689,8.27440000001
591.44,12.8120888889,51.276,51.4544333333,47.1396666667,8.29093333334,7.45799999999,40.5263333333,16.5823111111,52.703175,8.2828
591.78,12.8424666667,51.2855333333,51.4672,47.1242666666,8.29893333333,7.4726,40.547,16.5955333333,52.7051333333,8.30253333334
592.12,12.8559777778,51.3020666667,51.5010666667,47.1299333333,8.30906666667,7.49600000001,40.6050666667,16.5997333333,52.7557166667,8.3386
592.46,12.8685555556,51.2661333333,51.4543,47.1007333333,8.31193333334,7.51886666667,40.5809333333,16.5723111111,52.734675,8.35219999999
592.79,12.8943,51.2691,51.4646666667,47.1364666667,8.31699999999,7.53519999999,40.5979333333,16.5690444444,52.7411666667,8.36786666667
593.13,12.8867333333,51.2672,51.4238,47.1264,8.30340000001,7.53753333334,40.5968,16.57,52.715125,8.35253333333
593.47,12.8022888889,51.1366,51.3081,47.0266,8.21233333334,7.46973333333,40.4864666667,16.4811111111,52.62725,8.2714
593.80,12.7594,51.1548333333,51.3306666667,47.0395333333,8.17386666667,7.42726666667,40.4817333333,16.4406444445,52.63385,8.24293333334
594.14,12.7768888889,51.2138666667,51.4079333333,47.0830666667,8.19293333334,7.43639999999,40.538,16.4839111111,52.6726083333,8.27706666667
594.48,12.8220666667,51.2571666667,51.446,47.1133333333,8.23940000001,7.48740000001,40.5762,16.5198888889,52.6917666666,8.31506666667
594.81,12.8342333334,51.3159666667,51.5044666667,47.1878,8.24033333334,7.49633333333,40.6539333333,16.5304222222,52.7307583333,8.33286666666
595.15,12.8595,51.3584333333,51.5413666667,47.2168,8.28886666667,7.55426666666,40.6917333333,16.5675111111,52.7202333333,8.35933333333
595.49,12.873,51.3446666667,51.5511333333,47.2341333333,8.30820000001,7.57446666667,40.6912,16.5509777778,52.7186333333,8.3864
595.82,12.8824444444,51.3441,51.5550666667,47.2553333333,8.30013333333,7.57593333334,40.6881333333,16.5651555556,52.7069083333,8.39453333333
596.16,12.8971777778,51.3876666667,51.6241,47.2938,8.32859999999,7.59546666667,40.7486666667,16.5925333333,52.7582416667,8.416
596.50,12.8933222222,51.3979666667,51.5975,47.2755333333,8.33000000001,7.57259999999,40.7315333333,16.5742444444,52.729525,8.42479999999
596.83,12.8734777778,51.3685,51.6140666667,47.2654,8.32913333332,7.57186666667,40.7008666666,16.5615555556,52.7417166667,8.42339999999
597.17,12.9400888889,51.4672,51.7302666667,47.391,8.37646666667,7.61413333334,40.7873333333,16.6145111111,52.7970833333,8.48746666667
597.51,13.0014333333,51.4986,51.7486666667,47.4108,8.41946666667,7.6788,40.8024666667,16.6662,52.8174833333,8.54266666667
597.84,13.0569666667,51.5875666667,51.8366666667,47.5026666666,8.45646666667,7.72159999999,40.8324666666,16.7129555556,52.8871166667,8.57599999999
598.18,13.0639,51.6230333333,51.8670333333,47.5439333333,8.47073333333,7.70639999999,40.8513333333,16.7234,52.95295,8.59133333333
598.52,13.0706111111,51.5786,51.7910333333,47.4967333333,8.49113333333,7.718,40.7917333333,16.7306,52.8899416667,8.60020000001
598.85,13.0678666667,51.5807666667,51.7994,47.51,8.49480000001,7.72406666667,40.7994,16.7322,52.9319166667,8.61139999999
599.19,13.0511888889,51.6217333334,51.8195,47.5102,8.48793333334,7.69493333333,40.8038,16.7352,52.9716583333,8.60413333333
599.53,13.0629,51.6256,51.8192,47.5078,8.51426666667,7.71146666666,40.8034,16.7407111111,53.001975,8.62719999999
599.86,13.0957888889,51.6621333333,51.8365666667,47.5200666667,8.53179999999,7.71906666667,40.7723333333,16.7686444444,53.0110916667,8.65446666667
600.20,13.1240444445,51.6364,51.8252333333,47.4874,8.53746666667,7.7378,40.7704666667,16.7906222222,53.0216333333,8.67833333333
600.53,13.1203666667,51.6936,51.8534333333,47.5099333333,8.51066666667,7.71106666666,40.8037333333,16.7900222222,53.0438166666,8.67026666667
600.87,13.1096888889,51.7905,51.8793666666,47.5322,8.52806666666,7.72073333333,40.8578,16.8011333333,53.1111833333,8.66420000001
601.21,13.0898444444,51.7321333333,51.8265,47.4854,8.52646666666,7.72966666666,40.8015333333,16.7648222222,53.0413416667,8.67160000001
601.54,13.0819666667,51.6978666667,51.8020333333,47.455,8.52099999999,7.72019999999,40.8079333333,16.7464888889,53.0202083333,8.68286666666
601.88,13.0915333333,51.7110666667,51.8165666667,47.4578666667,8.50826666667,7.74266666667,40.835,16.7422888889,52.999725,8.70353333333
602.21,13.0895555555,51.7772,51.9184666667,47.5333333333,8.48239999999,7.73593333334,40.9172,16.7385111111,53.076725,8.69773333333
602.55,13.0923,51.6986,51.8428,47.4402666667,8.47266666667,7.73493333334,40.8719333333,16.7214222222,52.9648166667,8.72166666667
602.88,13.1018888889,51.7103333333,51.8823666667,47.4798666666,8.48293333333,7.74379999999,40.9042,16.7165111111,52.9380666666,8.7412
603.22,13.0916222222,51.7328333333,51.8850666667,47.4896666667,8.47853333333,7.72239999999,40.9044,16.7074222222,52.9063583333,8.72553333333
603.56,13.0578888889,51.6846666667,51.8426,47.4659333333,8.44233333333,7.70093333333,40.8955333333,16.6728,52.8824416666,8.7096
603.89,13.0023,51.6849,51.8547666667,47.4752666667,8.42746666666,7.67106666666,40.8831333333,16.6340222222,52.859175,8.67160000001
