wavelength,Back_ThrBonm,Belly_ThrBonm,Breast_ThrBonm,Crissum_ThrBonm,Crown_ThrBonm,DorTail_ThrBonm,Patch10_ThrBonm,Patch11_ThrBonm,Rump_ThrBonm,Throat_ThrBonm,WingTip_ThrBonm
629.27,9.65773333334,63.6836666667,58.6834,52.8266333333,16.0639333333,11.6065333333,16.0647333333,13.3324666667,53.595,18.5261666667,12.3491888889
629.60,9.6216,63.6605333333,58.7505333333,52.8429333333,16.0236666667,11.5634,16.042,13.2691333333,53.6006,18.4659333333,12.3408444444
629.94,9.55286666667,63.6321333333,58.7922,52.8125,15.9559333333,11.5304666667,15.9852666667,13.2174666667,53.6675333333,18.4279333333,12.2787777778
630.27,9.57446666666,63.6313333333,58.8104666667,52.8079,15.9352666667,11.5690666667,16.0610666667,13.2677333333,53.7039333333,18.4137333333,12.3529555556
630.60,9.6216,63.6792666667,58.895,52.9129666667,15.9453333333,11.6106666667,16.0784,13.2893333333,53.7688,18.4702666667,12.3830111111
630.93,9.61426666666,63.6274666667,58.8582666667,52.8179333333,15.9228,11.6222666667,16.0386,13.2444666667,53.6943333333,18.4253333333,12.3550888889
631.26,9.61813333334,63.6181333333,58.8325333334,52.8466666667,15.9178666667,11.6437333333,16.0181333333,13.2261333333,53.6842666667,18.4442666667,12.3870222222
631.60,9.68939999999,63.6482666667,58.8786,52.8303,15.9572,11.7097333333,16.1040666667,13.2572,53.7251333333,18.4719333333,12.4153777778
631.93,9.67433333334,63.6584,58.8893333333,52.7667,15.9418666667,11.7063333333,16.0687333333,13.2193333333,53.7186,18.469,12.3895
632.26,9.63546666666,63.4985333333,58.7968,52.6596333333,15.9084666667,11.6724666667,15.9848666667,13.185,53.6260666667,18.4455,12.3553
632.59,9.65493333333,63.6574666667,58.8826666667,52.7358333333,15.9118666667,11.7460666667,16.0295333333,13.2286,53.7066666667,18.4712,12.4253111111
632.92,9.71153333333,63.5718666667,58.8212666667,52.6898666667,15.9534666666,11.8037333333,16.0951333333,13.3018,53.7039333333,18.523,12.4813444444
633.26,9.80299999999,63.6802,58.9444666667,52.7846,16.0204,11.8816666667,16.1568,13.3826,53.8114666667,18.5654333333,12.5812444444
633.59,9.865,63.7288,58.9867333333,52.811,16.1119333333,11.9712,16.2193333333,13.4321333333,53.8413333333,18.5959333333,12.6592222222
633.92,9.86033333333,63.9113333333,59.2034666667,52.9973,16.1261333333,11.9972666667,16.2083333333,13.4572666667,54.0037333333,18.6509,12.6426777778
634.25,9.88300000001,64.0380666667,59.3633333333,53.0653666667,16.1644666667,12.0168,16.2253333333,13.4844666667,54.1479333333,18.6508,12.6762
634.58,9.90993333333,63.9624666666,59.3322,53.0184,16.18,12.0432666667,16.2671333334,13.5055333333,54.1564666667,18.6941666667,12.6985666667
634.91,9.90193333334,63.9476,59.4174,52.9911,16.1624666667,12.0721333333,16.2579333333,13.5482,54.1769333333,18.6825666667,12.6822
635.25,9.85966666665,63.9182,59.4444666667,53.0034333333,16.1326,12.0477333334,16.1871333333,13.5106666667,54.1597333333,18.6714666667,12.6584222222
635.58,9.85086666667,63.732,59.3081333333,52.8914333333,16.0494,12.0309333333,16.1077333333,13.5079333333,54.0317333333,18.6237333333,12.6309333333
635.91,9.91619999999,63.8022,59.3638,52.8739,16.0979333333,12.0834,16.1265333333,13.5292666667,54.0564,18.6369666667,12.7124777778
636.24,9.97486666667,63.8453333333,59.4737333333,52.9258666667,16.1740666667,12.1305333333,16.1782,13.5928666667,54.1464,18.6893333333,12.7427777778
636.57,9.97166666668,63.8862666667,59.5684,52.9518666667,16.1115333333,12.1415333333,16.1616,13.5902666667,54.1879333333,18.6796666667,12.7171888889
636.90,9.88273333334,63.9296666666,59.5808666667,52.9546,16.0329333333,12.0479333333,16.009,13.471,54.2476,18.6115,12.5875333333
637.23,9.87766666666,63.9426,59.7134666667,52.9739333333,15.9899333333,11.9964666667,16.0187333333,13.4518666667,54.3201333333,18.5746,12.5709555555
637.56,9.92866666667,63.8123333333,59.6588666667,52.8503,15.9825333333,11.9886666667,16.0104666667,13.4266666667,54.2679333333,18.5433666667,12.5601888889
637.90,9.90133333333,63.7093333333,59.5227333333,52.7511333334,15.9551333333,12.0127333333,15.9822666667,13.3875333333,54.1213333333,18.4771333333,12.5311888889
638.23,9.92766666666,63.8773333334,59.6736666667,52.898,15.9958,12.0396666667,16.0162666667,13.4103333334,54.1949333333,18.4884333333,12.5895888889
638.56,9.86813333333,63.8146,59.5594666667,52.7988666667,15.8973333333,11.9678,15.9436,13.2539333333,54.1781333333,18.4513666667,12.5311666667
638.89,9.84926666667,63.6405333333,59.4338,52.6423333333,15.7794666667,11.8896666667,15.8629333333,13.1913333333,54.0577333333,18.352,12.4666666667
639.22,9.84773333334,63.8354666667,59.5802666667,52.7526,15.8922666667,11.9421333333,15.9638666667,13.1723333333,54.1673333333,18.3500666667,12.5047666667
639.55,9.9442,63.8393333333,59.6327333333,52.8576,15.9427333333,12.0442666667,16.0790666667,13.2826666667,54.1384,18.4442333333,12.5719444445
639.88,9.95426666666,63.7877333333,59.5914666667,52.8212333333,15.8856666667,12.0528,16.0793333333,13.2528666667,54.0877333333,18.4744,12.5665444444
640.21,9.97313333333,63.5942,59.476,52.7107666667,15.9078666667,12.0440666667,16.069,13.2522,53.9848,18.4486333333,12.5939666667
640.54,10.0778,63.4880666667,59.3868666667,52.6469,16.0228,12.1830666667,16.2488666667,13.3752666667,53.9295333333,18.5812333333,12.7245111111
640.87,10.0494666667,63.4004,59.2757333333,52.5877,15.9645333333,12.1978666667,16.1938666667,13.3477333333,53.8431333333,18.5823333333,12.6696444444
641.20,10.0904,63.5311333333,59.4112,52.6998666667,16.0356,12.2776666667,16.2063333333,13.4102666667,53.9179333333,18.6050333333,12.739
641.53,10.0643333333,63.4116666667,59.3602,52.6576,15.9804666667,12.2415333333,16.1511333333,13.3549333333,53.8816,18.6067,12.7059555555
641.87,10.0569333333,63.4217333333,59.4126,52.6804,15.9753333333,12.2996666667,16.1551333333,13.362,53.9508666667,18.5978666667,12.6882111111
642.20,10.0922666667,63.5172,59.5164,52.8342666667,16.0738666667,12.3198,16.2205333334,13.47,54.0057333333,18.6301,12.7501333333
642.53,10.0906,63.6136,59.6063333333,52.9117333333,16.1420666667,12.3326,16.2514666667,13.4940666667,54.1005333333,18.601,12.7870888889
642.86,10.0791333333,63.4176666667,59.4774,52.8291666666,16.0512666667,12.2852666667,16.1334666667,13.4416,54.0485333333,18.5091,12.7046333333
643.19,9.95526666665,63.6138,59.6844,52.8720666667,15.9560666667,12.1701333333,16.0144666667,13.3404666666,54.2213333333,18.3839333333,12.6011555555
643.52,9.88006666667,63.5679333333,59.7130666667,52.8477,15.9139333333,12.1337333333,15.9031333333,13.3268666667,54.214,18.3363,12.5530111111
643.85,9.72793333334,63.5398666667,59.6357333333,52.785,15.7965333333,12.0133333333,15.7316,13.1300666667,54.1296,18.2333666667,12.3842555556
644.18,9.60739999999,63.6950666667,59.815,52.9063666667,15.6725333333,11.8748,15.5836666667,13.0088,54.2044,18.1155,12.2770444444
644.51,9.58033333333,63.7236,59.8976666667,52.8941,15.6726,11.8408,15.5798666667,13.0034666667,54.2780666667,18.0535666667,12.2741777778
644.84,9.62193333335,63.7748666666,59.9666666667,52.9670333333,15.6741333333,11.8823333333,15.6306,13.0101333333,54.3714,18.094,12.3239444445
645.17,9.69813333333,63.9729333333,60.1964,53.0555666667,15.724,11.9197333333,15.6994666667,13.0644666667,54.5704666667,18.1080333333,12.3472888889
645.50,9.74539999999,64.0059333333,60.2283333333,53.0615,15.7408,11.8836666666,15.7130666667,13.0806,54.6421333333,18.1234,12.3920777778
645.83,9.67940000001,63.9643333333,60.2480666667,52.9856333333,15.6384,11.8812666667,15.6570666667,12.9926,54.6644,18.0671333333,12.3495777778
646.16,9.5822,64.0520666667,60.3834666667,53.0354333333,15.531,11.8514,15.6278,12.9690666667,54.723,18.0824333333,12.2811
646.49,9.59313333333,64.1858,60.5368,53.0903333333,15.5543333333,11.8656666667,15.7230666667,13.0116666667,54.7218666667,18.1335333333,12.3610111111
646.82,9.638,63.913,60.2995333333,52.8806333333,15.5583333333,11.8941333333,15.7256,13.0055333333,54.6178,18.1806,12.3926
647.15,9.62586666667,63.898,60.3484666667,52.9070666667,15.5398666667,11.8488666667,15.7268,12.8836,54.6464666667,18.1202333333,12.3549444444
647.48,9.75313333333,64.0575333333,60.5168666667,53.0028666667,15.6274,11.9579333333,15.8814,13.0214666667,54.7981333333,18.1973,12.4969222222
647.81,9.84453333332,63.9919333333,60.4621333333,52.9697,15.6721333333,12.074,15.9562666667,13.1389333333,54.7779333333,18.2983333333,12.5909444445
648.14,9.88400000001,64.0642,60.4716,53.0338666667,15.711,12.1013333333,15.9608,13.1294666667,54.7616666666,18.3326666667,12.6153333333
648.47,9.8674,64.0620666667,60.491,53.0063666667,15.6994,12.1076,15.9602666667,13.1555333333,54.8048666667,18.3239666667,12.5815444444
648.80,9.82033333333,64.0048,60.4754,52.9490666667,15.6526666667,12.066,15.906,13.1332666667,54.7197333333,18.3175,12.5866111111
649.13,9.79013333332,63.8072,60.4036,52.8405333333,15.5593333333,12.0367333333,15.8592,13.0936,54.586,18.2674,12.5726222222
649.46,9.93266666667,63.9140666667,60.4906666667,52.9158666667,15.6816666667,12.1522,15.9891333333,13.2053333333,54.6960666667,18.3410666667,12.7131555556
649.79,10.059,63.898,60.425,52.8934333333,15.8078666667,12.2678666667,16.0363333333,13.2670666667,54.6594,18.3893666667,12.8221888889
650.11,10.0831333333,63.9438666667,60.4644666667,52.9470333333,15.8672666667,12.3172666667,16.0458666667,13.2724666667,54.7462666667,18.4544,12.8416444444
650.44,10.1014,64.2174666667,60.7631333333,53.2342,15.9286666667,12.3630666667,16.124,13.3355333333,55.0048,18.4984666667,12.9022333333
650.77,10.154,64.29,60.7026,53.252,15.9826,12.4045333333,16.1884,13.3804,55.0292,18.5130333333,12.9459333333
651.10,10.1696666667,64.2629333333,60.715,53.2651333333,16.0104666667,12.4051333333,16.1787333333,13.4007333333,55.07,18.5494333333,12.9552555556
651.43,10.2222666667,64.3004,60.7934,53.2508333333,16.0469333333,12.4186666667,16.193,13.3805333333,55.1184,18.5630333333,13.0192888889
651.76,10.2263333333,64.2880666667,60.8605333333,53.2428666667,16.0564,12.4115333333,16.2024666667,13.3867333333,55.2002666667,18.5745333333,13.0777222222
652.09,10.123,64.2238,60.8282,53.1654333333,15.9571333333,12.269,16.0907333333,13.2481333333,55.0868666667,18.4741666667,12.9903444445
652.42,10.0218666667,64.1121333333,60.6814666667,53.0425,15.8738666667,12.1812,15.9907333333,13.1284,54.9599333333,18.3591333333,12.8824111111
652.75,10.0660666667,64.2326,60.7010666667,53.0649333333,15.8696,12.2222666667,16.0308,13.1123333333,55.0258666667,18.3678333333,12.8872111111
653.08,10.0914666667,64.3631333333,60.8915333334,53.2192666667,15.8795333333,12.2319333333,16.0085333333,13.1166,55.1374666667,18.3870666667,12.8693444444
653.41,10.0866666667,64.4057333333,60.9436,53.2500333333,15.8640666667,12.2721333333,16.0450666667,13.0835333333,55.2488666667,18.3962,12.9035111111
653.74,10.0577333333,64.3456666667,60.9096666667,53.1798333333,15.7709333333,12.268,15.9852,13.0704666667,55.2120666667,18.3037,12.8792555555
654.06,10.1019333333,64.1590666667,60.7542666667,52.9988666667,15.7578,12.2932,15.9679333333,13.0814,55.0518,18.2925333333,12.8610222222
654.39,10.1380666667,64.1184,60.8124,52.9151,15.7239333333,12.3101333333,15.9260666667,13.1266666667,55.0129333333,18.3236,12.8837222222
654.72,10.0964,64.1950666667,60.9290666667,52.9609333333,15.6151333333,12.2696666667,15.8096666667,13.0576666667,55.0198,18.2595666667,12.8015222222
655.05,9.97533333333,64.1636666667,60.9712,52.9709,15.5381333333,12.2437333333,15.7674666667,12.9948,54.9924,18.1621333333,12.7103222222
655.38,9.96473333333,64.2372666666,61.0434666667,52.9891333333,15.5058,12.2748666666,15.7383333333,12.9756666667,54.9883333333,18.1866,12.6675444445
655.71,10.0376,64.25,61.0352666667,52.9756333333,15.5364,12.3302666667,15.8435333333,13.0695333333,55.0022666667,18.2123666667,12.7772666667
