wavelength,Back_DigHumf,Belly_DigHumf,Breast_DigHumf,Crissum_DigHumf,Crown_DigHumf,DorTail_DigHumf,Rump_DigHumf,Throat_DigHumf,WingTip_DigHumf
582.32,6.9775,7.3862,6.24308333333,8.50706666667,5.7604,7.3424,8.73573333333,6.64636666667,8.596
582.66,6.8824,7.28893333333,6.15316666667,8.40166666667,5.68313333333,7.2554,8.63666666668,6.5593,8.52993333333
583.00,6.87063333333,7.2742,6.15841666666,8.3898,5.6804,7.2453,8.66126666668,6.56303333333,8.53066666667
583.34,6.80876666667,7.21966666667,6.13208333333,8.34246666667,5.60446666667,7.2049,8.60766666666,6.5063,8.494
583.68,6.7453,7.136,6.10325,8.2454,5.53373333333,7.124,8.56766666666,6.46343333333,8.43726666667
584.01,6.78933333333,7.15233333333,6.15666666667,8.2928,5.58286666667,7.1286,8.608,6.49846666667,8.48973333333
584.35,6.80266666667,7.1608,6.17983333333,8.28266666667,5.57553333333,7.13296666667,8.61753333333,6.5168,8.51906666667
584.69,6.8129,7.17913333333,6.21741666667,8.325,5.57986666667,7.15776666667,8.66380000001,6.58436666667,8.5562
585.03,6.80503333333,7.13713333333,6.223,8.29813333334,5.55393333333,7.11906666667,8.66140000001,6.54656666667,8.54166666667
585.37,6.83123333333,7.17926666667,6.27166666667,8.31640000001,5.58406666667,7.1443,8.70713333334,6.55796666667,8.55213333333
585.70,6.85066666667,7.18673333333,6.26175,8.33059999999,5.6288,7.16186666667,8.71086666666,6.56086666667,8.54513333334
586.04,6.86826666667,7.22246666667,6.29083333333,8.35079999999,5.63493333333,7.1426,8.7388,6.54946666667,8.59333333333
586.38,6.88206666667,7.24726666667,6.30825,8.399,5.67146666667,7.15176666667,8.75413333333,6.56826666667,8.6208
586.72,6.95086666666,7.33153333333,6.37533333333,8.48159999999,5.739,7.2236,8.80773333335,6.60163333333,8.6914
587.06,6.95876666667,7.33346666667,6.38266666667,8.48173333333,5.76366666667,7.24313333333,8.83533333335,6.62946666667,8.69013333333
587.39,6.9844,7.38793333333,6.4325,8.53479999999,5.79913333333,7.2755,8.87999999999,6.65376666667,8.78233333333
587.73,6.95893333333,7.35733333333,6.38591666667,8.51173333334,5.75253333333,7.24523333333,8.88413333333,6.6074,8.7334
588.07,6.89586666667,7.3304,6.35991666667,8.47753333334,5.72333333333,7.2388,8.87333333333,6.5658,8.6944
588.41,6.85646666667,7.27373333333,6.31691666667,8.4124,5.64146666667,7.1797,8.80186666667,6.48326666667,8.66446666667
588.74,6.82806666667,7.29033333333,6.27866666667,8.3768,5.59906666667,7.13983333333,8.77673333333,6.43953333333,8.65226666667
589.08,6.82593333333,7.26513333333,6.25116666667,8.34906666668,5.59526666667,7.13823333333,8.76513333333,6.44706666667,8.6478
