wavelength,Back_TanArgf,Belly_TanArgf,Breast_TanArgf,Crissum_TanArgf,Crown_TanArgf,DorTail_TanArgf,Patch10_TanArgf,Patch11_TanArgf,Rump_TanArgf,Throat_TanArgf,WingTip_TanArgf
401.08,5.4365,24.577,11.7213333333,21.5176666667,4.3705,5.98088636363,4.9815,11.485,8.42283333333,19.4981666667,4.15083333334
401.44,5.41566666667,24.5783333333,11.8133333334,21.498,4.35683333333,5.94318939393,4.9245,11.4713333333,8.41866666667,19.7015,4.11983333333
401.80,5.43866666667,24.5775,11.907,21.5493333333,4.34183333333,5.96374242425,4.9035,11.461,8.43,19.833,4.09766666666
402.16,5.50983333333,24.6626666667,12.0235,21.6271666667,4.42566666667,6.0378939394,4.94933333333,11.5003333333,8.48216666667,20.0186666666,4.17716666667
402.52,5.58616666667,24.7558333334,12.2156666666,21.74,4.52683333334,6.13499242425,5.02783333333,11.6098333334,8.554,20.2518333333,4.25483333333
402.88,5.62716666667,24.8375,12.3381666667,21.8016666667,4.60533333334,6.20126515152,5.142,11.6776666667,8.599,20.4325,4.3115
403.24,5.65716666666,24.8541666667,12.4535,21.895,4.65483333334,6.23961363637,5.18,11.7086666667,8.5965,20.567,4.32133333333
403.60,5.65883333333,24.8953333334,12.5613333333,21.9111666667,4.7035,6.27237121211,5.196,11.714,8.56866666666,20.778,4.31466666666
403.95,5.69283333333,25.022,12.7078333333,22.0418333333,4.76716666667,6.3160530303,5.229,11.7915,8.62383333333,20.9788333333,4.32133333333
404.31,5.65666666667,24.9846666666,12.7128333333,22.0425,4.71566666667,6.23645454545,5.18833333334,11.723,8.55166666667,21.0495,4.265
404.67,5.6565,25.0278333333,12.8145,22.0835,4.731,6.23721212122,5.16816666667,11.7021666667,8.51466666667,21.171,4.26766666667
405.03,5.7595,25.0941666667,12.9325,22.1621666667,4.81933333333,6.31388636363,5.248,11.7411666666,8.56433333334,21.3473333333,4.33133333333
405.39,5.83233333334,25.1651666666,13.0433333333,22.2096666667,4.90566666667,6.39074242425,5.29983333334,11.765,8.61333333333,21.5295,4.408
405.75,5.809,25.189,13.0961666666,22.2163333333,4.95283333334,6.35745454545,5.2895,11.7426666666,8.59116666666,21.6405,4.43833333334
406.11,5.71816666666,25.1743333333,13.1055,22.1523333333,4.90416666667,6.27296212122,5.21733333334,11.6641666667,8.52633333333,21.7166666666,4.32416666667
406.47,5.66583333333,25.1348333333,13.1313333333,22.1245,4.85883333333,6.24176515152,5.19616666667,11.6165,8.50633333334,21.8151666667,4.279
406.83,5.6605,25.1156666667,13.1686666667,22.1316666666,4.85466666667,6.19420454545,5.163,11.5516666667,8.49,21.8798333333,4.2385
407.19,5.65766666666,25.1858333333,13.2643333333,22.1471666667,4.85583333333,6.1936969697,5.1675,11.5188333333,8.524,22.046,4.2485
407.55,5.69616666667,25.2173333333,13.3276666666,22.1563333333,4.87633333334,6.20916666667,5.14883333333,11.5566666667,8.57283333333,22.1673333334,4.298
407.90,5.68933333334,25.2213333333,13.3808333334,22.1718333333,4.8945,6.21017424242,5.12716666666,11.561,8.5705,22.2795,4.32183333334
408.26,5.70983333333,25.307,13.4878333333,22.2626666666,4.94916666667,6.27216666667,5.18866666667,11.6228333333,8.65716666667,22.459,4.38433333334
408.62,5.77816666666,25.4045,13.5968333333,22.2936666667,5.01816666666,6.35121969697,5.258,11.6675,8.73316666667,22.6056666667,4.43533333333
408.98,5.776,25.4593333333,13.7268333334,22.317,5.04516666667,6.36381818182,5.26333333333,11.7261666667,8.79566666666,22.7615,4.454
409.34,5.73783333333,25.4668333333,13.7601666667,22.365,5.018,6.32308333334,5.19766666667,11.6965,8.75583333333,22.8178333333,4.38916666666
409.70,5.69933333333,25.5008333333,13.791,22.3568333334,4.968,6.2951439394,5.18516666667,11.6823333333,8.74483333333,22.8896666667,4.31133333333
410.06,5.77616666667,25.64,13.9381666667,22.4778333333,5.04433333333,6.39786363637,5.26266666666,11.771,8.7975,23.069,4.41816666666
410.42,5.84516666666,25.789,14.073,22.5926666667,5.14816666667,6.47809848485,5.31833333333,11.82,8.88783333333,23.2351666667,4.494
410.77,5.82666666667,25.8295,14.1358333333,22.6078333334,5.13933333333,6.49431060606,5.29166666666,11.815,8.85283333333,23.354,4.5045
411.13,5.80666666667,25.8543333333,14.1506666667,22.5493333333,5.143,6.48382575759,5.246,11.809,8.79633333333,23.4006666667,4.50483333334
411.49,5.75483333334,25.8813333333,14.1863333333,22.5498333333,5.12483333333,6.46140151515,5.22066666667,11.737,8.76466666667,23.4755,4.45433333333
411.85,5.73216666666,25.9373333334,14.261,22.5425,5.13383333333,6.43893181818,5.21183333333,11.6833333333,8.76833333333,23.5793333333,4.45283333333
412.21,5.70583333334,25.9763333333,14.3085,22.5403333333,5.11333333333,6.38178787878,5.14383333333,11.593,8.67066666667,23.6528333333,4.41583333333
412.57,5.63616666667,25.9306666666,14.3196666667,22.5115,5.05083333333,6.27373484848,5.05866666667,11.5233333333,8.59866666667,23.703,4.32933333333
412.92,5.6385,25.9543333334,14.3133333334,22.5293333333,5.04083333333,6.25474242425,5.041,11.4845,8.54433333333,23.819,4.28683333334
413.28,5.60283333333,25.9485,14.3276666667,22.4883333333,5.03116666666,6.24304545455,5.05466666666,11.423,8.488,23.8758333333,4.27016666667
413.64,5.66066666666,26.0366666666,14.4248333333,22.5411666667,5.0855,6.3070530303,5.0815,11.4358333333,8.53766666667,24.0633333334,4.34466666667
414.00,5.6625,26.0208333334,14.4278333333,22.595,5.121,6.29568181818,5.05666666667,11.3896666667,8.5275,24.1518333333,4.3185
414.36,5.58966666666,25.9476666667,14.3895,22.5348333334,5.098,6.22371212122,4.98233333333,11.2903333333,8.4045,24.2008333333,4.2565
414.72,5.55533333333,25.9753333334,14.4513333333,22.5623333333,5.12133333334,6.21211363637,4.94316666667,11.2418333333,8.4275,24.2528333333,4.2395
415.07,5.598,26.0453333333,14.5466666667,22.6483333334,5.18116666666,6.23722727273,4.96866666666,11.2351666667,8.45766666667,24.4023333334,4.2795
415.43,5.616,26.105,14.642,22.6736666666,5.2555,6.26609090908,5.00466666667,11.2143333333,8.48633333334,24.5,4.29216666666
415.79,5.59633333334,26.1066666667,14.6708333334,22.7058333334,5.26766666666,6.28776515151,5.011,11.1886666667,8.44783333333,24.558,4.27783333333
416.15,5.60883333334,26.1351666667,14.752,22.6975,5.30216666667,6.34792424241,5.03916666667,11.1915,8.481,24.6868333333,4.277
416.51,5.59316666667,26.2,14.8416666666,22.7548333333,5.34716666667,6.39890151515,5.05583333334,11.1636666667,8.47883333334,24.7761666667,4.32716666667
416.86,5.57616666666,26.2021666666,14.9023333333,22.7711666667,5.37066666667,6.42487121212,5.055,11.1261666667,8.47183333334,24.8141666666,4.33933333334
417.22,5.58333333333,26.253,14.9638333333,22.8213333333,5.41483333334,6.4655530303,5.05616666666,11.1186666667,8.48733333333,24.9245,4.36933333333
417.58,5.57883333333,26.2841666667,15.0265,22.8323333333,5.45383333333,6.4761969697,5.06583333334,11.0903333333,8.46266666667,25.0006666667,4.3745
417.94,5.5475,26.3083333333,15.0738333334,22.7968333334,5.483,6.47743181818,5.065,11.033,8.425,25.0826666667,4.3835
418.29,5.492,26.2891666666,15.105,22.7871666667,5.47383333333,6.44837121212,5.03633333333,10.9488333333,8.3695,25.1275,4.34866666667
418.65,5.468,26.2855,15.1033333333,22.7496666667,5.48883333333,6.45113636363,5.03066666667,10.877,8.31966666667,25.17,4.35233333333
419.01,5.41083333333,26.2396666667,15.1073333333,22.6938333333,5.45616666667,6.43893181818,5.01666666667,10.7946666667,8.27116666666,25.1898333333,4.329
419.37,5.38816666667,26.2186666667,15.1265,22.68,5.44,6.42527272726,4.99666666667,10.7353333333,8.2085,25.213,4.33533333333
419.73,5.397,26.2278333333,15.1553333333,22.6933333333,5.46433333333,6.42820454545,4.9985,10.6905,8.18783333333,25.2545,4.35683333334
420.08,5.3665,26.1733333333,15.1438333333,22.6675,5.46483333333,6.40056818182,4.96516666666,10.618,8.12816666667,25.2618333333,4.37033333334
