wavelength,Back_ComLorf,Belly_ComLorf,Breast_ComLorf,Crissum_ComLorf,Crown_ComLorf,DorTail_ComLorf,Rump_ComLorf,Throat_ComLorf,WingTip_ComLorf
658.01,6.06083333334,6.26845833333,5.1165,6.58958333333,5.34616666667,7.5265,6.28416666667,6.51658333334,8.18620833333
658.34,6.13483333333,6.40804166666,5.18616666666,6.67675,5.46916666667,7.67316666667,6.37325,6.63308333333,8.2995
658.66,6.12933333333,6.44270833333,5.17641666667,6.663,5.46408333334,7.64883333333,6.31766666667,6.61766666668,8.30333333333
658.99,6.15733333333,6.49695833333,5.27441666667,6.69516666667,5.51216666667,7.66166666667,6.38075,6.67391666667,8.30725
659.32,6.11133333333,6.399625,5.1985,6.62241666667,5.49066666667,7.55958333333,6.34183333333,6.61575,8.22895833333
659.65,6.09541666667,6.387375,5.16554166667,6.59833333333,5.45575,7.56475,6.30933333334,6.56958333334,8.16404166667
659.98,6.10991666667,6.372875,5.154375,6.531,5.41775,7.5285,6.26516666667,6.53958333332,8.17608333333
660.31,6.203,6.50741666667,5.236625,6.6625,5.51591666667,7.59283333333,6.32375,6.63775,8.246
660.63,6.2995,6.63575,5.335875,6.75383333333,5.59325,7.70375,6.46675,6.737,8.36254166667
660.96,6.22833333333,6.58341666667,5.27216666667,6.73375,5.54925,7.6525,6.42958333333,6.71950000001,8.27333333333
661.29,6.10533333333,6.49570833333,5.17704166667,6.65733333333,5.48075,7.51983333333,6.31375,6.60558333333,8.131875
661.62,6.14391666667,6.54520833333,5.173875,6.75066666667,5.56708333333,7.55966666666,6.35991666666,6.66558333334,8.2115
661.94,6.076,6.49116666667,5.15016666667,6.76216666667,5.49558333333,7.48391666666,6.32225,6.62,8.158875
662.27,5.95266666667,6.36,5.07229166667,6.73325,5.4275,7.41783333333,6.27341666667,6.51883333333,7.99870833333
662.60,5.8675,6.29083333333,4.95908333333,6.654,5.36775,7.281,6.19416666667,6.43141666668,8.002
662.93,5.89941666667,6.39033333333,5.02791666666,6.67841666667,5.41425,7.31808333333,6.1965,6.44883333333,8.09083333334
663.26,5.9455,6.47845833333,5.10095833333,6.77016666667,5.51716666667,7.3815,6.28508333333,6.52166666667,8.22195833333
663.58,5.79583333333,6.3995,4.943625,6.70908333333,5.42191666667,7.32533333333,6.21016666667,6.44666666666,8.14120833333
663.91,5.69641666666,6.28683333333,4.76670833333,6.60816666667,5.26475,7.158,6.09041666667,6.34358333334,8.04391666666
664.24,5.42683333333,6.10458333333,4.536625,6.41783333333,5.07883333333,6.90775,5.89933333333,6.15516666667,7.842375
664.57,5.51441666667,6.13933333334,4.62375,6.46475,5.12083333333,7.03466666667,5.96283333333,6.24858333333,7.92866666667
664.89,5.50283333333,6.12058333334,4.61920833333,6.40991666667,5.10658333333,7.03825,5.96116666667,6.24241666666,7.89154166667
665.22,5.4605,6.10920833333,4.627,6.33958333333,5.02925,6.99708333334,5.9425,6.14166666668,7.79666666666
665.55,5.54033333333,6.16983333334,4.674,6.34125,5.09766666667,7.02458333333,5.95791666667,6.20441666666,7.84441666667
665.87,5.51933333334,6.16995833333,4.576875,6.17525,4.98983333333,6.98133333333,5.89391666667,6.16466666667,7.779
666.20,5.48708333333,6.13466666666,4.523625,6.14425,4.93441666667,7.04291666667,5.85958333333,6.05041666666,7.71108333333
666.53,5.44641666667,6.13866666667,4.470875,6.12916666667,4.88308333333,7.10466666666,5.86416666667,6.08666666666,7.66691666667
666.86,5.37725,6.112125,4.39291666667,6.03516666667,4.83825,7.04658333334,5.826,6.05291666666,7.613375
667.18,5.41175,6.13975,4.50516666666,6.12408333334,4.86983333334,7.13466666667,5.95233333333,6.07925,7.62358333333
667.51,5.36966666666,6.11720833334,4.49516666666,6.03608333333,4.82125,7.13491666667,5.88166666666,6.01624999999,7.59275
667.84,5.54441666667,6.13783333333,4.569625,6.08566666667,4.90075,7.20533333333,5.93,6.10083333333,7.69170833333
668.16,5.57216666667,6.16154166667,4.58104166667,6.09716666667,4.936,7.17583333333,5.93616666667,6.11791666666,7.69091666667
668.49,5.54475,6.16608333334,4.50520833333,5.98683333333,4.92883333333,7.12558333334,5.874,6.09983333333,7.727
668.82,5.66291666666,6.25945833333,4.64204166666,6.09741666666,5.12375,7.32516666666,5.99858333334,6.26866666666,7.99241666667
669.14,5.6065,6.21508333333,4.61108333333,6.11141666667,5.10116666666,7.35775,5.96366666666,6.27158333333,8.033
669.47,5.70691666667,6.2855,4.74816666667,6.24116666667,5.23075,7.40266666667,5.96591666667,6.3405,8.15529166667
669.80,5.79916666667,6.41970833334,4.90495833333,6.328,5.363,7.46933333333,6.01716666667,6.55766666668,8.29629166667
670.13,5.81633333333,6.39716666667,4.916125,6.2735,5.43616666667,7.44808333333,6.02516666667,6.55824999999,8.33354166666
