wavelength,Back_SpoCaef,Belly_SpoCaef,Breast_SpoCaef,Crissum_SpoCaef,Crown_SpoCaef,DorTail_SpoCaef,Rump_SpoCaef,Throat_SpoCaef,WingTip_SpoCaef
213.30,-2280.0,-1726.66666667,-2271.66666667,-2025.0,-2161.66666667,-2431.66666667,-2248.33333333,-2251.66666667,-2701.66666667
213.68,5.71053020933e+15,4.4481575865e+15,5.62523476184e+15,5.20728706915e+15,5.50582113535e+15,6.17539039814e+15,5.57832226572e+15,5.64016146515e+15,7.02408010064e+15
214.06,-1384.44433333,-1061.11113333,-1317.77786666,-1216.66673333,-1337.77786667,-1506.66653333,-1320.00006667,-1342.77783334,-1728.88886667
214.44,-560.476066667,-454.285666667,-551.9048,-532.380866666,-562.380933333,-646.190533333,-557.143,-566.904766667,-730.000066666
214.81,-1965.0,-1553.33333333,-1900.0,-1828.33333333,-1878.33333333,-2091.66666667,-1803.33333333,-1765.0,-2400.0
215.19,-509.5238,-401.4286,-501.428733333,-498.571399999,-502.381066667,-560.476266667,-496.190533333,-447.142933333,-663.809466667
215.57,-582.424266667,-479.393999999,-583.636266667,-596.969733333,-588.484866667,-663.636466667,-596.9698,-520.000066667,-769.090933333
215.95,-6626.66666666,-5680.0,-6753.33333333,-6626.66666666,-6420.0,-7733.33333333,-6760.0,-5976.66666667,-8900.0
216.32,520.444466666,471.999933334,537.777733333,523.5556,513.3332,593.333333333,514.666733333,485.5555,683.999933333
216.70,285.679,250.617266667,298.7654,299.753066667,281.9754,333.333333333,280.7408,255.555466667,377.037
217.08,232.941133333,192.9412,231.1764,235.686266666,229.0196,265.882266667,225.882333333,211.8628,288.0392
217.46,210.476266667,169.2064,208.412666667,201.111133333,205.079466667,230.0,203.0158,190.555666667,245.873
217.83,284.3678,220.229933333,287.816133333,274.4828,269.195466667,314.712733333,289.885,271.379366667,337.931066667
218.21,324.3478,272.4638,358.840533333,346.087,331.014533333,391.884133334,345.5072,339.130333333,412.753666667
218.59,283.8888,229.166666667,321.111266667,304.722266667,284.999866667,339.1668,303.611066667,305.138866667,367.222133333
218.97,1381.66666667,1088.33333333,1680.0,1516.66666667,1431.66666667,1783.33333333,1571.66666667,1635.83333333,1981.66666667
219.34,-1795.55553333,-1393.33346667,-2137.77773333,-1908.88886667,-1915.5556,-2264.44453333,-2042.22233333,-2203.33313334,-2466.66666667
219.72,-940.000066665,-733.333333333,-1053.33333333,-961.111200001,-981.111066665,-1141.11113333,-990.000000001,-1147.22233333,-1241.11106667
220.10,-221.212133333,-158.484933333,-246.363733333,-226.060733333,-229.091,-276.969733333,-233.030333333,-299.394,-297.575666667
220.47,-93.9394666667,-48.2829333333,-111.313066667,-98.1818666667,-100.808066667,-129.899,-112.323133333,-150.909033333,-144.2424
220.85,-54.2423999999,-23.4848666668,-61.8181333333,-51.2120000001,-59.0910000001,-77.7272666667,-68.6363333333,-101.060566667,-95.4547333335
221.23,-64.1860666666,-31.6277333334,-65.5813999999,-58.7595999999,-64.1861333333,-82.6356666667,-67.5968666667,-99.6125333332,-104.341133333
221.61,-43.7501333334,-16.2499333333,-41.6666666667,-42.9165999999,-48.6112000001,-62.6388666666,-47.9168000001,-73.4028,-79.4443333332
221.98,-41.1763999999,-17.2548666667,-39.4769333333,-37.2550666667,-50.0652666667,-57.6469333333,-39.085,-61.1112333334,-66.6666666667
