wavelength,Back_PipMelm,Belly_PipMelm,Breast_PipMelm,Crissum_PipMelm,Crown_PipMelm,DorTail_PipMelm,Patch10_PipMelm,Patch11_PipMelm,Rump_PipMelm,Throat_PipMelm,WingTip_PipMelm
815.37,9.89079999999,43.6502,49.7596,46.0328666667,18.3388666666,10.8524,16.2732,7.82500000001,19.4972666667,43.9672666667,16.6665333333
815.68,9.104,44.0177333333,49.7385333333,46.0322666667,17.8408666667,10.2282666667,14.9916666667,7.59026666668,19.2432,44.1625333333,15.882
815.98,7.83713333334,43.2014666667,49.9254666667,46.4256666667,17.3954,9.22560000001,13.953,4.89966666667,18.3130666667,43.1898666667,14.4002666667
816.29,4.3096,41.1785333333,47.6785333333,44.9762,14.7143333333,6.22613333334,10.8333333333,1.22633333333,15.1548,40.6668,9.70226666668
816.59,3.0496,41.0638666667,47.2575333333,44.9053333333,14.6808666667,7.0922,10.1418666667,1.27666666668,14.7872,40.8274,10.1773333333
816.89,2.13766666667,41.6062,48.1039333333,45.0845333333,15.3502666667,5.90573333333,9.79453333333,0.507266666667,14.3357333333,40.8455333333,9.84299999999
817.20,2.7278,42.3516666667,49.2064,45.5496,16.0728666667,7.01933333333,10.3937333333,1.6342,14.5913333333,41.0346666667,10.9464666667
817.50,2.25013333333,42.9324,49.5990666667,45.8646,15.7750666667,7.1334,10.4009333333,1.2088,14.7934666667,42.0467333333,10.3171333333
817.81,-0.473599999998,40.7815333333,48.4428666667,44.9258666667,14.3991333333,5.47073333334,7.48373333333,-1.35,12.5044666667,39.4552666667,7.9456
818.11,0.322333333334,42.3142666667,49.7525333333,45.9873333333,15.7972666667,6.89706666666,8.889,-0.794466666666,13.5406,40.1266666667,9.1654
818.41,2.619,42.7329333333,48.9648,45.5178666667,17.3498666667,8.97533333334,10.9731333333,1.263,14.4099333333,39.5444666667,10.1656666667
818.72,1.22313333333,42.2557333333,48.5312666667,45.2230666667,16.5012666667,7.77946666667,9.93480000001,0.481266666668,13.4134666667,39.198,8.74186666666
819.02,3.389,44.1132,50.0928,46.9732,18.7744666667,10.1579333333,12.8134,2.54406666667,15.4502666667,41.4670666667,11.0398666666
819.33,6.33086666667,45.5446666667,50.4505333333,47.9771333333,20.9418666667,11.6216666667,15.0123333333,5.92946666666,17.068,43.1367333333,12.7765333333
819.63,8.68773333333,47.7753333333,51.6209333333,48.7788666667,22.9404,13.4526,16.7228,7.97893333334,18.8772,44.6736666666,15.2632
819.93,10.6608666667,48.2356666667,51.7242,49.5171333333,23.9194666667,14.2930666667,17.6034666667,9.36780000001,20.1781333333,44.8734,15.8735333333
820.24,11.8054666667,48.8717333333,51.3870666667,50.1315333333,24.3818,15.1622666667,18.5708,10.1644,21.4199333333,45.2327333333,16.1307333333
820.54,12.6897333333,49.3426666667,51.3516666667,50.5324666667,24.8683333333,15.5375333333,18.8570666667,10.8524,21.9738666666,45.4028,16.6336
820.85,12.9578,49.5965333333,50.9815333333,50.4557333333,24.9584666667,15.6297333333,18.7260666667,11.1252,22.1918,44.9060666667,16.5671333333
821.15,13.7413333333,50.0805333333,51.0490666667,50.8770666667,25.5731333333,16.2030666667,19.4228,11.8624,22.8448666667,45.2984,17.1162666667
821.45,14.2796,50.4319333333,51.3246,51.1037333333,26.0552666667,16.4677333333,19.8034666667,12.2586666667,23.1828,45.6212,17.5520666667
821.76,13.9041333333,50.5388,51.2026,51.0810666667,25.6467333333,15.9951333333,19.4114666667,11.8376666667,22.8278,45.5801333333,17.0704666667
822.06,14.1364666667,50.8544,51.3297333333,51.2395333333,25.9086,16.2016,19.5021333333,12.0816666667,23.0178666667,45.7713333333,17.1399333334
822.36,14.0363333333,50.7564666667,51.0942666667,51.0108,25.6665333333,16.0249333333,19.1143333333,11.8322,22.7846,45.4277333333,17.0248666667
822.67,13.9450666666,50.8295333333,51.2348666667,51.0548,25.6022,15.9697333334,18.9451333333,11.7309333333,22.7084,45.3372,16.9754666667
822.97,13.7068666667,50.5896666667,51.2760666667,51.0846666667,25.2994666667,15.7472,18.631,11.4107333333,22.5159333333,45.146,16.5416
823.27,13.7397333333,50.5408,51.1329333333,50.8912,25.2596666667,15.8914666667,18.8021333334,11.4967333333,22.5641333333,45.1010666667,16.6154
823.58,13.7993333333,50.5856,51.2258,50.7272666667,25.2947333333,15.9514,18.7154,11.5724,22.4599333333,45.1042,16.6504
823.88,13.5186666667,50.5451333333,51.2732,50.7216,25.0818,15.6638,18.5633333333,11.2688,22.3393333333,45.0098666667,16.4224666666
824.18,13.7554,50.606,51.5048,50.9378,25.4262666667,15.9800666667,18.762,11.3886,22.4878,45.3077333333,16.5231333333
824.49,13.4487333333,50.4852,51.3926666667,50.6373333333,25.0276,15.7068666666,18.5184,11.0754,22.2002,45.0565333333,16.2549333333
824.79,13.4118666667,50.5398,51.3168,50.6998,25.0313333333,15.8359333333,18.6032,11.1246666667,22.1852666667,45.011,16.1938
825.09,13.4451333333,50.4233333333,51.4166666667,50.6182,25.1046666667,15.9399333333,18.5562,11.2698666667,22.1434,44.8968666667,16.1762666667
825.39,13.216,50.1552666666,51.4652,50.3825333333,25.0052,15.8290666667,18.3317333333,10.9479333333,21.9510666667,44.5465333333,16.0428
825.70,13.7823333333,50.8166666667,51.8667333333,50.9252,25.7794666667,16.3244,19.1743333333,11.7471333333,22.7665333333,45.0224666667,16.3462
826.00,13.6536,50.9756666667,51.9440666667,50.879,25.8734,16.6032,19.2476666667,11.7020666667,23.1174,45.2588666667,16.5288666667
826.30,13.9823333333,51.5072666667,52.1826666667,51.1186,26.0705333334,16.6836,19.3585333333,11.8392,23.6106,45.6668666667,16.7478
826.61,13.8293333333,52.1298666667,52.699,51.3571333333,26.1590666667,16.5436,19.0118666667,11.5186,23.4333333333,45.8516,16.6435333333
826.91,14.1728666667,52.5439333333,52.9365333333,52.0238666667,26.6511333333,17.0962666667,19.3492,11.9469333333,23.6857333333,46.2776,17.1500666667
827.21,14.0038,52.6433333333,52.6162666667,51.9302,26.659,17.31,18.9574,11.5348666667,23.3099333333,46.1781333333,16.8023333333
827.51,14.1215333333,53.3174666667,53.361,52.3033333333,26.9518,17.5480666667,19.1800666667,11.5863333333,23.4896666667,46.5477333333,17.1639333333
827.82,14.7771333333,53.7913333333,53.6606,52.6462666667,27.8976666667,18.0081333333,19.5706666667,11.9835333334,23.8485333333,47.1084,17.4928666667
828.12,14.3899333333,53.5101333333,53.9067333333,52.238,27.5550666667,17.7274,18.9434666667,11.3109333333,23.6136,46.7960666667,17.1023333333
828.42,14.5044666667,53.8404666667,54.2000666667,52.3099333333,27.976,18.1835333333,18.9487333333,11.3877333333,24.0203333334,46.9157333333,17.2844
828.72,14.3598,53.6422,53.8666,52.1574,27.4588666667,18.1363333333,18.8788666667,11.1062,23.6572,46.7614666667,16.9706666667
829.02,13.4974666667,52.7258666667,53.5414666667,51.2479333333,26.601,17.6901333333,17.7996666667,9.92879999999,22.5507333333,45.9168,16.0481333333
829.33,12.8593333333,51.8625333333,52.6284,50.4040666667,25.6032,17.2104666667,17.01,8.92126666666,21.5131333333,44.9772,15.0106
829.63,13.1504666666,51.7886,52.8456,50.4064666667,25.8400666667,17.9199333333,17.8658666667,8.95666666666,21.3279333333,45.122,15.3454666667
829.93,12.4283333333,49.5952666666,51.5231333333,49.1318,25.0478666667,17.638,17.4391333333,8.006,20.9344666667,43.635,14.2973333333
830.23,10.9552,48.282,50.5206666666,47.5358,23.6078,16.4328,16.3098,5.535,19.3766,42.2057333333,12.1442
830.54,10.8912,48.1374,50.8645333333,46.9339333333,23.9038,16.5953333333,16.7912666667,5.93586666667,19.4562666667,42.139,11.8804
830.84,10.4484666667,46.7590666667,49.1448,45.7512666666,22.9218666667,15.7466666667,16.4218,5.58473333333,19.1494666667,41.4146,11.2805333333
