wavelength,Back_IdiBram,Belly_IdiBram,Breast_IdiBram,Crissum_IdiBram,Crown_IdiBram,DorTail_IdiBram,Rump_IdiBram,Throat_IdiBram,WingTip_IdiBram
604.56,8.30966666667,19.757,17.3531111111,19.5068888889,7.65088888889,8.87588888889,9.38255555555,20.0094444445,6.81755555556
604.90,8.31144444444,19.7173333333,17.3341111111,19.4782222222,7.64277777778,8.86511111112,9.35966666667,20.0144444445,6.80711111111
605.23,8.282,19.7027777778,17.3317777778,19.4558888889,7.63511111111,8.84366666668,9.31455555556,19.9952222222,6.80311111111
605.57,8.24333333333,19.6593333333,17.2876666667,19.4057777778,7.57355555555,8.80988888889,9.27077777778,19.9613333333,6.76888888889
605.90,8.25366666667,19.6444444444,17.2692222222,19.4026666667,7.56666666667,8.80522222223,9.24011111111,19.9318888889,6.76577777778
606.24,8.23888888889,19.6224444444,17.2607777778,19.3901111111,7.55888888889,8.77877777778,9.20866666667,19.9148888889,6.75466666667
606.58,8.201,19.579,17.1941111111,19.3235555555,7.50322222222,8.70211111112,9.12733333333,19.8505555556,6.72022222222
606.91,8.18588888889,19.5713333333,17.1942222222,19.355,7.49488888889,8.69222222223,9.10466666667,19.8334444444,6.73344444445
607.25,8.22733333333,19.6238888889,17.2432222222,19.3955555556,7.51377777778,8.71844444443,9.128,19.8566666667,6.738
607.58,8.21944444445,19.6231111111,17.2328888889,19.3866666666,7.50833333333,8.71833333334,9.11922222222,19.8355555556,6.74155555556
607.92,8.23855555555,19.675,17.2921111111,19.4526666667,7.553,8.74211111112,9.12422222222,19.8762222222,6.76955555556
608.25,8.26022222222,19.6873333333,17.2617777778,19.4671111111,7.55466666666,8.73455555556,9.15088888889,19.8772222222,6.78922222222
608.59,8.29533333333,19.7446666667,17.3068888889,19.527,7.61366666667,8.79122222221,9.209,19.8925555556,6.83788888889
608.92,8.29722222222,19.7568888889,17.2856666667,19.5711111111,7.626,8.82955555555,9.22666666667,19.9365555556,6.85111111111
609.26,8.28244444444,19.744,17.2388888889,19.5632222222,7.62355555556,8.83177777777,9.22022222222,19.911,6.84311111111
609.59,8.30266666667,19.7716666667,17.2473333333,19.5681111111,7.66222222222,8.87511111112,9.266,19.9314444444,6.88244444445
609.93,8.36233333333,19.8321111111,17.2973333333,19.6237777778,7.68022222222,8.92299999999,9.30433333333,19.9626666667,6.90655555556
610.26,8.359,19.8332222222,17.2853333333,19.6504444445,7.694,8.97011111111,9.32577777778,19.9537777778,6.91833333333
610.60,8.36655555556,19.8494444444,17.2727777778,19.6582222222,7.69011111111,8.97977777777,9.32033333333,19.9605555556,6.89966666667
610.93,8.33933333333,19.8438888889,17.2647777778,19.6531111111,7.66822222222,8.96166666667,9.29822222222,19.9511111111,6.91144444445
611.27,8.30466666667,19.8354444444,17.2383333333,19.6412222222,7.63366666667,8.96355555557,9.27877777778,19.9546666666,6.86233333333
611.60,8.28788888889,19.8095555555,17.2021111111,19.6081111111,7.60933333334,8.9511111111,9.25533333333,19.9656666667,6.84022222222
611.93,8.29255555556,19.82,17.2383333333,19.629,7.65422222222,8.99122222222,9.26022222222,19.99,6.85944444445
612.27,8.253,19.7841111111,17.2026666667,19.5688888889,7.56933333333,8.93411111112,9.19522222222,19.9711111111,6.80288888889
612.60,8.26477777778,19.815,17.2267777778,19.5681111111,7.59788888889,8.93444444445,9.21155555555,19.9832222222,6.83233333333
612.94,8.267,19.7985555556,17.2538888889,19.5627777778,7.58677777778,8.91922222223,9.213,19.9976666667,6.831
613.27,8.18333333333,19.7466666667,17.2464444444,19.5426666667,7.50011111111,8.84688888888,9.14788888889,19.9714444444,6.75577777778
613.61,8.04655555556,19.5875555556,17.1552222222,19.3985555556,7.39933333333,8.74433333333,9.048,19.8431111111,6.64066666667
613.94,8.024,19.5995555556,17.1847777778,19.3998888889,7.38611111111,8.69733333334,9.06111111111,19.894,6.625
614.28,7.97077777778,19.5788888889,17.1697777778,19.3486666667,7.356,8.63977777779,9.04277777778,19.8974444445,6.59022222222
614.61,8.003,19.5765555556,17.2012222222,19.3874444444,7.41666666667,8.69066666667,9.10433333333,19.9441111111,6.61944444445
614.94,7.97444444445,19.5573333333,17.1886666666,19.403,7.40744444445,8.64577777779,9.09366666667,19.9288888889,6.63066666667
615.28,7.99044444445,19.6108888889,17.2401111111,19.4438888889,7.44033333333,8.69666666667,9.15044444445,19.9741111111,6.677
615.61,7.96944444444,19.5836666667,17.2127777778,19.3846666667,7.38277777778,8.63011111112,9.08855555556,19.955,6.64311111111
615.95,7.95977777778,19.5555555556,17.226,19.4224444445,7.41,8.65322222223,9.08988888889,19.9668888889,6.67955555556
616.28,7.96777777778,19.5527777778,17.202,19.4221111111,7.37277777778,8.67433333334,9.10233333333,19.9612222222,6.664
616.61,8.08033333333,19.6598888889,17.3045555556,19.5522222222,7.45477777778,8.7521111111,9.19466666667,20.0782222222,6.75122222222
616.95,8.152,19.703,17.3335555556,19.5792222222,7.50211111111,8.82633333333,9.24088888889,20.1237777778,6.80311111111
