wavelength,Back_TanVirf,Belly_TanVirf,Breast_TanVirf,Crissum_TanVirf,Crown_TanVirf,DorTail_TanVirf,Patch10_TanVirf,Patch11_TanVirf,Patch12_TanVirf,Rump_TanVirf,Throat_TanVirf,WingTip_TanVirf
719.88,22.2046666666,27.0819166666,22.4080833333,22.4226666666,18.8623333333,14.5272613636,17.2604166667,16.8131666667,26.0511666667,24.1214606481,26.24425,18.9335
720.20,22.37675,27.23375,22.50175,22.6324444445,19.0395833333,14.8155871212,17.4236666667,17.042,26.2306666667,24.3039780092,26.3884166666,19.0233333333
720.52,22.4505,27.2415,22.46475,22.6055555556,19.1274166667,14.7405378788,17.3904166667,17.1484166667,26.2366666667,24.3471539352,26.3813333333,19.0756666667
720.84,22.7986666667,27.4200833333,22.6526666667,22.7925555556,19.3601666666,14.8779583333,17.5993333333,17.4365833333,26.4815,24.6372418982,26.6148333333,19.1140833334
721.16,22.7834166666,27.2984166667,22.57375,22.8794444445,19.3508333333,14.7977537879,17.6166666667,17.52225,26.604,24.6482557871,26.6398333334,19.0361666667
721.48,22.9543333334,27.4023333333,22.648,22.941,19.5914166666,15.0250833334,17.8393333333,17.7490833334,26.9029166667,24.8040891204,26.6951666667,19.2515
721.79,23.2670833334,27.6405833334,22.965,23.2324444444,19.8876666667,15.3536628788,18.159,18.02375,27.2775,25.1085081018,26.9019166667,19.59
722.11,23.4954166667,27.67475,23.1674166667,23.41,20.2090833334,15.5899583333,18.3531666667,18.4146666666,27.4695,25.3961041667,27.07175,19.7943333334
722.43,23.5283333333,27.7629166667,23.1933333333,23.5423333333,20.1991666667,15.7921174242,18.40125,18.4330833333,27.5190833333,25.5417395833,27.0739166666,19.8706666667
722.75,23.6251666666,27.9108333333,23.3810833333,23.8035555556,20.2795,15.9276818182,18.66275,18.50825,27.5628333333,25.7381458333,27.2298333333,20.1205
723.07,23.6884166666,27.87175,23.3741666666,23.7986666667,20.3176666666,16.0208333333,18.7363333333,18.6046666667,27.4156666667,25.8014641204,27.26475,20.0925
723.39,24.0133333333,28.0576666667,23.6455833333,23.9998888889,20.5218333333,16.2366401515,18.8568333334,18.74625,27.6196666667,25.9847743055,27.3431666666,20.3090833333
723.71,24.0325833334,28.0028333333,23.6951666666,23.9678888889,20.47875,16.1147537879,18.8941666667,18.7426666667,27.50725,25.9554560185,27.2659166667,20.3591666667
724.03,24.0336666667,27.9224166667,23.81575,23.944,20.5125,16.1817462121,18.952,18.77675,27.4883333333,25.9574097222,27.2811666667,20.4015
724.35,24.01675,28.11175,23.9655,24.1257777778,20.4753333333,16.4044886363,19.054,18.8061666667,27.4559166666,25.9893344908,27.3318333333,20.6463333334
724.67,24.252,28.5465833333,24.2540833333,24.305,20.71825,16.8234659091,19.3285,18.95575,27.7046666666,26.1906145833,27.55975,20.9634166667
724.98,24.0288333334,28.3853333333,24.12475,24.206,20.5004166667,16.4515795455,19.1065833334,18.7820833333,27.4675833333,25.9391284722,27.39075,20.7779166667
725.30,23.6678333333,28.0834166666,23.7465833333,23.8906666667,20.1821666666,16.087125,18.7095,18.4903333333,27.1045833333,25.6407465278,27.0579166667,20.4248333333
725.62,23.526,28.0475,23.5876666667,23.8824444445,20.0146666667,16.0187310606,18.5916666667,18.2761666666,27.0265833333,25.5081516204,26.9671666667,20.2775
725.94,23.3296666667,27.9134166667,23.4221666667,23.6826666667,19.7758333333,15.7919356061,18.3770833333,18.0675,26.78,25.2226215278,26.6599166667,20.037
726.26,23.59575,28.1301666666,23.6754166667,23.8032222222,19.9440833334,16.1067651515,18.6238333333,18.3043333333,27.0875,25.3696261574,26.8479166667,20.1921666667
726.58,23.58175,28.2616666667,23.7108333333,23.9164444444,20.0033333333,16.1118901515,18.7579166667,18.3288333333,27.2225,25.3523680556,26.7809166667,20.3781666667
726.90,23.2825,27.9990833333,23.2845,23.6605555555,19.6304166667,15.8064090909,18.5226666666,18.0659166667,26.91375,25.0260891204,26.5211666667,20.09975
727.21,23.16875,27.9025833333,23.2055,23.5824444444,19.5550833333,15.7649848485,18.3565833333,17.9694166667,26.86425,24.915599537,26.5096666666,20.0079166667
727.53,22.89875,27.7419166667,22.9515833333,23.5337777778,19.214,15.6023068182,18.0904166667,17.7070833333,26.5860833333,24.6837222222,26.2755833333,19.8059166667
727.85,22.6265,27.4301666667,22.5255833333,23.117,18.82775,15.2590340909,17.6614166667,17.3439166667,26.2676666667,24.2554664352,25.9359166667,19.4040833333
728.17,22.41775,27.028,22.2991666667,22.9504444444,18.5943333333,14.9833863636,17.3555,17.1606666667,26.0100833333,24.0929837963,25.8474166667,19.1868333333
728.49,22.3663333333,27.0063333333,22.2104166667,22.8272222222,18.50525,15.0052159091,17.2380833333,17.0784166666,26.0511666666,24.0972962963,25.8035,19.1925833333
728.80,22.5039166666,27.1646666667,22.4323333333,22.9842222222,18.6388333333,15.1496628788,17.4603333333,17.3074166667,26.1605833333,24.340011574,26.02175,19.35125
729.12,22.5011666667,27.1985833333,22.4811666667,22.934,18.7505,15.1122916667,17.4633333333,17.3505833333,26.22775,24.3971712963,26.0596666667,19.3851666667
729.44,22.4670833333,27.0244166667,22.418,22.8113333333,18.6850833334,15.1008333333,17.452,17.30875,26.1545833334,24.3607118056,26.021,19.3980833333
729.76,22.23325,26.7718333333,22.173,22.6611111111,18.6079166667,14.8967916666,17.22925,17.095,26.0066666666,24.1822847222,25.83925,19.2795833333
730.08,22.0645,26.5750833334,21.9960833333,22.4045555556,18.3610833333,14.7571174242,16.94225,16.8894166667,25.9126666667,24.037494213,25.7055833333,19.0313333333
730.39,22.2876666667,26.7908333334,22.2119166667,22.5723333333,18.6090833334,14.9842083333,17.0731666667,17.1196666666,26.1705833333,24.3472708333,25.9468333333,19.2838333333
730.71,22.29,26.9185833333,22.2455833333,22.6308888889,18.7035,14.9996818182,17.18075,17.0313333333,26.33075,24.4368449074,26.0765,19.3493333333
731.03,22.466,26.9524166667,22.365,22.7083333334,19.032,15.171125,17.49075,17.25025,26.6150833334,24.6786296296,26.334,19.4858333333
731.35,22.5533333334,27.0601666667,22.507,22.8328888889,19.2698333334,15.1152954546,17.6640833333,17.3973333333,26.8244166667,24.8742962963,26.4725,19.5655
731.67,22.34775,26.8254166667,22.257,22.5983333333,19.1411666667,14.9190643939,17.5301666667,17.1205833333,26.6805833334,24.6457511574,26.1668333333,19.3188333333
731.98,22.1895833333,26.5735833333,22.0701666666,22.5172222222,18.96175,14.7706022728,17.4053333333,16.913,26.4254166667,24.5078645833,25.98675,19.0731666667
732.30,22.043,26.3575833334,21.7935,22.3512222222,18.823,14.5529962121,17.1076666667,16.56025,26.3090833333,24.1726990741,25.8528333333,18.8364166667
732.62,21.9605833333,26.3741666667,21.6619166667,22.2405555556,18.6654166667,14.4321439394,17.0296666667,16.368,26.16725,24.0433206018,25.8841666667,18.7475833334
732.94,22.0051666667,26.4585833333,21.639,22.3436666667,18.78075,14.4439962121,17.116,16.46075,26.2945,24.1428541667,26.0393333334,18.7055
733.25,22.0570833333,26.5403333333,21.69525,22.4086666667,18.9003333333,14.5172840909,17.194,16.6466666667,26.4285833333,24.3052476852,26.19475,18.8025
733.57,22.21225,26.8939166667,21.88075,22.6373333333,19.2255,14.756939394,17.4519166667,16.9559166667,26.6006666667,24.6569814815,26.5626666666,19.111
733.89,22.25025,27.0115,21.9809166667,22.798,19.369,14.8514318182,17.6456666667,16.92375,26.7481666667,24.7913032408,26.6288333333,19.2045
734.21,22.4561666667,27.2298333333,22.0661666666,22.8657777778,19.4169166666,14.9684924242,17.7203333333,17.0945833334,26.7850833333,24.9941493055,26.7345833333,19.438
734.52,22.4219166667,27.2491666667,22.0719166667,22.8095555555,19.2725,14.8510340909,17.5990833334,17.006,26.7186666666,24.8848958333,26.6263333333,19.4465
734.84,22.64325,27.4449166667,22.3308333333,23.0496666667,19.5185,15.1534734849,17.8900833333,17.2585833333,26.91225,25.2011527777,26.9915,19.776
735.16,22.81925,27.8745833333,22.6671666667,23.3895555556,19.7921666667,15.5120681818,18.2429166667,17.6765833333,27.1246666667,25.4817037037,27.2635,20.1438333333
735.48,23.3144166667,28.4123333333,23.2481666667,23.91,20.26225,15.932310606,18.65025,18.20775,27.5980833333,25.8737025463,27.6831666666,20.6569166667
735.79,23.4924166667,28.7596666667,23.649,24.2198888889,20.40725,16.2298522727,18.9605,18.5684166667,27.8421666667,26.2420717593,27.9636666667,21.0165
736.11,23.4119166667,28.5338333333,23.6354166667,24.1923333333,20.3463333333,16.0572083333,18.8335,18.5278333333,27.7714166666,26.1632789352,27.6915,20.9156666667
736.43,23.785,28.92375,24.0646666667,24.4702222222,20.6710833333,16.3005795455,19.0465833333,18.73875,27.99325,26.3671122685,27.95775,21.2606666667
736.74,23.74075,28.9356666667,24.0665,24.2523333334,20.4921666667,16.0853333334,18.91225,18.4740833333,27.7864166666,26.1968043982,27.6980833333,21.13625
737.06,23.5038333333,28.3521666666,23.7016666667,23.8825555556,20.0043333333,15.7101590909,18.4815833334,17.9265,27.4640833333,25.6407291667,27.1624166667,20.68
737.38,23.38075,28.2286666667,23.5548333333,23.6851111111,19.6825833333,15.5175984849,18.25925,17.7396666666,27.1315,25.3787754629,27.05675,20.5144166666
737.69,23.5903333333,28.1981666667,23.7894166666,23.8108888889,19.8335,15.7183030303,18.4885,17.92775,27.27025,25.4854270834,27.1216666667,20.63925
738.01,23.7180833333,28.444,23.7926666667,23.8352222222,20.00975,15.7759318182,18.605,18.1096666666,27.3954166667,25.6346585648,27.2846666667,20.6855
738.33,23.3008333333,28.102,23.4776666667,23.5255555555,19.6920833333,15.4723295455,18.2511666667,17.7014166667,27.0886666667,25.1708009259,26.8975,20.3301666667
738.64,23.3903333333,28.1160833334,23.4743333333,23.5304444445,19.5979166667,15.3670378788,18.1155833333,17.61175,27.0005833333,25.1913668981,26.9358333333,20.3055833333
738.96,23.2459166667,28.0035833333,23.263,23.4028888889,19.5568333333,15.1277916667,18.0008333333,17.4509166666,26.8528333333,25.1123726852,27.0000833334,20.2229166667
