wavelength,Back_ConSitf,Belly_ConSitf,Breast_ConSitf,Crissum_ConSitf,Crown_ConSitf,DorTail_ConSitf,Rump_ConSitf,Throat_ConSitf,WingTip_ConSitf
761.63,8.782,49.8681,42.1563333333,42.5685333333,7.08406666667,11.6550844444,11.5631333333,9.90286666667,10.2157333333
761.94,8.86626666665,49.9619,42.2855333333,42.7848666667,7.26340000001,11.8627288889,11.7606,10.1526,10.4385333333
762.26,8.90206666667,50.0663,42.3152666667,42.8648,7.34993333334,12.0835733333,11.8740666667,10.3603333333,10.5773333333
762.57,8.60139999999,49.9579666667,42.0078666667,42.7644,7.149,11.7783555556,11.5404666667,10.0883333333,10.3640666667
762.88,8.26293333333,49.9759,41.8506666667,42.9407333333,6.97786666667,11.6262711111,11.3731333333,9.89526666667,10.1255333333
763.20,8.08706666666,49.8834,41.8549333333,42.7796666667,6.89893333333,11.5487111111,11.3032666667,9.78,10.075
763.51,8.016,49.8227,41.9209333333,42.7775333333,7.03013333334,11.5765688889,11.2742,9.64106666667,10.0649333333
763.82,8.09606666667,49.7846,42.0706666667,42.8572,7.23273333334,11.7144577778,11.3964666667,9.71293333333,10.0979333333
764.14,8.08926666667,49.7810666667,42.1033333333,42.8996,7.36246666667,11.77312,11.4864,9.84440000001,10.2070666667
764.45,8.2228,49.6785,42.1084666667,42.8652,7.40326666666,11.8705733333,11.5198666667,9.95713333333,10.3101333333
764.76,8.17926666667,49.4328333333,41.9204666667,42.6308666667,7.2066,11.8305244445,11.4409333333,9.80993333332,10.1382
765.07,8.01306666667,49.4601,41.8202,42.5848666667,7.02586666667,11.6803288889,11.3158666667,9.66346666667,9.9364
765.39,7.9526,49.4563333333,41.5986666667,42.4578666667,6.89326666667,11.6218844445,11.1783333333,9.468,9.72486666667
765.70,8.05926666667,49.4556666667,41.6168,42.4393333333,6.85986666666,11.6087644445,11.176,9.42166666667,9.57326666669
766.01,8.05406666667,49.1471,41.4538,42.2085333333,6.86019999999,11.5678844445,11.1218666667,9.34226666667,9.41266666666
766.32,8.3212,49.1190666667,41.7096,42.0518666667,7.15066666667,11.8432844444,11.38,9.39306666666,9.61126666667
766.64,8.36866666666,49.0357,41.4838666667,42.0311333333,7.19753333334,11.8694177778,11.3932666667,9.29439999999,9.55060000001
766.95,8.39813333334,48.8446,41.4085333333,41.8787333333,7.21813333334,11.8920088889,11.5178,9.31,9.53233333332
767.26,8.42546666666,48.6072666667,40.9176,41.7048,6.97399999999,11.8115066667,11.4161333333,9.30806666667,9.55520000001
767.57,8.24940000001,48.3982666667,40.4944,41.291,6.57926666666,11.4471555555,11.1075333333,8.97246666667,9.32359999999
767.88,8.11453333333,48.6500333333,40.3712,41.2720666667,6.40586666666,11.2825822222,10.7662666667,8.717,9.26126666668
768.20,7.83373333333,48.7675333333,40.5158666667,41.3251333333,6.35799999999,11.0727333333,10.5710666667,8.53973333333,9.23540000001
768.51,8.11373333333,48.9088333333,40.7487333333,41.3516,6.59853333333,11.4065733333,10.7818666667,8.89626666667,9.66286666666
768.82,8.27506666667,49.0977666667,41.0132666667,41.692,6.67813333333,11.5748711111,10.8745333333,9.217,9.94460000001
