wavelength,Back_CamPalm,Belly_CamPalm,Breast_CamPalm,Crissum_CamPalm,Crown_CamPalm,DorTail_CamPalm,Rump_CamPalm,Throat_CamPalm,WingTip_CamPalm
226.51,239.595955555,255.9849,241.969733333,208.636466667,226.515133333,255.909133333,227.196925,238.484866667,243.787866667
226.88,380.370311111,417.222233333,427.2222,343.333466667,383.3334,444.7222,372.08325,395.4167,392.777866667
227.26,944.938222223,1065.92593333,1164.44433333,937.037,982.222133334,1187.4074,957.870416667,992.222133333,1012.59266667
227.64,-1502.22222222,-1690.66666667,-1948.0,-1621.33333333,-1624.0,-1973.33333333,-1607.33333333,-1720.0,-1685.33333333
228.01,-549.682511111,-633.5714,-716.190466667,-604.761866667,-604.762066667,-725.714266667,-579.345283333,-650.0002,-594.2858
228.39,-305.314088889,-372.7535,-420.869666667,-359.130466667,-346.376733333,-413.623133333,-331.014375,-368.695666667,-330.145
228.76,-523.0158,-648.809500001,-722.381066667,-603.333333333,-581.428533333,-685.238133333,-577.321508333,-654.0475,-542.857133333
229.14,-190.432,-242.407366666,-271.8518,-236.2962,-219.2592,-245.7408,-215.763791667,-241.296266667,-190.185133333
229.52,-98.0459555555,-124.195333333,-144.252933333,-124.8276,-116.551666667,-127.356333334,-115.933908333,-120.114833333,-101.839066666
229.89,-46.5966,-65.1228333333,-74.6668666667,-62.4560666668,-57.6141333333,-63.0877333333,-59.0175833333,-62.0351333333,-46.8772666667
230.27,-39.7777777778,-56.1666666667,-65.2666666667,-54.3333333333,-45.6666666667,-50.8666666667,-47.4166666667,-54.0,-36.7333333333
230.65,-35.7333333333,-56.1666666667,-62.0666666667,-52.4,-42.5333333333,-51.6,-41.725,-52.2,-29.4
231.02,-28.2424888889,-47.8787,-44.6667333333,-41.8787333333,-32.4242,-36.606,-29.893825,-42.4849333333,-19.8182666667
231.40,-30.6666666667,-49.3333333333,-46.0,-39.9333333333,-33.4,-35.3333333333,-26.875,-47.6666666667,-14.8
231.78,-20.8100222222,-41.4642,-33.8940666667,-27.2274666667,-22.1184,-25.1090666667,-14.4080916667,-36.3552,-6.41753333333
232.15,-0.985444444453,-18.6291,-9.08613333334,-8.9786,-2.09673333333,-4.46233333335,0.194900000006,-14.57,9.62366666667
232.53,0.555599999993,-11.3095666667,-5.19053333334,-4.04766666668,0.190466666659,-2.71419999999,1.499975,-10.7858,7.90473333333
232.90,9.04106666667,-3.99526666667,-0.684933333333,2.78533333335,3.74413333333,2.46566666665,6.55246666667,-1.78073333334,11.7352
233.28,8.10093333333,-7.02133333335,-1.70213333333,3.68786666668,2.36400000001,-1.18199999999,6.65481666666,-7.44673333333,6.24113333333
233.66,7.72017777779,-9.3086,-4.29626666668,0.79,-0.246866666668,-5.33326666666,5.26542500001,-10.3703333333,3.95066666666
234.03,11.4312888889,-3.89833333334,-0.734466666658,6.38413333333,2.4858,-2.25979999999,9.54096666667,-10.1413333333,8.41813333333
234.41,18.4150888889,0.80866666668,7.402,11.8626666667,6.37246666665,4.5098,13.3210833333,-2.54906666667,15.0981333333
234.78,16.1257333333,0.6579,6.97373333333,9.78066666666,5.1316,5.43853333331,11.1241,-5.13153333333,13.0262
235.16,23.8456444444,9.48089999999,11.1378,15.7286,13.1336666667,11.6168,17.5648083333,3.493,20.6388666667
235.54,22.8181777778,9.16203333335,10.4655333333,15.5306666667,13.2960666667,12.4766,16.066125,5.73559999999,17.6165333333
235.91,22.8770666667,12.8502,11.5298,14.7825333333,13.3332666667,14.0098,17.1619,6.84376666667,17.7777333333
236.29,19.9056888889,12.2012666667,7.86146666667,12.1698,10.9748666667,12.7043333333,17.405675,4.5755,16.0691333333
236.66,22.3630222222,11.4960333334,8.35753333333,11.1546,10.4066,13.6261333333,19.1259333333,5.12196666667,16.9106
237.04,20.2388666667,9.11213333333,8.31773333334,7.88166666667,8.31779999999,11.9936666667,17.7413666667,2.04046666667,14.4236
237.41,19.9188222222,8.88889999999,8.52353333333,8.12786666668,6.66660000001,12.1156,18.348725,4.76393333333,14.3988
237.79,21.3462222222,10.0137,10.5394,10.5394666667,9.12860000001,14.4952,19.0006583333,5.20063333333,17.787
238.17,18.7783111111,6.89239999999,7.51660000001,6.82613333334,6.79946666666,12.4568,17.0783333333,3.1341,14.2098
238.54,11.8758,0.701733333328,0.971733333328,1.4576,0.593800000006,6.7746,12.50335,-4.3319,7.20646666666
238.92,15.4036,4.81619999999,5.34853333333,6.84413333333,4.05579999999,10.9758666667,15.7287833334,1.29286666667,10.8493333333
239.29,15.7525555555,4.50353333333,5.93386666667,8.01426666667,2.45859999999,11.1347333333,15.014825,0.922066666667,9.31446666666
239.67,19.5824222222,8.51503333335,12.0608,12.3434,6.86873333332,15.2524666667,19.497425,5.61603333333,14.8081333333
240.04,16.4547111111,4.38743333332,9.26893333333,10.4462666667,3.72280000001,12.6307333333,15.8381333333,4.10236666667,13.1434666667
240.42,15.5443555555,2.84299999999,8.41226666667,9.69226666666,2.0448,11.9702666667,12.9945833333,3.15043333333,11.5212666667
240.79,12.3699333333,2.06006666667,6.53786666667,7.7826,1.27326666667,10.9870666667,10.5006666667,1.2661,10.9156
241.17,10.4803333333,2.36863333333,5.4174,7.35926666667,2.1768,10.4637333333,9.523775,1.34833333333,11.2677333333
241.54,9.88571111111,3.13093333333,5.1264,7.08259999999,1.9448,10.6238666667,9.1653,1.2366,11.287
241.92,8.50395555555,2.88086666667,4.50326666667,6.16740000001,1.4248,9.45393333333,8.66991666665,0.6916,9.78673333333
242.29,10.1655111111,4.97386666667,6.7424,8.09446666668,3.4042,11.4138,10.47275,2.83693333333,11.7447333333
242.67,10.6916222222,5.96616666667,7.7822,8.46046666667,4.13206666667,12.1911333333,10.966125,4.29726666667,12.7978
243.05,10.1816444445,5.34643333333,7.27673333333,7.79079999999,3.8606,11.8606,10.5892916667,4.03926666667,12.3399333333
243.42,9.68895555555,4.83466666666,7.05673333333,7.16720000001,3.4436,11.5522666667,10.384675,4.46563333333,12.4511333333
243.80,8.91162222222,3.57523333333,5.58806666667,5.75793333333,2.429,10.0892,8.58509166667,3.81746666667,11.3715333333
244.17,9.47164444447,4.7343,6.61646666667,6.40733333334,3.8896,10.9996,9.55134166667,4.34953333333,11.8527333333
