wavelength,Back_SicFlaf,Belly_SicFlaf,Breast_SicFlaf,Crissum_SicFlaf,Crown_SicFlaf,DorTail_SicFlaf,Patch10_SicFlaf,Patch11_SicFlaf,Rump_SicFlaf,Throat_SicFlaf,WingTip_SicFlaf
810.49,22.5866,53.3578666667,39.0372,55.4059333333,20.1468,25.2958,17.1113333333,17.3480666667,23.8174666667,43.0191333333,17.711
810.80,21.6544666667,52.3358,38.3455333333,54.6716,19.5459333333,24.5742,16.3909333333,16.9505333333,23.1724888889,42.2547333334,16.967
811.10,22.4096,52.4497333333,38.6907333333,55.1566666667,20.4498,25.3173333334,16.7068666667,17.8393333333,24.008,42.2408666666,17.5581666667
811.41,22.773,52.9141333333,39.2664666667,55.8082666667,21.2576,25.8123333333,17.4525333333,18.9602,24.5654,42.7812,18.0370333333
811.71,23.2765333333,53.5604666667,38.8484666667,55.9609333333,21.5490666667,26.0745333333,17.6156666666,19.1078,25.0365333333,42.8304666667,18.3333333333
812.02,23.8177333333,54.7247333333,39.2628666667,56.969,21.9462666667,26.3354666667,17.9709333333,19.2796,25.1594888889,43.4120666667,18.8405666667
812.32,23.6526,55.2644666667,39.2360666667,57.3886666667,21.8304,26.0620666667,18.3878,19.9832,25.0306777778,43.7279333333,19.3535666667
812.63,23.4900666667,55.3664666667,39.7034666667,57.2384,21.8297333333,25.4637333333,18.526,19.9915333333,25.2660333333,43.4646,19.4409333333
812.93,23.9456,55.9014666667,40.5187333333,57.364,22.1258666667,25.4848,18.9114666667,20.289,25.3584333333,43.7924,19.9488666667
813.24,25.0,56.3583333333,40.9916666667,57.8583333333,23.1416666667,26.4333333333,19.7416666667,21.2416666667,26.0416666667,44.4416666667,21.0875
813.54,25.9700666667,56.7992666666,40.9287333333,57.6866,24.0049333333,26.8738666667,20.0165333333,21.9734666667,26.0930666667,44.9336,21.6003333333
813.85,25.8270666667,56.5659333333,40.2435333333,57.3467333333,24.2653333333,26.5827333333,19.513,21.5532,25.3037,45.0375333333,21.1839333333
814.15,26.0771333333,57.1651333333,40.5981333333,58.1792666667,24.5166,26.6838666667,19.7658,21.7252,25.3128444444,45.8952,21.6080666667
814.46,25.4304,56.7152,39.2318666667,57.5274666667,23.2405333333,25.3510666667,18.5252,20.6534,23.6644777778,45.3067333334,20.5608
814.76,25.7444666667,56.5218,38.9546,57.119,23.1708666667,25.6564666667,18.4189333333,20.6411333333,23.8325777778,44.9977333333,21.3000666667
815.07,25.3368666667,55.5409333333,38.6265333333,56.4885333333,22.9901333333,25.3281333333,18.3311333333,20.4694666667,23.4896555555,44.8935333333,21.0865
815.37,24.8470666667,54.3367333333,37.7635333333,55.3572,22.5766666667,24.8044666667,18.0016666667,19.9150666667,23.1037444444,44.1666666667,20.6335
815.68,25.3651333333,53.9675333333,38.0642666667,55.2358,23.2790666667,25.2649333333,18.2728666667,19.8748,23.7225777778,44.0132666667,20.8136666667
815.98,24.4944,53.1419333333,37.2284666667,54.4319333333,22.5801333333,24.6941333333,17.1867333333,18.8347333333,22.6675111111,43.1377333333,19.7546333333
816.29,24.5162,53.3912,37.2706,54.6898,22.804,24.6814,17.0968666667,18.9248,22.6427222222,42.7296,19.3713666666
816.59,24.7654,54.2963333333,37.7418666667,55.4504666667,23.4868666667,25.3714666667,17.3765333333,19.8007333333,23.2156777778,43.1797333333,19.1906
816.89,23.8695333333,53.5065333333,37.0132,54.5464,22.5824666667,24.0264,16.5263333333,18.688,22.3913666667,42.6320666667,17.9208666667
817.20,23.5056666667,52.7230666667,36.4710666667,53.4899333333,22.4334666667,23.4508,17.0736,18.482,22.3735555556,41.8545333333,18.0477333333
817.50,24.1002,53.0938,36.7901333333,53.7598666667,23.1724666667,23.8758,17.9048666666,19.207,23.322,41.8107333333,18.8477333333
817.81,24.2524666667,53.6178,37.4907333333,54.5440666667,23.5374666667,24.1576666667,18.5777333333,19.5405333333,24.0737555555,41.9841333333,19.0627666667
818.11,24.1445333333,54.1126,38.0942666667,55.0903333333,24.0383333333,23.9886666667,18.7176666667,19.6742,24.1632666667,42.3733333333,18.7459666667
818.41,24.6248,55.1010666667,38.6638666667,56.0055333333,24.5838,24.7002,19.3216666666,20.089,24.5345,43.0626666667,19.1230666667
818.72,24.6764,55.271,38.6074666667,56.3283333333,24.6042,24.3677333334,19.2183333333,19.8357333333,24.1466222222,43.0278,18.9391666667
819.02,23.9046,55.5618,37.9346666667,56.4782666667,23.4149333333,23.4840666667,18.7320666667,19.0270666667,23.6366555555,43.0824666667,18.2266
819.33,24.1113333333,55.9114,38.0749333333,56.8540666667,23.7138666667,23.3844666667,19.1424666667,19.6139333333,23.8614,43.3447333333,18.6030666667
819.63,24.4592,55.8100666667,38.5804666667,56.8625333333,23.7838,23.2403333333,19.5644666667,20.1762666667,24.0439222222,43.6369333334,18.9428666667
819.93,24.67,56.0480666667,39.0950666667,56.7912,23.7234666667,22.5406,19.5765333333,20.1783333333,24.0354555555,43.7359333333,19.1406666667
820.24,25.1793333333,56.4960666667,40.0105333333,57.0394666667,24.2423333333,22.689,20.1358666667,20.7279333333,24.6273222222,44.1099333333,19.8082333333
820.54,25.9846,57.3309333333,41.0467333333,57.6098666667,24.7300666667,23.1524,20.5960666667,21.4799333333,25.2574888889,44.7597333334,20.3974666667
820.85,26.2964,57.7122666667,41.6009333333,57.8756666667,24.744,23.1278666667,20.7507333333,21.8256,25.4713111111,45.1346666667,20.6025
821.15,26.5284,58.0850666667,41.8904,57.9757333333,24.8564,23.1202666667,20.953,21.9929333334,25.6466555555,45.5440666667,20.8436666667
821.45,26.8610666667,58.2926666667,42.15,57.9987333333,24.9713333333,23.0475333333,21.2409333333,22.1282,25.8382777778,45.7494666667,21.0642
821.76,26.9893333333,58.3758666667,42.331,57.9789333333,25.0462666667,23.016,21.3830666667,22.3726666667,25.8564444444,45.7911333333,21.1645333333
822.06,27.0696,58.2023333333,42.4606,57.7962,25.1897333333,23.1150666667,21.5726,22.5613333333,26.0303111111,45.7351333333,21.2706
