wavelength,Back_PipMelf,Belly_PipMelf,Breast_PipMelf,Crissum_PipMelf,Crown_PipMelf,DorTail_PipMelf,Patch10_PipMelf,Patch11_PipMelf,Rump_PipMelf,Throat_PipMelf,WingTip_PipMelf
785.60,22.6109333333,52.2279333333,43.3775333333,42.8553333333,26.5922,18.1146666667,16.6496666667,24.8760666667,23.7301333333,41.4106,21.7292666667
785.91,23.0106666667,52.2581333333,43.8306666667,43.2124,26.7271333333,18.5686666667,17.0632,25.1545333333,24.0256,41.7136,22.1908666667
786.22,22.5615333333,51.938,43.6130666667,43.1141333333,26.1004666667,17.7822666667,16.6227333333,24.1726,23.3164666667,41.0448666667,21.5908
786.53,23.0620666667,52.8041333333,43.8392,43.9397333333,26.8542666667,18.3920666667,17.3333333333,24.5024666667,23.7855333334,41.6682666667,22.0501333333
786.84,22.6838,52.6638666667,43.8037333334,43.6778,26.5343333333,18.1974,16.7330666667,24.1286,23.3135333333,41.5506666666,21.4314666667
787.14,22.2439333333,51.9568,42.8506666667,43.503,25.9557333333,18.291,16.249,23.5029333333,22.2178666667,40.8676666667,21.0893333334
787.45,22.9946666667,52.8254666667,43.8281333333,44.0820666667,26.6472,19.2642666667,16.7772666667,23.8346666667,23.0532666667,41.6471333333,21.6992
787.76,22.6149333333,51.7012,42.6465333333,42.9238,25.898,18.7397333333,15.9986666667,23.1883333333,22.5269333333,40.9829333333,20.7876666667
788.07,22.1168666667,51.5260666666,42.5024666667,43.4627333333,25.6114666667,18.8373333333,15.6208,22.8372,21.7251333333,41.1374,20.7519333333
788.38,22.7225333333,52.0619333333,42.6851333333,43.5472666667,26.2140666667,19.3922,16.676,23.7829333333,22.1146,41.6124666667,21.2526
788.69,23.2122,52.5441333333,43.2618666667,43.7899333333,26.7412666667,19.4657333333,16.7815333333,23.8584666667,22.2678,42.3236,21.3854666667
789.00,23.3704,52.3624666667,43.2715333333,43.7849333333,26.4192666667,19.2330666667,16.741,23.7414,22.0842,42.2696666667,21.0018666667
789.31,23.1186666667,52.8282,43.4722,44.4760666667,26.3004666667,19.3119333333,16.5972666667,23.6426666667,22.1211333333,42.3800666667,20.9974666666
789.62,24.0012,52.6933333333,43.2555333333,44.4859333333,26.8904,20.5343333333,17.3158666667,24.5915333333,22.6964666667,42.9140666667,21.951
789.92,25.3879333333,52.7808,44.3389333333,45.4066,28.1316,21.5828,18.8702,25.8970666667,24.1278,43.9294,23.2712666667
790.23,25.4260666667,52.5501333333,44.2293333333,45.4323333333,28.6467333333,21.8671333333,19.1354,25.9084666667,24.7869333333,43.8658666667,24.0225333333
790.54,25.6860666667,52.9101333333,44.891,45.9038,28.8268666667,22.3846666667,19.6154666667,26.6923333333,25.3206,44.3525333333,24.3396
790.85,24.7450666667,52.0456666667,44.1111333333,44.9411333333,28.0522666667,21.4834666667,18.9412,26.1373333333,24.3856666667,43.7254666667,23.4314
791.16,25.1012,53.2792666667,45.0743333333,46.6532666667,29.1362666667,22.1660666667,19.9528,26.6194666667,24.7841333333,44.4131333333,24.4129333333
791.47,25.7076,52.7364,44.7216666667,45.8015333333,29.5639333333,22.475,20.2682666667,26.7538,25.8820666667,44.0307333334,24.8558666667
791.78,25.3237333333,52.2154,44.5467333333,45.5214666667,29.1273333333,22.2904,19.8294,26.2986,25.7124666667,43.8650666667,24.6830666667
792.08,25.3718,52.5412666667,45.0208,45.8816,29.1046,22.6997333333,20.8678,27.1280666667,26.4256666667,44.27,25.2409333333
792.39,25.8708666667,52.9494,45.4518666667,45.8219333333,29.6545333333,23.2668666667,21.3682,27.3228,26.8971333333,44.4746666666,26.0663333333
792.70,25.2713333333,51.7548666667,44.3623333333,44.4396,28.9711333333,21.8676,20.2748,25.9338666667,26.0676,43.6786666667,24.7076
793.01,25.1726666667,52.2662,44.888,45.3146666667,29.0928,21.7075333333,20.5904666667,26.4959333333,26.4532666667,44.3472,24.8238666666
793.32,24.1086,51.4112,44.1015333333,44.18,27.9385333333,21.1217333333,19.4640666667,25.4448666667,25.6162666666,43.9300666667,23.7584
793.62,24.3108666667,51.6864666667,44.1890666667,44.0673333333,27.6118666667,21.1099333333,19.7350666667,25.8144666667,25.2702,43.9384666667,23.6376
793.93,24.2195333333,51.2164,44.3272666667,43.581,27.5421333333,20.1004,18.7872,25.4539333334,25.1954666667,43.5019333333,23.4230666667
794.24,25.9978,52.344,45.8654666667,44.9251333333,29.2580666667,21.8877333333,20.2228,26.7084666667,26.8828,44.6464,25.5242
794.55,25.3140666667,51.2836,44.5824666667,43.6024,28.0400666667,21.2352666667,19.5446,25.7280666667,26.6529333333,43.9131333333,24.5962666666
794.86,26.1339333334,52.4111333333,45.3415333333,44.276,28.7431333333,21.9330666667,19.9112666667,26.4276,27.2745333333,44.3374,25.1980666667
795.16,27.1094666667,52.8246666667,45.1800666667,44.995,29.7192,22.6362666667,21.2222666667,27.1820666667,28.1863333333,44.4994666667,25.8011333333
795.47,27.2298,52.4532,45.2039333333,44.8090666667,29.7477333333,22.8932666667,21.0226,27.0162,27.9999333333,44.1100666667,25.6245333333
795.78,26.539,51.8328,44.6424,44.6870666667,29.4636666667,22.7201333333,20.7535333333,26.7560666667,27.8673333333,43.9208,25.3002
796.09,26.8450666667,52.0416,44.7416666667,44.9754666667,30.2522666667,24.2804666667,21.8142,27.7306,28.5425333333,43.973,26.0024666667
796.40,27.5654,52.3482666667,44.6722,45.0968666667,30.7601333334,24.4074,21.8282666667,27.8484666667,28.7350666667,43.8412,26.1865333333
796.70,27.7560666667,52.5514666667,44.8692666667,45.3185333334,30.9326,24.4875333333,21.8652666667,28.1439333333,28.7658,43.9336,26.2727333333
797.01,28.4022,53.04,45.5607333333,45.854,31.6894666667,24.9923333333,22.3708666667,28.9276,29.9297333333,44.5218,26.7521333333
797.32,29.5506,53.7401333333,46.266,47.0005333334,33.0297333333,26.4116,24.1955333333,29.7996,31.1050666667,45.7498666667,27.6684
797.63,29.4428666667,53.5302666667,45.6448,46.6974,32.5946,26.1312,24.1675333333,29.5537333333,30.711,45.5402,27.2268666667
797.93,29.0542,52.9688666667,45.9441333334,46.2708666667,32.4788,25.435,23.5753333333,29.0291333333,30.3299333333,45.4476,27.0938666667
798.24,29.2768666667,53.2310666667,46.3019333333,47.1017333333,33.0071333333,25.8476666667,24.4146666667,29.4497333333,30.5245333333,46.5068666667,27.5111333333
798.55,28.6642,52.6259333333,46.4308666667,46.7321333333,32.2002,25.4813333333,23.4315333333,28.8408666667,29.9018,46.1755333333,27.4001333333
798.85,27.7607333333,52.7693333334,45.7356666667,46.3202666667,31.8044,24.2065333333,22.5279333333,27.6656666667,29.4394,45.5997333333,26.7617333333
799.16,27.8807333333,52.7297333334,46.0288,46.4540666667,32.0645333333,24.5266666667,22.8188666667,28.1413333333,29.3140666667,45.7202666667,27.044
799.47,28.0538666667,52.3707333333,46.3198666667,46.3906666667,31.9532,23.857,22.3141333333,28.0042,29.6319333333,45.9235333333,27.3106666667
799.78,26.4726666667,51.5444666667,45.7471333334,44.9497333333,31.3218,23.1896,21.6524,26.8535333333,28.7571333333,45.5244,26.3648
800.08,25.5520666667,50.6043333333,44.7194666667,44.2780666667,30.6188,22.4538666667,21.2595333333,26.4133333333,27.6438,44.5893333333,26.1455333333
800.39,25.2505333333,49.3391333333,43.8926,43.6819333333,29.8692666666,22.5779333333,21.2780666667,25.5483333333,26.6811333333,43.9579333333,25.7298
800.70,24.1612,48.395,43.2606666667,42.9048666667,28.8162666667,21.9390666667,20.5084,25.1052666667,25.9914,43.3406,25.1489333333
801.00,23.4320666667,47.6619333333,42.8028,42.4368666667,28.4375333333,21.7784,20.0220666667,25.2250666667,25.8690666667,42.6637333333,24.8591333333
801.31,24.592,48.3569333333,43.4748,43.4242,29.8658,23.4167333333,21.2549333333,26.7538,26.7681333333,43.5182,25.8977333333
801.62,23.6179333333,47.7316,43.2748666667,42.6769333333,29.0226666667,22.2392,20.8752666667,26.5426666667,26.4333333333,42.7426666667,25.0911333333
801.92,23.3442666667,47.0164666667,43.0602666667,42.1784666667,28.969,21.7704666667,21.1294,26.3315333333,26.2586,42.6957333333,24.2842666667
802.23,23.1364,45.9864,42.7998,41.5180666667,28.2420666667,21.7544,20.9954666667,26.0079333333,25.5353333333,41.7544,24.1604666667
802.54,22.5834666666,45.4682666667,41.9734666667,40.6386666667,27.3052666667,21.0978,20.3804,25.2459333333,25.0807333333,40.4521333333,23.3655333333
802.84,21.7800666667,45.0708666667,41.5106666667,40.1418,26.5460666667,20.5744,20.5672666667,24.7446,23.9788666667,39.3404,22.7800666667
803.15,22.5177333333,45.2766,42.0497333334,40.695,26.8582666667,21.071,21.0426,25.1844666667,24.7659333333,38.9007333333,23.2838
803.46,23.3083333334,46.2370666667,43.072,41.2174,27.7908666667,21.8688666667,21.3820666667,25.3276,25.9434,39.3841333333,23.4299333333
803.76,23.7723333333,47.5444666666,43.6706666666,41.7555333333,28.8357333333,21.654,21.7773333333,26.0864,26.4417333334,39.8767333333,23.736
804.07,23.4002666666,47.9167333334,43.5416,41.4805333334,28.7574,20.9301333333,21.2126666667,25.8706,25.8110666667,39.5387333333,23.8242666667
804.38,23.9242,48.2126,43.7903333333,41.6722,29.0003333333,20.6838,21.6648666667,25.656,25.3287333333,39.9032666666,24.1026
804.68,23.0848666667,47.5921333333,43.5666,40.9706,27.9534,19.5108,21.0984666667,24.8006,24.2965333333,38.9766,22.8893333333
804.99,22.0359333333,45.8784666667,42.1890666667,39.8698666667,26.6818666667,18.0788,19.0660666666,22.9775333333,22.633,37.1986666667,21.0944
805.30,21.7096,45.6518666667,41.6081333333,39.7268,25.9406666667,17.3458,17.9702666667,22.2014666667,21.4206666667,36.2918,20.2888666667
805.60,22.2832666667,46.6665333333,42.3786,40.3104,27.0484666667,17.9712,19.0852,23.3175333333,22.2673333334,37.6768666667,20.7558
805.91,22.1798,46.6665333333,42.2355333333,40.2148666667,27.3268666667,17.9634,19.109,23.3572666667,22.3946,38.2895333333,20.6921333333
806.21,21.893,46.9464,41.9753333333,40.4115333333,27.2097333334,17.3664,18.4032,23.2098666667,21.8435333333,38.7736666667,20.1893333333
806.52,20.8883333333,46.4045333333,41.4129333333,39.6277333333,26.5652666667,16.1422,16.8695333333,22.6818666667,20.719,38.8664,18.9594
806.83,21.1760666667,45.9544666667,41.0683333333,39.4865333333,26.6914666667,16.5382666667,18.0371333333,24.0579333333,21.0269333333,39.3540666667,19.528
807.13,19.0463333333,43.7308,39.3058,37.9924,24.4752,14.7636,16.2276,22.1246666667,19.3392,37.7163333333,17.8086666667
807.44,19.196,43.6432666667,39.1038666667,38.1826,24.9498,15.5107333333,16.2227333333,22.5963333333,20.1842666667,37.8476,17.7554666667
807.74,17.7312666667,43.2546666667,38.4380666667,37.2949333333,23.7609333333,13.979,14.5026,22.2426,19.4938666667,37.6002666667,16.0734
808.05,15.6612,42.6901333333,36.7301333333,36.2318666667,22.8352,12.4909333333,12.7354666667,21.3949333333,18.1884,36.8931333333,14.9093333333
808.35,15.7088,44.2067333333,37.3709333333,36.8450666667,23.4271333333,12.9296,13.3520666667,22.2628666667,18.3379333333,37.878,15.6712
808.66,14.5126,44.0988666667,36.8900666667,36.291,23.0622,11.5455333333,12.8578666667,22.3775333333,18.2405333333,37.0995333333,15.5586666667
808.97,14.0665333333,43.1934,35.6101333333,35.8320666667,22.1900666667,10.6415333333,11.452,22.2480666667,17.453,36.3821333334,14.5392
809.27,13.9410666667,44.1454666666,36.1136,35.8545333333,21.9334,10.0148666667,11.6193333333,22.4813333334,17.6283333333,36.3228666667,14.4892666667
809.58,16.2077333333,45.5572,37.8516666667,36.954,24.0744666667,12.2742666667,13.3736666667,23.6610666667,19.879,37.8819333333,16.2178666667
809.88,17.5199333333,46.8274666667,38.9959333333,38.6747333333,25.0602,13.8354,15.2007333333,24.5682666667,21.1043333333,38.5842,17.8614666667
810.19,18.307,48.0020666667,40.1473333333,39.5267333334,25.1524666667,13.4488666667,14.5846,23.9222,21.2302,38.2018666667,17.4553333333
810.49,20.0110666667,50.9829333333,41.9878,40.9115333333,27.0071333333,14.9148666667,15.7386,26.0296,22.6580666667,39.8461333333,19.0005333333
810.80,18.5260666667,50.0000666667,40.5100666667,38.6508,25.1248,13.1406,14.4331333333,23.9,20.2720666667,37.7210666667,16.9388
811.10,20.4138,51.9687333333,42.1029333333,40.2908666667,27.1140666667,15.6264666667,17.2707333333,25.6487333333,22.3826666667,38.7471333333,18.8926
811.41,22.9762,52.3050666667,43.4416,41.3852,27.9978666667,17.7164666667,18.7987333333,26.7748,23.8528666667,38.9394666667,20.3787333333
811.71,24.6426,51.9875333333,43.9124,41.5023333333,29.0454666667,19.2176,20.2608,27.6264,25.7486666667,39.1864,21.2102666667
