wavelength,Back_TanVarf,Belly_TanVarf,Breast_TanVarf,Crissum_TanVarf,Crown_TanVarf,DorTail_TanVarf,Patch10_TanVarf,Patch11_TanVarf,Rump_TanVarf,Throat_TanVarf,WingTip_TanVarf
377.99,11.6951111111,30.7525555555,24.989,28.2045555556,11.1954444445,10.1777777778,8.93177777778,11.5943333333,11.6905555556,24.5043333333,8.01861111111
378.35,11.7888888889,30.7563333333,24.96,28.1963333333,11.225,10.2775555556,9.01944444443,11.6722777778,11.7551111111,24.5103333333,8.09405555556
378.71,11.7826666667,30.7174444444,24.8001111111,28.1756666667,11.163,10.2937777778,9.04166666668,11.6392222222,11.7497777778,24.4763333333,8.08905555555
379.07,11.9161111111,30.7675555555,24.8412222222,28.2645555556,11.2375555556,10.4031111111,9.15933333333,11.7549444444,11.8404444445,24.5781111111,8.18205555555
379.44,11.9112222222,30.6944444444,24.7296666667,28.2468888889,11.2192222222,10.3573333333,9.1521111111,11.7455555555,11.8338888889,24.5324444444,8.16022222222
379.80,11.9165555556,30.7042222222,24.636,28.28,11.142,10.3501111111,9.1768888889,11.7398333333,11.8026666667,24.4896666666,8.15788888889
380.16,11.8422222222,30.6176666667,24.4716666667,28.1694444444,11.0503333333,10.3064444444,9.11088888888,11.733,11.7582222222,24.3903333334,8.13022222222
380.52,11.8677777778,30.5935555556,24.4416666667,28.1386666667,11.0206666667,10.3621111111,9.16544444445,11.7776111111,11.814,24.3804444444,8.14105555556
380.88,11.8336666667,30.5106666667,24.3844444444,28.0907777778,10.9494444444,10.3784444445,9.16077777777,11.7651111111,11.8064444444,24.3403333333,8.12805555555
381.24,11.8026666667,30.4142222222,24.1785555555,27.9855555556,10.8374444444,10.3681111111,9.16966666668,11.6829444445,11.7215555555,24.1827777778,8.07911111111
381.61,11.721,30.304,24.0175555555,27.9446666667,10.7098888889,10.3001111111,9.09544444443,11.614,11.6133333333,24.1251111111,8.01894444445
381.97,11.6201111111,30.1113333333,23.8031111111,27.853,10.6031111111,10.1715555556,8.9691111111,11.4684444444,11.5028888889,23.9624444444,7.91433333333
