wavelength,Back_TanCayf,Belly_TanCayf,Breast_TanCayf,Crissum_TanCayf,Crown_TanCayf,DorTail_TanCayf,Patch10_TanCayf,Patch11_TanCayf,Patch12_TanCayf,Rump_TanCayf,Throat_TanCayf,WingTip_TanCayf
782.81,21.2804166666,41.1886666667,32.0106666667,41.9834166667,38.59665,15.3935833333,16.8591666667,14.0338333333,34.3144583334,27.6593020833,28.7878333333,18.0575833333
783.12,21.8308333333,42.06825,32.298,42.564,39.3423166666,15.895,17.3569166667,14.5708333333,35.0150833333,28.37134375,29.5495,18.4363333333
783.43,22.0499166667,42.53525,32.5223333333,42.7010833333,39.7036,16.32825,17.2221666667,14.68075,35.6194583333,28.73328125,29.8148333333,18.4226666667
783.74,21.887,41.9785833333,32.3465833333,42.004,39.19915,16.1128333334,16.9405,14.5595,35.3992083333,28.46475,29.31,17.9590833334
784.05,21.6565833333,41.7174166667,32.1128333333,41.7175,38.8723166667,15.98,16.9909166667,14.3465,35.1799166667,28.3563020834,28.922,17.76
784.36,22.3303333333,42.5350833333,33.0094166667,42.8265,40.1632333334,16.7120833333,17.7099166667,15.0206666667,36.3756666667,29.1786979167,29.361,18.2738333333
784.67,21.7275,41.7574166667,32.4131666667,42.4183333333,39.65135,16.6925833333,16.96475,14.3728333334,35.8799583333,28.5268020833,28.7779166667,17.872
784.98,22.0011666667,41.9423333333,32.5329166667,42.4474166667,39.8872166666,16.5486666667,17.1389166667,14.0944166666,36.3221666666,28.73940625,29.05525,17.89375
785.29,22.39375,42.7356666667,33.1815,43.0060833333,40.98715,17.0955,17.5244166666,14.6145833333,36.8700416667,29.5096458333,29.8823333333,18.415
785.60,21.7765833334,42.6165833333,32.8813333333,42.5119166667,40.8305833333,16.942,17.0006666666,14.3343333334,36.44525,29.16746875,29.4615,18.2126666666
785.91,21.581,43.2410833334,33.33325,42.8393333333,41.1448,16.9235,17.0881666667,14.73,36.7885416667,29.54953125,29.2293333333,18.2410833333
786.22,21.5205,43.7649166667,33.4265,43.13425,41.2006,16.38125,16.7,14.5619166666,36.998625,29.4340625,29.057,17.8751666667
786.53,20.6280833333,43.0048333333,33.022,42.932,40.5220166667,15.4611666666,15.7791666667,13.6061666667,36.6022916667,28.6332083334,28.28575,17.2496666667
786.84,20.461,42.594,32.8239166667,43.0446666667,40.53695,14.9621666667,15.7458333333,13.3946666667,36.161125,28.5748333333,28.2000833333,17.2476666667
787.14,20.6706666667,43.27475,33.1705833334,43.9386666667,41.4608833333,15.1691666666,16.2565,13.7435,36.8227916666,29.3425104167,29.0364166666,17.6628333334
787.45,20.46475,43.6375,33.3855833333,44.3355833334,41.6848666667,14.9960833333,15.9293333333,13.593,36.938625,29.7719479166,29.4245,17.5998333333
787.76,20.1799166667,43.5235,32.7705833333,43.9376666667,41.2279666667,14.6028333334,15.35325,12.9140833333,36.536125,29.3527291667,29.21825,17.2035833333
