wavelength,Back_OryMaxf,Belly_OryMaxf,Breast_OryMaxf,Crissum_OryMaxf,Crown_OryMaxf,DorTail_OryMaxf,Rump_OryMaxf,Throat_OryMaxf,WingTip_OryMaxf
248.29,6.13933333334,5.40033333334,5.59916666666,5.44566666666,4.9795,8.18566666667,6.34366666667,6.75316666666,8.66308333333
248.67,4.48533333334,3.92916666667,3.79,3.80166666666,3.0135,6.72216666667,4.775,5.308,7.13958333334
249.04,4.00816666666,3.4935,4.01391666666,4.01983333333,3.08666666667,6.87966666666,5.01316666667,5.40783333333,6.83208333333
249.42,3.96066666667,3.823,4.54766666667,4.17266666667,3.59816666667,6.9465,5.3845,5.53466666667,7.02766666667
249.79,3.76483333333,3.16183333333,3.73783333333,3.6175,2.599,5.9485,4.24683333333,4.72933333333,6.55166666666
250.17,3.395,1.94,3.3655,3.1305,2.02833333333,5.27633333333,3.27733333333,3.498,5.71008333333
250.54,3.78783333334,2.13383333333,3.81083333334,3.40116666667,2.36533333334,5.27216666667,3.1385,3.571,5.77441666667
250.92,5.04416666667,2.4815,4.3505,4.08116666667,3.59083333333,5.40316666667,3.33,5.0115,6.26825
251.29,5.102,2.17716666667,4.22625,4.0135,3.21433333333,5.32316666667,3.06116666667,5.11916666667,5.72266666666
251.66,4.74666666666,1.98066666667,4.4165,3.90783333334,2.87283333333,4.37183333334,3.15833333333,4.925,5.46041666667
252.04,4.28016666667,1.95883333333,4.52491666666,3.31883333333,2.44833333333,4.66083333333,3.71766666667,4.933,5.30466666666
252.41,3.262,0.7875,3.59,2.7745,1.34966666667,4.10583333334,3.01833333333,4.387,4.83691666667
252.79,4.3355,1.72683333333,4.72958333334,3.58483333333,2.1585,5.21783333333,4.54216666667,5.08616666667,5.64916666666
253.16,3.61266666667,0.669,3.40216666666,2.7525,0.057166666667,3.59316666666,3.66966666666,4.1095,4.74025
253.54,3.537,0.518833333332,2.70083333333,3.19116666667,-0.499833333333,3.32566666667,3.63316666666,3.97933333333,4.55591666667
253.91,4.25766666667,2.05216666667,3.55783333334,4.699,0.613666666667,4.77566666667,5.4275,5.38916666666,5.63858333333
254.28,4.40766666666,2.8925,3.886,5.667,1.00366666667,5.07666666667,6.23766666667,6.57216666668,6.27708333333
254.66,2.6675,1.24083333333,2.3055,4.56966666667,-0.186333333333,4.053,5.27283333333,5.87266666668,5.71758333333
255.03,0.863333333332,0.464666666667,0.708166666665,3.7185,-2.01433333333,3.05433333333,5.33416666667,3.7405,4.55958333334
255.41,0.705,1.10516666667,0.893333333335,4.11366666666,-1.48116666667,2.53866666667,6.79366666668,3.07966666667,4.46633333334
255.78,1.24516666666,1.317,0.10775,4.837,-1.14933333333,3.56816666667,7.20766666665,3.18499999999,5.30425
