wavelength,Back_ChlPhom,Belly_ChlPhom,Breast_ChlPhom,Crissum_ChlPhom,Crown_ChlPhom,DorTail_ChlPhom,Patch10_ChlPhom,Patch11_ChlPhom,Patch12_ChlPhom,Rump_ChlPhom,Throat_ChlPhom,WingTip_ChlPhom
364.93,3.03188888889,4.52377777778,4.45255555556,4.61577777778,1.75111111111,4.93211111111,57.8434444444,49.2597777778,4.01433333333,8.1905308642,4.31388888889,5.83044444445
365.29,2.90877777778,4.42311111111,4.40988888889,4.50755555555,1.64611111111,4.78566666667,57.976,49.2657777778,3.90333333333,8.12274074073,4.17644444444,5.76322222222
365.66,2.82911111111,4.34822222222,4.35211111111,4.43488888889,1.54833333333,4.63044444444,57.9995555556,49.2696666667,3.81244444444,8.05592592592,4.16577777778,5.63688888889
366.02,2.91144444444,4.46277777778,4.44288888889,4.56455555556,1.68244444445,4.66222222222,58.1138888889,49.3367777778,3.85966666667,8.12851851852,4.20088888889,5.74955555556
366.38,2.92633333333,4.48722222222,4.50733333333,4.52877777778,1.75922222222,4.69455555555,58.0467777778,49.3227777778,3.87811111111,8.0591111111,4.21422222222,5.75777777778
366.75,3.01533333333,4.65977777778,4.66366666667,4.63033333333,1.95533333333,4.88733333333,58.1501111111,49.3963333333,4.00177777778,8.16266666667,4.38233333333,5.96755555556
367.11,3.121,4.75288888889,4.777,4.734,2.05722222222,4.97277777778,58.1802222222,49.4574444444,4.08088888889,8.20029629629,4.49533333333,6.02833333333
367.47,3.17433333333,4.83533333333,4.90511111111,4.80711111111,2.152,5.03577777778,58.4084444444,49.5688888889,4.13588888889,8.26766666666,4.56888888889,6.12377777778
367.84,3.15755555556,4.86855555556,4.96822222222,4.84977777778,2.21522222222,5.09111111111,58.4137777778,49.5328888889,4.17288888889,8.27558024692,4.62855555556,6.15066666667
368.20,3.16988888889,4.84133333333,4.952,4.89255555555,2.29455555556,5.12855555556,58.4964444445,49.5717777778,4.20588888889,8.29523456789,4.64566666666,6.19433333333
368.56,3.26288888889,4.94811111111,5.075,5.02111111111,2.42822222222,5.23933333333,58.5487777778,49.6434444445,4.31044444444,8.33175308643,4.73244444445,6.28144444444
368.93,3.23133333333,4.828,5.02522222222,4.97255555556,2.36344444445,5.19255555556,58.567,49.7866666667,4.28688888889,8.28074074073,4.62833333333,6.21166666667
369.29,3.35477777778,4.85322222222,5.065,5.045,2.47022222222,5.32244444444,58.6303333333,49.8553333333,4.36677777778,8.33449382714,4.74866666667,6.25122222222
369.65,3.37988888889,4.85288888889,5.07566666667,4.98244444444,2.562,5.38533333333,58.8313333333,50.0005555555,4.40344444444,8.35014814816,4.68355555556,6.31955555556
370.01,3.41311111111,4.821,5.06377777778,4.91788888889,2.55977777778,5.39577777778,58.9116666667,50.0922222222,4.41366666667,8.34437037038,4.64188888889,6.36955555556
370.38,3.42822222222,4.79288888889,5.02322222222,4.92466666667,2.55033333333,5.43122222222,59.1035555556,50.2204444444,4.39955555556,8.40419753088,4.65077777778,6.38655555555
370.74,3.237,4.51122222222,4.76622222222,4.72044444444,2.31688888889,5.19766666666,59.1404444444,50.1855555556,4.23955555555,8.20149382717,4.38066666667,6.20233333333
371.10,3.02888888889,4.29277777778,4.53922222222,4.51444444445,2.11311111111,5.054,59.0541111111,50.129,4.06433333333,8.03975308643,4.17988888889,6.07777777778
371.46,2.79811111111,4.10711111111,4.35633333333,4.29844444444,1.90255555556,4.84055555555,58.8648888889,49.8707777778,3.89755555556,7.77654320989,4.01577777778,5.84888888889
371.83,2.70711111111,3.98511111111,4.22633333333,4.16377777778,1.803,4.71033333333,58.8933333333,49.8786666667,3.80355555556,7.69680246913,3.93122222222,5.84177777778
372.19,2.75788888889,4.00677777778,4.24066666667,4.11988888889,1.79633333333,4.74266666667,58.9501111111,49.9695555555,3.84811111111,7.74016049383,3.93955555556,5.811
372.55,2.65322222222,3.868,4.04277777778,3.90211111111,1.66944444444,4.65188888889,58.8294444445,49.8652222222,3.73744444445,7.64854320987,3.78933333333,5.68922222222
372.92,2.62288888889,3.875,3.967,3.87111111111,1.72666666667,4.64,58.9066666667,49.8391111111,3.72066666667,7.65823456791,3.78533333333,5.71888888889
373.28,2.42477777778,3.718,3.786,3.66633333333,1.62577777778,4.49811111111,58.7482222222,49.661,3.58444444444,7.51761728395,3.59577777778,5.69666666667
373.64,2.44166666667,3.68177777778,3.67544444444,3.67044444445,1.63122222222,4.47844444444,58.8151111111,49.6514444444,3.58088888889,7.49718518518,3.59233333333,5.70255555556
374.00,2.28622222222,3.50588888889,3.44433333333,3.458,1.514,4.34455555555,58.6991111111,49.5761111111,3.43922222222,7.29116049383,3.42788888889,5.54411111111
374.37,2.19088888889,3.36266666667,3.31144444444,3.32766666667,1.43133333333,4.22244444444,58.5961111111,49.4603333333,3.38544444444,7.17155555554,3.30877777778,5.43466666667
374.73,2.26555555555,3.42322222222,3.31044444444,3.32266666667,1.512,4.26966666667,58.4161111111,49.3548888889,3.43322222222,7.17981481482,3.36866666667,5.47444444445
375.09,2.31144444444,3.46355555556,3.33411111111,3.285,1.618,4.28788888889,58.4871111111,49.306,3.42588888889,7.22679012347,3.37555555555,5.53911111111
375.45,2.30333333334,3.47233333333,3.27511111111,3.22688888889,1.613,4.26733333333,58.512,49.323,3.381,7.26123456789,3.29322222222,5.58455555556
375.81,2.30044444444,3.40766666666,3.17788888889,3.17544444444,1.60466666667,4.23555555555,58.4774444445,49.2141111111,3.38166666667,7.23697530865,3.20966666667,5.59022222222
376.18,2.25433333334,3.36077777778,3.08433333334,3.10511111111,1.585,4.126,58.4885555556,49.203,3.29255555556,7.12732098767,3.15244444444,5.61844444445
376.54,2.13911111111,3.26133333333,2.97255555556,3.028,1.48466666667,4.02455555556,58.4556666667,49.0353333333,3.18322222222,7.02561728397,3.06555555555,5.54633333333
376.90,2.158,3.28311111111,3.01255555556,3.059,1.50355555555,4.06311111111,58.4514444444,48.9803333334,3.22111111111,7.09079012344,3.04344444444,5.601
