wavelength,Back_TanPerf,Belly_TanPerf,Breast_TanPerf,Crissum_TanPerf,Crown_TanPerf,DorTail_TanPerf,Patch10_TanPerf,Patch11_TanPerf,Rump_TanPerf,Throat_TanPerf,WingTip_TanPerf
362.75,5.93766666667,19.9126666667,12.996,5.8445,3.70766666667,4.504,6.33266666667,4.38633333333,6.22246666667,17.3906666667,5.703
363.11,5.855,19.8243333333,12.8026666667,5.7675,3.65766666667,4.284,6.09866666667,4.28133333333,6.1056,17.247,5.585
363.48,5.90366666667,19.9573333333,12.8643333333,5.8435,3.64266666667,4.155,6.04833333333,4.32933333333,6.1198,17.314,5.577
363.84,5.95233333333,20.0236666667,13.0093333333,5.9015,3.726,4.179,6.108,4.32966666667,6.19346666667,17.403,5.6765
364.20,6.01466666667,20.158,13.079,6.0335,3.84166666667,4.287,6.25433333333,4.35533333333,6.31066666667,17.6053333333,5.851
364.57,6.081,20.3006666667,13.2163333333,6.189,3.94233333333,4.376,6.39466666667,4.42666666667,6.46586666667,17.7126666667,6.004
364.93,6.19466666667,20.374,13.2826666667,6.3035,4.09666666667,4.545,6.55333333333,4.61533333333,6.6648,17.895,6.169
365.29,6.38066666667,20.572,13.3546666667,6.452,4.295,4.642,6.75366666667,4.75866666667,6.8834,18.0936666667,6.442
365.66,6.52266666667,20.7023333333,13.544,6.55,4.494,4.941,6.90733333333,4.931,7.04046666667,18.1913333333,6.5895
366.02,6.416,20.705,13.6456666667,6.4735,4.40433333333,4.923,6.85233333333,4.91633333333,6.95613333333,18.0236666667,6.621
366.38,6.456,20.7973333333,13.7276666667,6.476,4.39633333333,4.971,6.88166666667,4.88833333333,7.0048,18.1603333333,6.5695
366.75,6.49233333333,20.7653333333,13.7246666667,6.3915,4.40966666667,4.998,6.859,4.95833333333,6.98713333333,18.1213333333,6.555
367.11,6.58233333333,20.876,13.9383333333,6.4515,4.43033333333,5.081,7.04733333333,5.08433333333,7.0908,18.2556666667,6.5555
367.47,6.654,20.8946666667,13.9786666667,6.4465,4.54,5.187,7.07233333333,5.12066666667,7.18106666667,18.263,6.686
367.84,6.66333333333,20.977,13.9516666667,6.4355,4.54966666667,5.125,7.08866666667,5.22766666667,7.2554,18.4713333333,6.68
368.20,6.55466666667,20.959,13.9003333333,6.2255,4.35066666667,4.988,6.92833333333,5.212,7.1296,18.4146666667,6.481
368.56,6.35866666667,20.874,13.7753333333,6.027,4.09833333333,4.902,6.66366666667,4.959,6.9078,18.212,6.233
368.93,6.177,20.718,13.585,5.843,3.855,4.67,6.40833333333,4.71366666667,6.6572,18.0743333333,5.9035
369.29,5.96466666667,20.5833333333,13.4943333333,5.7695,3.613,4.474,6.15833333333,4.48666666667,6.41066666667,17.981,5.5645
369.65,5.89766666667,20.6333333333,13.568,5.643,3.51933333333,4.441,6.01066666667,4.40433333333,6.30286666667,17.9286666667,5.4085
370.01,6.03433333333,20.7956666667,13.6543333333,5.73,3.63833333333,4.689,6.11666666667,4.504,6.40213333333,18.0296666667,5.408
370.38,6.22166666667,20.9,13.7863333333,5.7495,3.74766666667,4.774,6.202,4.59433333333,6.442,18.1156666667,5.4555
370.74,6.18233333333,21.014,13.8266666667,5.7775,3.65033333333,4.882,6.205,4.552,6.4302,18.1156666667,5.495
371.10,6.30466666667,21.229,13.98,5.9395,3.79,5.097,6.23066666667,4.59933333333,6.52553333333,18.2546666667,5.665
371.46,6.335,21.346,14.0956666667,5.9475,3.83066666667,5.139,6.32533333333,4.64733333333,6.49093333333,18.354,5.6695
371.83,6.369,21.44,14.0906666667,5.9245,3.85133333333,5.162,6.261,4.59733333333,6.45006666667,18.3953333333,5.615
