wavelength,Back_TanFucf,Belly_TanFucf,Breast_TanFucf,Crissum_TanFucf,Crown_TanFucf,DorTail_TanFucf,Patch10_TanFucf,Patch11_TanFucf,Patch12_TanFucf,Patch13_TanFucf,Rump_TanFucf,Throat_TanFucf,WingTip_TanFucf
795.16,18.9381111111,48.3216666667,20.6895555556,49.4161111111,26.6922222222,19.0382521368,15.3712222222,20.781,18.7831111111,25.9623333333,25.8893333333,18.8924444444,20.124
795.47,18.8254444444,48.863,20.9243333333,49.9494444445,27.0644444445,18.9701880342,15.447,20.9242222222,18.7056666667,26.0148888889,26.1253333333,19.0646666667,20.0312222222
795.78,19.2137777778,49.4087777778,21.3652222222,50.3864444444,27.3725555555,19.4529487179,15.6095555556,20.9274444444,18.7016666667,26.4597777778,26.3668888889,19.3535555556,20.164
796.09,19.5752222222,50.477,21.6796666667,51.4872222222,27.7872222222,19.8877008547,16.0026666667,21.1934444445,18.7804444444,26.4964444444,26.6927777778,19.6502222222,20.548
796.40,19.9113333333,51.028,21.826,52.028,27.7401111111,19.8615384616,15.714,21.185,18.9492222222,26.5138888889,26.8252222222,19.4867777778,20.7412222222
796.70,20.7037777778,51.2071111111,21.9203333334,52.5373333333,27.6553333333,20.2363162393,15.9971111111,21.4488888889,19.4396666667,27.0703333333,27.7872222222,19.3926666667,20.7978888889
797.01,21.086,51.5405555555,21.943,53.4853333333,27.7008888889,20.7384957265,16.0022222222,21.7698888889,19.2566666667,27.5948888889,28.3938888889,19.4974444445,20.6818888889
797.32,20.7138888889,51.6315555556,21.6897777778,53.8696666666,27.0924444445,20.5583461538,15.4784444444,21.5023333333,18.456,27.6348888889,28.2558888889,18.9687777778,19.9546666667
797.63,20.4083333333,51.0455555556,21.6176666667,53.8211111111,26.7815555556,20.7592991453,15.1351111111,21.35,18.3862222222,27.525,28.2684444445,19.1197777778,19.5361111111
797.93,19.4746666667,50.2314444445,20.7426666667,52.5564444444,25.9258888889,20.0118461539,14.1907777778,20.1287777778,17.2906666667,26.7411111111,27.506,18.2165555556,18.9413333333
798.24,18.6532222222,49.3827777778,19.9607777778,51.8206666667,24.8988888889,18.9237478632,13.0095555556,19.2238888889,16.0908888889,25.677,26.6001111111,16.8482222222,17.9064444444
798.55,18.28,48.1378888889,19.1306666667,50.5343333333,24.152,18.0082051282,12.9681111111,18.5602222222,14.8977777778,24.6705555556,25.6873333333,15.8937777778,16.6925555556
798.85,17.6444444444,47.9332222222,18.617,50.0897777778,23.2583333333,17.242482906,12.2001111111,17.7821111111,13.9444444444,24.0934444444,25.0133333333,15.0966666667,15.6571111111
