wavelength,Back_SalRufm,Belly_SalRufm,Breast_SalRufm,Crissum_SalRufm,Crown_SalRufm,DorTail_SalRufm,Patch10_SalRufm,Rump_SalRufm,Throat_SalRufm,WingTip_SalRufm
228.39,-4.19500000001,-1.474,-4.98883333335,-22.1091666667,-16.8935,6.23599999998,-5.78233333332,-8.65447222222,-10.48775,8.04983333335
228.76,-4.21683333335,-0.20066666667,-5.8735,-19.4778333333,-12.0481666667,9.03616666667,-4.518,-6.22488888889,-9.33725,11.3455
229.14,-1.468,-0.518166666665,-2.24525,-12.7806666667,-5.95849999998,9.67166666669,-2.15866666667,-2.69127777778,-5.48358333335,12.608
229.52,0.94333333335,-0.55016666667,8.33333349999e-05,-8.56899999998,-2.59433333332,11.9498333333,0.47183333333,-2.77777785e-05,-2.63358333335,13.915
229.89,4.0985,2.254,1.537,-3.27883333333,1.6395,14.686,4.9865,5.39619444444,1.53691666667,15.4373333333
230.27,4.36949999998,2.55933333333,2.46575,-1.81016666667,2.49683333334,16.1673333334,5.36833333334,6.88744444445,5.21216666666,13.2958333333
230.65,8.0,5.81816666667,5.48475,-0.848666666666,4.606,18.424,7.394,9.06069444444,7.90908333333,16.1211666667
231.02,7.08333333334,4.28566666666,6.30966666667,-1.13083333333,2.97616666666,17.2618333333,7.73816666667,8.00602777778,7.143,16.6071666667
231.40,5.81833333333,4.0,6.12141666667,-0.788,4.12133333333,16.6665,7.45449999998,7.22230555555,6.78808333333,14.9088333333
231.78,6.75016666669,6.63083333334,8.51233333334,2.80766666666,5.675,19.4145,9.91633333335,9.79686111111,8.72166666666,16.5471666666
232.15,5.119,5.0,6.36891666667,-0.1785,3.988,16.4881666667,6.42866666668,7.66869444445,8.48208333333,13.0358333333
232.53,9.03966666665,9.20899999999,11.0735,5.59333333333,7.45733333333,19.0961666666,11.1863333333,11.1203333334,9.49133333333,16.158
232.90,8.30416666667,8.13016666668,10.22075,4.99433333333,4.99416666668,18.3508333333,9.69800000001,8.1590277778,7.83966666666,13.589
233.28,3.58016666666,5.24683333333,3.24083333333,1.23466666667,-1.11083333334,15.6173333333,5.55566666667,4.16675,5.52483333333,8.27150000002
233.66,4.03633333334,6.185,2.60425,0.260666666667,-3.64566666666,15.56,3.71100000001,3.76511111111,6.28266666666,7.422
234.03,2.24083333333,3.92183333333,0.700583333335,-1.75066666667,-6.51283333335,13.2353333333,-0.560166666665,-0.221666666665,5.11216666667,5.04200000001
234.41,6.83066666666,7.787,3.48358333333,-0.409833333335,-1.91233333333,14.6855,3.75666666665,2.9823888889,7.03516666666,9.08449999998
234.78,6.70650000001,8.69866666665,3.51916666667,1.59366666666,-0.2655,12.6161666666,6.24166666669,5.40052777779,6.50716666667,10.4915
235.16,9.41766666666,10.4708333333,5.39016666666,4.275,4.647,13.4446666667,8.3645,7.40416666669,6.10266666666,11.0905
235.54,10.5903333333,11.2266666667,5.87375,5.61333333334,6.655,14.9883333333,10.5901666666,8.80588888887,7.40725,13.7155
235.91,10.9235,14.0763333333,6.16525,6.30616666667,9.85366666665,16.4976666666,11.4865,8.50219444443,11.0079166667,16.2161666667
236.29,10.3603333333,14.7523333334,5.99658333333,6.58766666667,10.4166666667,17.6238333333,12.6123333333,8.7555,11.4865,18.6373333333
236.66,4.96966666666,9.45466666665,-1.0305,0.727333333335,4.84866666667,13.0301666667,7.87883333332,5.21238888889,7.0605,14.3635
237.04,2.972,7.05116666667,-4.19583333333,-0.408,3.43816666666,10.14,6.76,4.72041666669,6.06083333334,13.0536666666
237.41,5.86933333333,9.63450000002,-0.41525,1.60583333333,6.589,10.6868333333,8.58249999999,6.93047222222,6.67216666666,16.4453333333
237.79,4.41966666666,9.1585,-0.745333333335,2.87533333333,6.60283333333,9.31849999999,7.34816666667,5.91050000002,5.51125,15.868
238.17,2.76933333333,8.61550000002,-0.128416666665,1.94883333333,5.28183333334,8.41033333334,5.94866666666,4.78633333335,3.795,15.7946666667
238.54,-0.403,5.841,-0.78025,1.30933333333,2.3665,7.75433333333,3.17216666667,2.33280555555,0.654583333334,13.9475
238.92,0.72866666667,6.19316666667,0.500916666665,1.9125,3.09666666667,9.28949999999,2.778,2.46669444444,0.432833333333,13.0693333333
239.29,1.39983333333,7.30533333335,1.50933333333,3.28083333333,2.056,10.8486666667,3.762,4.09730555555,2.12125,13.8233333333
239.67,1.49016666667,6.745,2.647,3.33316666666,0.117666666665,10.2745,2.66666666667,3.66677777778,1.78441666667,12.9411666667
240.04,-0.493333333333,2.81883333333,1.022,1.58583333333,-1.90283333333,8.069,-0.0353333333335,1.19205555556,-1.84966666667,9.58416666667
240.42,-0.744833333332,0.90033333333,0.605083333335,0.806999999999,-2.82433333333,7.10733333333,-0.961999999998,0.232944444445,-3.08816666667,7.79
240.79,2.1775,2.95483333333,3.33075,2.0735,0.4665,9.22749999998,0.985166666665,1.56833333333,-0.51825,8.89066666669
241.17,4.5065,4.7555,5.07266666667,4.30266666667,2.60416666667,11.345,2.73983333334,3.0305,2.29841666667,10.5525
241.54,4.39766666667,4.39766666667,5.12058333334,3.8755,2.83116666667,11.8473333334,3.21283333333,2.98183333334,2.81141666667,10.3613333333
241.92,3.79633333333,3.57916666666,4.36566666666,3.36233333334,2.657,11.569,3.28983333334,2.75066666666,2.39508333334,9.79766666669
242.29,4.834,3.9065,4.46758333333,3.6135,3.25516666667,12.1258333333,3.93883333333,3.55905555556,2.63691666666,9.87966666665
242.67,5.746,4.79833333334,5.61808333333,4.49733333333,4.1215,12.4396666667,5.09933333334,4.69066666666,3.91083333334,10.5748333333
243.05,6.01333333333,4.6545,5.78208333333,4.75583333333,4.40866666667,12.1421666667,5.6665,4.9775,4.49566666666,10.9281666667
243.42,5.34083333333,4.13516666667,5.06041666667,3.89683333334,3.967,11.0596666667,5.06033333334,4.33844444444,3.988,10.415
243.80,5.24566666666,3.96883333333,4.62808333334,3.6775,4.01066666667,10.5468333333,5.20416666666,4.48475,4.05916666666,10.1165
244.17,5.37933333334,4.11933333333,4.70183333333,3.60416666666,4.36316666667,9.94583333333,5.637,4.79447222222,4.397,10.2436666667
244.55,5.17966666667,3.89466666666,4.64191666667,3.6325,4.53716666666,9.769,6.05833333333,5.19711111111,4.68116666666,10.0445
244.92,4.59683333334,3.16516666666,4.24508333333,3.29066666667,4.14483333333,9.29416666666,5.8655,5.08030555556,4.36441666666,9.39483333334
245.30,4.1755,3.324,4.35041666666,3.02083333333,4.37383333333,9.08583333333,5.9715,5.24058333333,3.93075,9.16716666667
245.67,3.86533333334,2.98233333334,4.44658333333,3.02533333333,4.25283333333,8.69966666666,5.56633333333,5.11955555556,3.53683333334,8.88249999999
246.05,4.15433333333,3.22366666667,4.718,3.20416666666,4.42883333333,8.73033333334,5.62416666667,5.13580555555,3.57633333333,8.583
246.42,4.34033333333,3.56416666667,5.05775,3.51933333333,4.584,8.97866666666,6.145,5.65475,3.993,8.97866666665
246.79,4.04383333333,3.428,4.356,2.89566666666,4.36866666666,8.895,5.8745,5.471,3.69866666666,8.53733333332
247.17,3.715,3.341,4.07341666667,2.77266666666,4.43933333334,9.09666666667,5.83333333334,5.55436111111,3.5475,8.46566666665
247.54,3.87866666667,3.20233333333,4.24275,2.80883333333,4.51783333333,9.25066666667,5.8105,5.59127777778,3.70025,8.62683333334
247.92,3.77066666666,3.02516666667,4.11125,2.62366666667,4.35833333333,9.2185,5.60566666667,5.39069444444,3.58791666666,8.59483333335
248.29,3.50483333334,2.464,3.85525,2.25883333333,3.90816666667,9.10516666667,5.32433333333,5.09666666667,3.21083333333,8.31916666665
248.67,3.2775,2.34233333334,3.77008333334,2.01366666667,3.699,9.02583333334,4.9845,4.656,2.87083333333,8.0905
249.04,2.982,2.13316666667,3.46541666666,1.742,3.42466666667,8.76866666666,4.65016666667,4.28733333333,2.60933333333,7.87566666666
249.42,2.21966666666,1.145,2.64316666666,0.627666666665,2.29016666666,7.87433333334,3.70183333334,3.52016666667,1.68616666667,7.0195
249.79,1.82283333333,0.936666666669,2.12233333333,0.135000000001,1.78916666667,7.443,3.66266666666,3.34475,1.5485,6.7005
250.17,1.42616666666,0.717666666667,1.6485,-0.245333333332,1.56216666667,7.05716666667,3.5785,3.094,1.63008333333,6.73933333333
250.54,0.497833333333,-0.127,0.73725,-0.790833333331,1.2205,6.21,2.82183333333,2.10419444444,1.00558333333,6.14133333333
250.92,0.383333333333,-0.4145,0.797583333334,-0.683833333334,1.21183333333,6.2045,2.75516666667,1.77133333333,0.79775,6.36016666667
251.29,0.4905,-0.970166666668,0.7305,-0.883,0.566666666667,5.6465,2.1475,1.13025,0.0165833333335,6.0385
251.66,0.314333333333,-0.595,0.80825,-0.785333333332,0.5275,5.62266666667,2.03133333333,1.08305555555,0.23,5.8025
252.04,0.4255,-0.137833333334,0.988333333334,-0.712666666667,0.804666666665,5.89633333333,2.023,1.03622222222,0.183833333333,6.02316666667
252.41,0.709333333334,0.756166666667,1.47708333333,-0.128,1.3025,6.25716666667,2.5355,1.67866666667,0.820083333334,6.60633333333
252.79,1.67383333333,1.87266666667,1.91358333334,0.807500000001,2.259,7.03416666667,3.16,2.48913888889,1.76716666667,7.64266666667
253.16,2.014,1.95533333334,1.91991666667,1.319,2.54416666667,7.49116666667,3.60416666666,2.80516666666,1.89633333333,7.868
253.54,2.72883333334,2.55216666666,2.65841666666,2.6345,3.50516666667,8.58616666667,4.23433333333,3.16205555555,2.54041666667,8.51549999998
253.91,4.02216666667,3.24383333334,3.66233333333,3.62116666667,4.553,9.625,4.9895,4.09694444445,3.44416666666,9.20016666665
254.28,4.11233333334,3.31416666666,3.94291666666,3.78583333333,4.55983333333,9.84533333335,4.9225,4.17677777778,2.975,8.93799999998
