wavelength,Back_DigBarf,Belly_DigBarf,Breast_DigBarf,Crissum_DigBarf,Crown_DigBarf,DorTail_DigBarf,Rump_DigBarf,Throat_DigBarf,WingTip_DigBarf
738.96,16.2883333333,41.2282222222,33.9546666666,28.3462222222,14.0485555555,17.4845555556,17.0153333333,23.5323333333,16.466
739.28,16.5481111111,41.068,34.1203333333,28.6071111111,14.2336666667,17.6185555556,17.2761111111,23.8597777778,16.5566666667
739.59,16.8117777778,41.5278888889,34.5973333333,29.0973333333,14.7024444444,18.2423333333,17.8154444445,24.4726666667,16.8416666666
739.91,16.4634444444,41.252,34.5515555556,29.0998888889,14.5414444444,18.0663333333,17.6518888889,24.3304444444,16.6104444444
740.23,16.14,41.3418888889,34.4478888889,29.0284444445,14.2836666667,17.8865555556,17.5837777778,24.3593333333,16.3815555556
740.54,16.3088888889,41.2396666666,34.4834444444,29.3208888889,14.5925555556,18.1877777778,17.9507777778,24.505,16.8885555556
740.86,16.4944444444,41.3533333333,34.3977777778,29.4957777778,14.9708888889,18.3492222222,18.1637777778,24.9162222222,17.2364444444
741.18,16.5552222222,41.5842222222,34.904,29.9687777778,15.3324444444,18.755,18.4336666666,25.1183333333,17.5634444444
741.49,16.991,41.9943333333,35.3115555555,30.5067777778,15.8296666667,19.2912222222,18.7831111111,25.3483333333,17.9892222222
741.81,17.507,42.3121111111,35.67,30.9048888889,16.3544444444,19.6982222222,19.106,25.7434444444,18.4135555556
742.12,17.4243333334,41.9264444444,35.2012222222,30.7603333333,16.3622222222,19.5851111111,19.013,25.651,18.253
742.44,17.2306666667,41.5034444444,34.7408888889,30.4577777778,15.9674444444,19.0391111111,18.5123333333,25.2005555556,17.7478888889
742.76,16.7744444444,41.409,34.3967777778,30.1994444444,15.8797777778,18.8307777778,17.9828888889,25.0,17.6503333333
743.07,16.8306666667,41.1064444444,34.2754444445,30.3844444444,15.8744444445,18.6123333333,17.97,24.6743333333,17.7871111111
743.39,17.1583333333,41.3002222222,34.6145555556,30.5767777778,16.0945555556,18.8983333333,18.0566666667,24.8085555556,18.1041111111
743.70,17.3268888889,41.1076666667,34.6965555556,30.8833333333,16.3068888889,19.224,18.1134444444,24.8294444444,18.3134444444
744.02,16.7775555555,40.6683333333,34.4327777778,30.5846666667,16.0107777778,19.0152222222,17.5298888889,24.4694444444,17.7566666667
744.34,16.6741111111,40.524,34.4673333334,30.7325555556,15.9113333333,18.9863333333,17.3436666667,24.0651111111,17.5881111111
744.65,16.4957777778,40.121,33.854,30.6757777778,15.6576666667,18.5184444444,16.9963333333,23.8832222222,17.2244444444
744.97,16.2585555556,39.7274444445,33.9342222222,30.484,15.2218888889,18.0311111111,16.604,23.5592222222,16.8893333333
745.28,15.8881111111,39.2743333333,33.8018888889,30.4711111111,14.9761111111,17.7425555555,16.4624444444,23.4264444444,16.6641111111
745.60,15.6093333333,38.9675555556,33.389,30.1992222222,14.7524444444,17.4096666667,16.025,23.2467777778,16.3701111111
745.91,15.423,39.0622222222,33.5677777778,30.4535555556,14.7502222222,17.6502222222,16.1315555556,23.5168888889,16.8298888889
746.23,16.0436666667,39.1594444444,33.7723333333,30.8263333333,15.0276666667,17.8922222222,16.478,23.8204444444,16.9575555556
746.55,16.3015555556,39.1614444444,33.9043333334,30.9363333333,15.1492222222,18.1017777778,16.4864444444,24.0381111111,16.9083333333
746.86,16.489,39.0158888889,33.831,30.977,15.3768888889,18.2917777778,16.6311111111,24.0504444445,17.0525555556
747.18,17.1432222222,39.5925555555,34.3723333333,31.5277777778,15.8168888889,18.5503333333,17.3448888889,24.5775555555,17.6325555556
747.49,17.6354444445,39.8273333333,34.7462222222,31.8095555556,15.8995555555,18.5942222222,17.7616666667,24.8358888889,17.787
747.81,17.6943333333,39.987,34.64,31.9161111111,15.8348888889,18.6642222222,17.6792222222,25.0866666667,18.021
748.12,17.88,40.2772222222,35.0292222222,32.3227777778,15.9536666667,19.1755555556,18.0397777778,25.6141111111,18.4551111111
748.44,18.0586666667,40.2758888889,34.8464444445,32.1563333333,16.3574444444,19.1563333333,18.2962222222,25.9803333333,18.459
748.75,18.0042222222,40.2658888889,34.6832222222,32.1318888889,16.4022222222,19.2007777778,18.4296666667,26.0742222222,18.553
749.07,17.8105555556,40.2616666667,34.9746666667,32.269,16.3234444445,18.9793333333,18.3278888889,25.9972222222,18.3428888889
749.38,17.9401111111,40.1522222222,34.9701111111,32.0427777778,16.6791111111,19.0377777778,18.2763333333,26.1533333333,18.1871111111
749.70,17.9805555555,40.5642222222,35.0805555555,32.2841111111,16.8026666667,19.4013333333,18.352,26.2707777778,18.4805555556
750.01,18.0264444444,40.7905555555,35.1677777778,32.2943333334,16.8778888889,19.3833333333,18.4786666667,26.4877777778,18.6378888889
750.33,18.0843333333,41.2182222222,35.4421111111,32.4114444444,17.0673333333,19.3768888889,18.7205555555,26.6206666667,19.1162222222
750.64,17.6152222222,40.9966666667,34.7285555556,32.1741111111,16.737,19.4168888889,18.5587777778,26.3675555556,19.0304444444
750.96,17.6516666667,41.0263333333,34.6364444444,32.1354444444,16.9298888889,19.5508888889,18.5937777778,26.3118888889,19.2804444444
751.27,17.4443333333,40.9253333333,34.6773333333,31.9437777778,17.0065555556,19.252,18.5471111111,26.2347777778,18.8944444445
751.59,17.5796666666,40.8268888889,34.5922222222,31.7313333333,17.3308888889,19.2765555556,18.4356666667,26.1082222222,18.993
751.90,17.7048888889,40.652,34.2604444444,31.9228888889,17.4187777778,19.6921111111,18.6664444444,25.9112222222,19.4998888889
