wavelength,Back_ConRufm,Belly_ConRufm,Breast_ConRufm,Crissum_ConRufm,Crown_ConRufm,DorTail_ConRufm,Rump_ConRufm,Throat_ConRufm,WingTip_ConRufm
763.20,12.4274,36.7878666667,34.977,33.0519,10.9429333333,16.1408666667,17.4578083333,32.8174,17.5502666667
763.51,12.4223333333,36.7485333333,34.8921333333,33.2173,11.0027333333,16.0354666667,17.3733111111,32.7186,17.5643333333
763.82,12.6496666667,37.0107,35.0401333333,33.3952,11.0198666667,16.1915333333,17.4407055555,32.9496,17.8211333333
764.14,13.1582666667,37.4223666667,35.4868666667,33.8682666667,11.5253333333,16.7167333333,17.8724231481,33.5616,18.5057
764.45,13.3174666667,37.6627333333,35.7896,34.0419666667,11.5993333333,17.0253333333,18.0913537037,33.8202,18.6315
764.76,13.3752666667,37.9748333333,35.6982,34.2899333333,11.662,17.3673333334,18.2723222222,33.9456,18.7405
765.07,13.5658666667,38.1293333333,35.7529333333,34.3130333333,12.0552,17.7674,18.4491101852,34.1029333333,18.9712
765.39,13.5919333333,37.8409,35.5473333333,34.1966,12.0572666667,17.9873333333,18.5175314815,34.2762,19.1156
765.70,13.6947333334,38.3779,35.7858666667,34.5489333333,12.1882,18.2676666667,18.6963731481,34.6433333333,19.4115333333
766.01,13.2238666667,37.8286666667,35.4554666667,33.9889,11.7221333333,17.9732,18.3452675926,34.0912666667,19.1735333333
766.32,13.1198,37.9151,35.4092666667,33.8093,11.4295333333,18.0812666667,18.2221138889,34.0866,19.0775666667
766.64,12.8303333333,37.8773666667,35.1640666667,33.7661333333,11.1277333333,17.8318666667,17.945787037,34.0706,18.6769666667
766.95,13.2124,38.1861666667,35.5227333333,34.0735333333,11.1896,18.4607333333,18.226487963,34.461,18.9967
767.26,12.6953333333,37.6708,35.129,33.6353666667,10.9434,18.0860666667,17.9729472222,33.9038,18.4067
767.57,12.5124666667,38.0061,35.177,33.9968333333,10.7961333333,18.0431333333,17.9737546296,34.1506666667,18.1865
767.88,12.1201333333,37.4905,34.7382,33.5054,10.6101333333,17.7910666667,17.6947722222,33.7642,17.8381333333
768.20,12.7614666667,37.9367333333,35.2273333333,33.9906,11.2572666667,18.2170666667,18.130787963,34.2173333333,18.3546333333
768.51,12.6636666667,37.8119666667,35.0156,33.9165666667,10.8622666667,17.7637333333,17.8465796296,34.0262666667,18.2678333333
768.82,12.4357333333,37.9951,34.8732666667,33.7004333333,10.4049333333,17.6342,17.4345277778,34.1074,18.0510333333
769.13,12.7136666667,37.7864666667,34.9817333333,33.7989666667,10.3644666667,17.4768,17.384237037,34.2366,18.0701666667
769.44,13.1312,38.0158333333,35.0163333333,33.8427,10.6436666667,17.6773333333,17.5221601852,34.6492666667,18.1126333333
769.76,13.0898,37.5467666667,34.77,33.8144333333,10.7876666667,17.2652,17.5863259259,34.7909333333,18.0590666667
770.07,13.3418666667,37.6547333333,34.9038,33.7962,11.0542,17.3878666667,17.8493379629,34.9638666666,18.2928
770.38,12.5487333333,37.4249333333,34.1047333333,33.2500666667,10.4536,16.6074666667,17.1565277778,34.6878,17.6595
770.69,12.6612,37.4015333333,33.9382666667,33.1248666667,10.4256,16.4741333333,16.9256777778,34.6416,17.9052333333
771.00,11.7944666667,36.3091,33.2294666667,32.0027,9.30993333333,15.2748666667,15.9529222222,33.4647333333,17.0083666667
771.32,11.3375333333,36.5002666667,33.3192,31.9934,8.94359999999,14.9776666666,15.5631842593,33.7174,16.8822
771.63,10.6417333333,35.9123333333,32.8446666666,31.4559333333,8.33813333333,14.3917333333,14.7642009259,33.3094,16.2954666667
771.94,10.7618,36.1159333333,33.2024666667,31.8727666667,8.60746666667,15.0072666667,15.0460333333,33.6728666666,16.4557333333
772.25,11.4362666667,36.247,33.8524666667,32.2100333333,9.33533333333,15.473,15.4193185185,33.8622666667,17.0548666667
772.56,11.7888666667,36.7432,34.2215333333,32.3982,9.9582,16.0374666667,15.9984916667,34.2168666667,17.392
772.87,11.7374666667,36.4279666667,34.1686,32.9058666667,10.3157333333,16.0626,16.3619703704,34.1486666667,17.6610333333
773.18,11.9072,36.5046666667,34.0864,33.079,10.8352,16.4796666667,16.6887259259,34.2508666667,18.0005666667
773.50,12.6602666667,36.9733,34.4738,33.8960333333,11.3791333333,17.2922,17.4257046296,35.0868,19.0807333333
773.81,13.2174666667,36.8330666667,35.2734666667,34.5554,11.9778,17.8282666667,18.1842388889,35.6613333333,19.7228666667
774.12,13.6704,37.0037333333,35.4514666667,34.6742,12.4478,18.3648666667,18.7590907408,35.9145333333,19.9923
774.43,14.1392,37.2965666667,35.751,35.2589,12.6804666667,18.9696,19.1032740741,36.4704,20.2906
