wavelength,Back_PooWhim,Belly_PooWhim,Breast_PooWhim,Crissum_PooWhim,Crown_PooWhim,DorTail_PooWhim,Patch10_PooWhim,Patch11_PooWhim,Patch12_PooWhim,Rump_PooWhim,Throat_PooWhim,WingTip_PooWhim
352.19,8.93340666667,23.1714,4.40213333333,10.6292,9.17786666667,7.67346666667,12.2997333333,5.74233333333,24.833245679,9.61946666665,9.02553333334,8.51113333333
352.55,9.02350666667,23.2755666667,4.43606666667,10.5719333333,9.21920000001,7.7186,12.3288,5.7804,24.7914049383,9.67116666666,9.01566666665,8.47633333334
352.92,8.96478666666,23.3457666667,4.30106666667,10.5555333333,9.08253333332,7.6997,12.2960666667,5.64586666667,24.7559395062,9.59760000001,8.94873333333,8.23586666667
353.28,9.24874000001,23.6228666667,4.60453333333,10.8964,9.33906666665,7.94623333333,12.6367333333,5.92913333333,24.9811037037,9.81739999998,9.24193333333,8.48253333333
353.65,9.01631333333,23.5602333333,4.34253333333,10.7088666667,9.12406666666,7.68616666667,12.4907333333,5.69086666667,24.8284308642,9.61673333333,8.96753333333,8.27446666667
354.01,8.88635333333,23.6266333333,4.1122,10.5630666667,8.90146666667,7.4757,12.3480666667,5.54586666667,24.684662963,9.35926666667,8.66546666665,8.02353333333
354.38,8.69442666667,23.6145,3.90046666667,10.3562,8.69520000001,7.2377,12.2109666667,5.271,24.3625604938,9.18740000001,8.50146666666,7.813
354.74,8.69578,23.6235666667,3.78226666667,10.244,8.655,7.16693333333,12.1518666667,5.18993333333,24.3715222222,9.07183333333,8.45273333334,7.71426666667
355.11,8.75249333334,23.7787666667,3.7338,10.2943333333,8.65473333333,7.12866666667,12.2566,5.22453333333,24.4504777778,9.09190000001,8.49446666666,7.74586666667
355.47,8.77101333334,23.8333666666,3.6812,10.3114,8.66706666667,7.10346666667,12.2793333333,5.24166666667,24.4540888889,9.12943333334,8.45146666667,7.74333333333
355.83,8.59183333333,23.6995333333,3.6018,10.1681333333,8.51646666667,6.97286666667,12.2312,5.13353333333,24.3430049383,9.13076666665,8.34280000001,7.63846666667
356.20,8.47196666667,23.5777666667,3.28653333333,9.94600000001,8.30026666667,6.81553333333,12.1267333333,4.90326666667,24.2366567901,8.88763333334,8.15606666666,7.3886
356.56,8.47972666667,23.6781666667,3.15773333333,9.94420000001,8.25373333333,6.7457,12.1753666667,4.84333333333,24.3261641975,8.92459999999,8.15646666666,7.40033333333
356.93,8.56068666667,23.8126,3.1976,9.9634,8.40359999999,6.74043333334,12.2721,4.84833333333,24.4908024691,8.99586666667,8.28826666667,7.45406666667
357.29,8.42858666667,23.7319,2.98766666667,9.80413333334,8.25906666665,6.59116666667,12.1078666666,4.69413333333,24.3840395062,8.89106666667,8.08040000002,7.24973333333
357.66,8.73032666667,23.9569,3.22026666667,9.98866666667,8.44086666666,6.85373333334,12.3151333333,4.86993333333,24.4828839506,9.01113333333,8.29499999998,7.38466666667
358.02,8.62415333334,23.9050333333,3.13066666667,9.89853333335,8.36846666667,6.797,12.2512666667,4.74766666667,24.4374530864,8.92056666667,8.26473333334,7.3722
358.38,8.63831333333,24.0389,3.19726666666,10.0259333333,8.45146666668,6.87666666667,12.324,4.8774,24.6049259259,9.01206666668,8.34466666667,7.44826666667
358.75,8.77666666667,24.1307666667,3.32466666667,10.1611333333,8.54586666667,6.943,12.4732,4.93346666667,24.7418987654,9.14683333333,8.44946666667,7.57113333333
359.11,8.92147333334,24.1833333333,3.51493333333,10.2911333333,8.7032,7.09833333333,12.6383666667,5.03246666667,24.8623061728,9.28019999999,8.62533333333,7.6998
359.48,8.85134,24.1984333333,3.496,10.2468,8.67613333333,6.96383333333,12.6079,4.9458,24.8720888889,9.23496666667,8.60313333334,7.63266666667
359.84,8.78799333334,24.2394333334,3.33933333333,10.2394666667,8.65246666666,6.89226666667,12.5885,4.81106666667,24.8815814815,9.14733333333,8.56233333334,7.5474
360.20,8.84736666666,24.4150333333,3.49546666667,10.3873333333,8.78333333334,7.02016666667,12.7299,4.9316,24.9648555556,9.33053333333,8.62719999999,7.71333333333
360.57,8.78496666667,24.4856,3.53486666667,10.4011333333,8.7904,6.99996666667,12.7181666667,4.89026666667,24.953254321,9.34393333333,8.59173333335,7.69073333333
360.93,8.82638666666,24.5725666667,3.59453333333,10.5518,8.79839999999,7.1216,12.8027333333,4.98493333333,25.014962963,9.4428,8.61866666669,7.74546666667
361.29,8.89818,24.6907,3.68206666667,10.6409333333,8.91306666668,7.20336666667,12.8944,5.09246666667,25.1083049383,9.55306666667,8.77713333332,7.8618
361.66,8.90461333333,24.7907333333,3.66826666667,10.7526666667,8.97059999999,7.2354,13.0106,5.14466666667,25.2560641975,9.66813333334,8.84706666667,7.93846666667
362.02,9.09932666666,24.9689333333,3.87573333333,10.9568,9.17173333335,7.43426666667,13.2533666667,5.3274,25.4295234568,9.9078,9.03979999999,8.0756
362.39,9.30347333334,25.1660333333,4.02753333333,11.1251333333,9.31526666667,7.5635,13.4486333333,5.45733333333,25.5980111111,10.0632,9.206,8.2004
362.75,9.2719,25.2596,3.978,11.0958666667,9.27113333332,7.56416666667,13.4473,5.47013333333,25.5268703704,10.0726,9.16973333333,8.1202
363.11,9.27128,25.3744,3.97293333333,11.1101333333,9.27733333333,7.5604,13.4612666667,5.51086666667,25.4859469136,10.0964,9.14340000001,8.11633333333
363.48,9.4625,25.545,4.15606666667,11.2879333333,9.44926666667,7.78043333333,13.6979666667,5.7234,25.6129024691,10.3146333333,9.29226666667,8.2818
363.84,9.54746,25.6291666667,4.22566666667,11.3666,9.52526666666,7.82806666667,13.8010333333,5.81986666667,25.6517654321,10.4409666667,9.34926666667,8.33006666667
364.20,9.38488666667,25.5478333333,4.06846666667,11.1878,9.34073333335,7.67063333333,13.6725666667,5.63366666667,25.4840111111,10.2774666667,9.21133333335,8.1072
364.57,9.42976666668,25.5820333333,4.04633333333,11.2452,9.34033333333,7.67626666667,13.7214666667,5.65666666667,25.5602679012,10.2633333333,9.2474,8.06046666667
364.93,9.37126000001,25.6627333333,3.9792,11.1728666667,9.32326666667,7.61113333333,13.6899,5.61166666667,25.4649641975,10.1919333333,9.17440000001,8.00426666667
365.29,9.33414666667,25.8156333333,3.96126666667,11.2230666667,9.29573333332,7.5399,13.7571666667,5.53173333333,25.4954283951,10.1795333333,9.10346666666,7.97506666666
365.66,9.28442666666,25.7568333333,3.97453333334,11.1170666667,9.27466666665,7.469,13.6808666667,5.4846,25.3473901235,10.1458,9.02706666666,7.85073333333
366.02,9.19846,25.7793333333,3.86313333333,11.0764,9.22099999999,7.2878,13.6538333333,5.3884,25.3238135803,10.0564,8.933,7.7378
366.38,9.10133333334,25.8087333333,3.84613333333,11.0245333333,9.20473333332,7.2093,13.6407,5.39033333333,25.2215901235,10.0100666667,8.87706666666,7.6586
366.75,9.05877333334,25.8586333333,3.8582,11.0621333333,9.24473333333,7.1922,13.6831666667,5.36593333333,25.2845320988,9.97916666667,8.92439999999,7.7098
367.11,9.09686666667,25.9332666667,3.88346666667,11.0692666667,9.25926666667,7.211,13.7966,5.36113333333,25.3680395062,9.97323333334,8.96666666667,7.69426666667
367.47,8.92347333333,25.9023333333,3.72386666667,10.8932,9.08533333332,7.04733333333,13.6637666667,5.15266666667,25.2361666667,9.75636666667,8.84533333334,7.49733333333
367.84,8.86931999999,25.8938666667,3.67206666666,10.8231333333,9.06926666667,7.013,13.6005333333,5.1308,25.1763320988,9.63113333335,8.79173333333,7.37226666667
368.20,8.96495333334,25.9713,3.74433333334,10.9543333333,9.15079999999,7.05996666667,13.6845,5.227,25.2582740741,9.66849999999,8.86033333334,7.4684
368.56,9.11319333333,26.1807333333,3.89126666667,11.0798,9.31513333334,7.22176666667,13.9182,5.39546666667,25.3388259259,9.87216666667,9.00966666667,7.63133333333
368.93,9.23624666666,26.3001,3.9772,11.1732,9.41166666667,7.3397,14.083,5.4648,25.493337037,10.0054666667,9.15333333332,7.71173333333
