wavelength,Back_CoeFlaf,Belly_CoeFlaf,Breast_CoeFlaf,Crissum_CoeFlaf,Crown_CoeFlaf,DorTail_CoeFlaf,Patch10_CoeFlaf,Patch11_CoeFlaf,Rump_CoeFlaf,Throat_CoeFlaf,WingTip_CoeFlaf
333.18,6.44518333333,13.0235333333,9.58113333334,10.1520333333,5.71573333333,7.7238,9.73866666667,11.843,9.68248888889,14.1474666666,8.94426666666
333.54,6.59634999999,13.2226,9.79486666667,10.3298333333,5.83233333333,7.87466666667,9.97359999999,12.0652666667,9.87534444445,14.2634,9.04366666667
333.91,6.63966666667,13.1980666667,9.82300000001,10.3687333333,5.87273333333,7.94506666667,10.0512666667,12.1405333333,10.0100111111,14.3812,9.1918
334.28,6.70531666667,13.1623333333,9.89219999999,10.4078,5.91726666667,7.94173333333,10.1561333333,12.1370666666,10.1118333333,14.4596,9.22893333333
334.64,6.73734999999,13.2457333333,9.95486666667,10.5407666667,6.04273333333,7.98613333333,10.1978,12.209,10.1561,14.5081333333,9.28986666667
335.01,6.78456666667,13.3296666667,10.0197333333,10.7453,6.09473333333,8.01083333333,10.2801333333,12.2862666667,10.1658333333,14.4981333333,9.31039999999
335.38,6.83488333333,13.2686666667,10.1319333333,10.7789333333,6.042,7.87693333333,10.2302,12.3222,10.2317111111,14.4543333333,9.25646666667
335.74,7.00823333334,13.5141333334,10.3783333333,10.9222333333,6.27813333333,8.04676666667,10.3884666667,12.5296,10.4112444445,14.6046666666,9.39620000001
336.11,7.08501666667,13.6294666667,10.4996,11.0622666667,6.37053333333,8.12073333333,10.4491333333,12.6454,10.4831222222,14.6576,9.48653333332
336.47,7.31376666667,13.9952,10.8402666667,11.3323,6.70006666667,8.4442,10.7856666667,13.0166,10.8101333333,14.9058666667,9.74366666667
336.84,7.19153333333,14.0771333333,10.8926666667,11.4210333333,6.71106666667,8.39596666667,10.6847333333,13.0242666667,10.8258888889,14.8417333333,9.75626666666
337.21,7.13281666667,14.1544666667,10.9697333333,11.5059333333,6.70466666667,8.37073333333,10.7392666667,13.0403333333,10.8354555556,14.8852,9.73766666667
337.57,7.25916666667,14.378,11.1893333333,11.8207666667,6.89993333333,8.60056666667,10.9315333333,13.2294,10.9674333333,15.1243333333,9.86380000002
337.94,7.43388333333,14.5772,11.4294,12.0624666667,7.0568,8.62123333333,11.1478666667,13.404,11.1000444445,15.3189333333,9.96953333333
338.31,7.47175,14.7527333333,11.485,12.2004,7.1992,8.708,11.2511333333,13.5916666667,11.1390777778,15.4008666667,10.05
338.67,7.59098333334,14.9015333333,11.6552,12.3600666667,7.26866666667,8.73646666667,11.4362666667,13.69,11.2708222222,15.5036,10.1112
339.04,7.47976666667,14.8234,11.6528,12.2404666667,7.1864,8.5793,11.396,13.6310666667,11.2425555556,15.4550666667,10.0085333333
339.40,7.46733333332,14.8862,11.7003333333,12.308,7.20593333333,8.7027,11.5167333333,13.6017333333,11.208,15.5768666667,10.0626
339.77,7.31946666666,14.6826,11.6554666667,12.1604,7.0014,8.52676666667,11.4766666667,13.4822,11.0539555555,15.4268,9.90593333333
340.14,7.35979999999,14.7282666667,11.7527333333,12.1581666667,7.00946666667,8.4766,11.6416,13.5094666667,11.1215444445,15.4555333333,9.91199999999
340.50,7.15668333333,14.5288,11.5600666667,12.0514,6.75033333333,8.19586666667,11.4990666667,13.3074,10.8771777778,15.2946666667,9.6952
340.87,7.12683333334,14.3553333333,11.4298666667,11.9835,6.61646666667,8.09886666667,11.4427333334,13.262,10.8449333333,15.2648,9.62353333332
341.23,7.22636666667,14.4843333333,11.5547333333,12.0532,6.7282,8.2156,11.6044,13.4238666667,11.0153333333,15.3602666666,9.79000000001
341.60,7.05208333333,14.3754,11.4758666667,11.8433333333,6.59533333333,7.9434,11.509,13.2344666667,10.8678111111,15.2186,9.6652
341.96,6.89806666667,14.2581333334,11.3484666667,11.6841666667,6.41893333333,7.83403333333,11.3553333333,13.0845333333,10.7504888889,15.0579333333,9.45353333333
342.33,6.89985000001,14.2704666667,11.4254,11.6694333333,6.39906666667,7.8647,11.3246,13.0164666667,10.6906888889,15.0219333333,9.40106666668
342.70,6.78385000001,14.2366,11.3177333333,11.6296333333,6.352,7.80533333334,11.2842666667,12.9974666667,10.6118222222,14.9507333334,9.31866666666
343.06,6.92069999999,14.3626666667,11.3472,11.6298,6.3982,7.9146,11.3286,13.0461333333,10.6392111111,15.0664666667,9.37639999999
343.43,7.05221666667,14.5922666667,11.4357333333,11.7914,6.51813333333,8.00246666667,11.4694,13.1901333333,10.7899444445,15.1778666667,9.46866666666
343.79,7.21698333333,14.8275333333,11.4942666667,11.9353666667,6.6422,8.0899,11.6304666667,13.2694666667,10.9653888889,15.2951333333,9.53886666666
344.16,7.22131666666,14.8612,11.5178,11.9725333333,6.68026666667,8.08786666667,11.6217333333,13.2914,10.9978555556,15.3073333333,9.53853333333
344.52,7.33476666666,15.0112666667,11.6109333333,12.0825666667,6.81053333333,8.17703333333,11.6772,13.3955333333,11.1313,15.348,9.60053333334
344.89,7.39603333334,15.2409333333,11.783,12.1327666667,6.9324,8.27753333333,11.8116,13.4872666667,11.1742333333,15.443,9.64846666666
345.25,7.27351666667,15.1466,11.7002,12.0232666667,6.8082,8.1399,11.6646666667,13.3677333333,11.0363777778,15.3622666667,9.43853333333
345.62,7.3205,15.1692666667,11.7224666667,12.1007666667,6.8686,8.22813333333,11.7042666667,13.4100666667,11.0856555556,15.3247333333,9.41900000001
345.99,7.43678333333,15.307,11.9022666667,12.2311666667,7.0584,8.3701,11.8448666667,13.5860666667,11.1710888889,15.4612,9.54280000001
346.35,7.3836,15.2821333333,11.8427333333,12.2183333333,6.92753333333,8.26746666667,11.7982,13.5648666667,11.1749444444,15.441,9.43873333331
346.72,7.52003333333,15.3796666667,11.9582,12.2762666667,6.95146666667,8.31143333333,11.8976666667,13.6282,11.2811222222,15.5585333333,9.55826666665
347.08,7.56196666667,15.4800666667,12.1296,12.5289666667,7.0388,8.3917,12.0829333333,13.7602,11.3863222222,15.6545333333,9.65333333332
347.45,7.48268333333,15.3930666667,12.129,12.4411666667,6.9582,8.30726666667,12.0078,13.7402,11.3510888889,15.5969333333,9.55020000001
347.81,7.33376666666,15.3287333333,12.0690666667,12.4429666667,6.9114,8.2263,11.9095333333,13.7277333333,11.2203,15.5439333333,9.47040000001
348.18,7.22936666667,15.3056,11.9928666667,12.3769333333,6.73966666667,8.1126,11.8324,13.6852,11.0765555556,15.4793333333,9.35179999999
348.54,7.15211666666,15.2446666667,11.9546,12.3000666667,6.65653333333,8.0539,11.8205333334,13.6701333333,11.0179,15.4926666667,9.26686666666
348.91,7.21813333333,15.2492,12.0681333333,12.4539666667,6.718,8.07743333333,11.8650666667,13.7560666667,11.0946111111,15.5763333333,9.28013333333
349.27,7.33488333334,15.3335333333,12.178,12.5514666667,6.76186666667,8.14313333333,11.9648666667,13.8659333334,11.1793777778,15.6726,9.37146666667
349.64,7.23406666667,15.2945333333,12.1242,12.4694333333,6.598,7.97283333333,11.8762666667,13.8016666667,11.0775111111,15.6910666667,9.30533333332
350.00,7.26536666666,15.3445333333,12.1484666667,12.5972,6.60146666667,8.00606666667,11.962,13.7755333333,11.1282888889,15.6696666666,9.40760000001
350.37,7.3316,15.4467333333,12.2992666667,12.6916666667,6.73526666667,8.119,12.1267333333,13.9336,11.2484888889,15.7889333333,9.5428
350.73,7.17923333333,15.3665333333,12.2408,12.5860666667,6.66473333333,8.04323333333,12.1419333333,13.8732,11.1842777778,15.7400666667,9.40793333335
351.10,7.16766666667,15.354,12.2076,12.4884,6.6256,8.03213333333,12.1676,13.8688,11.2098222222,15.6966,9.38373333335
351.46,7.28355,15.5324666667,12.2919333333,12.5763333333,6.7624,8.18566666667,12.3305333333,14.0144,11.3305555556,15.8513333333,9.50940000001
351.83,7.41650000001,15.6588,12.402,12.6501333333,6.846,8.2941,12.4654,14.1259333333,11.5207,15.9948666667,9.63266666666
352.19,7.39556666667,15.6884666667,12.4442666667,12.7410666667,6.89273333333,8.2453,12.4988666667,14.1484,11.5684,16.0627333333,9.67873333332
352.55,7.32821666666,15.6859333333,12.4100666667,12.7012,6.8034,8.11696666667,12.5090666667,14.0839333333,11.5418444444,16.001,9.63113333332
352.92,7.23406666666,15.7207333333,12.2899333333,12.5352,6.67526666667,8.0254,12.5072666667,14.0108666667,11.4555555555,15.9041333333,9.56473333332
353.28,7.15441666667,15.7450666667,12.2551333333,12.5111333333,6.636,7.9938,12.4978,13.9884,11.4090666667,15.8541333334,9.59706666668
