wavelength,Back_OryNutm,Belly_OryNutm,Breast_OryNutm,Crissum_OryNutm,Crown_OryNutm,DorTail_OryNutm,Rump_OryNutm,Throat_OryNutm,WingTip_OryNutm
634.91,5.96066666667,5.637,6.3741,6.86753333333,6.73735555556,8.25946666667,5.86003333333,6.30053333333,9.55059999999
635.25,6.05433333334,5.68683333333,6.41773333333,6.9322,6.78933333333,8.32913333333,5.89716666667,6.38793333333,9.61933333333
635.58,6.0134,5.67246666667,6.40963333333,6.86413333333,6.73155555556,8.26763333333,5.86353333333,6.29926666667,9.5674
635.91,6.00933333333,5.66253333333,6.44033333333,6.8564,6.7174,8.34163333333,5.87663333333,6.3028,9.56866666667
636.24,5.79426666667,5.44013333333,6.1948,6.68353333333,6.52217777778,8.13896666667,5.70073333333,6.1158,9.3588
636.57,5.7132,5.36003333333,6.10763333333,6.65706666667,6.48775555556,8.09116666667,5.6587,6.07573333333,9.27560000001
636.90,5.6622,5.3179,6.04833333333,6.6044,6.45988888889,8.00283333333,5.63226666667,6.02126666667,9.24299999999
637.23,5.67186666667,5.3195,6.03143333333,6.58526666667,6.43166666667,7.97923333333,5.63953333333,6.05873333333,9.20606666667
637.56,5.76873333333,5.4474,6.1756,6.68266666667,6.51915555555,8.09926666667,5.73623333333,6.16266666667,9.31453333333
637.90,5.898,5.55243333333,6.30953333333,6.7964,6.63824444444,8.2377,5.88553333333,6.30633333334,9.47413333333
638.23,5.84873333333,5.5622,6.28806666667,6.7818,6.58702222222,8.23463333333,5.90123333333,6.28153333333,9.44760000001
638.56,5.75666666667,5.46343333333,6.2287,6.7042,6.50473333333,8.1312,5.8173,6.176,9.37546666666
638.89,5.7378,5.47956666667,6.26286666667,6.70046666667,6.48973333333,8.1151,5.8485,6.1636,9.37079999999
639.22,5.658,5.41413333333,6.23306666667,6.72286666667,6.47355555556,8.12453333334,5.7865,6.17113333333,9.36333333334
639.55,5.63553333333,5.38366666667,6.2087,6.73426666667,6.48368888889,8.11796666667,5.7668,6.18193333334,9.39166666667
639.88,5.81366666667,5.56703333333,6.3885,6.9028,6.65497777778,8.29646666667,5.90023333333,6.37966666666,9.61626666667
640.21,5.959,5.6957,6.56123333333,7.01013333333,6.77755555555,8.36883333333,6.0323,6.472,9.7512
640.54,6.05446666667,5.7904,6.66253333333,7.156,6.8114,8.46373333333,6.08233333333,6.59366666667,9.85699999999
640.87,6.0122,5.6823,6.62453333333,7.1596,6.75977777778,8.44043333333,6.01626666667,6.51266666667,9.77766666666
641.20,5.83453333333,5.45306666667,6.44666666667,7.00553333333,6.62251111111,8.29506666666,5.85476666667,6.34073333333,9.65313333333
641.53,5.8208,5.46756666667,6.46773333333,7.00706666667,6.62642222222,8.30816666667,5.86576666667,6.33246666667,9.65606666667
641.87,5.7684,5.39393333333,6.43923333333,6.9256,6.55275555556,8.2151,5.77766666667,6.22733333333,9.59006666667
642.20,5.8828,5.4693,6.4729,6.96253333333,6.62135555556,8.2446,5.87266666667,6.3068,9.64826666667
