wavelength,Back_CamParm,Belly_CamParm,Breast_CamParm,Crissum_CamParm,Crown_CamParm,DorTail_CamParm,Rump_CamParm,Throat_CamParm,WingTip_CamParm
763.82,20.8814,52.4686666667,11.5364,42.2729333333,12.6756533333,18.9301333333,20.6257881481,11.7838666667,21.8962666667
764.14,20.775,52.4286333333,11.4148666667,42.1083333333,12.4986133333,18.9196666667,20.5059044444,11.7738666667,21.834
764.45,20.9833,52.4897666667,11.6026,42.327,12.7391733333,19.0659333333,20.6715207408,12.0533333333,21.8945333333
764.76,21.0542,52.5043666667,11.6442666667,42.3005666667,12.8762,19.1748,20.7669407407,12.0810666667,21.9256666667
765.07,20.9162666667,52.4148,11.4685333333,42.3055333333,12.7797333333,19.0786666667,20.7135837037,11.9936,21.7945333333
765.39,20.8140666667,52.5510666667,11.5163333333,42.3796666667,12.6948,19.0074,20.5685540741,12.1178,21.7182
765.70,21.1446333333,52.6103333333,11.8101333333,42.6258666667,12.8714666667,19.2494,20.7679977778,12.3332666667,21.8278
766.01,21.6329333333,53.1481333333,12.0535333333,43.0034333333,13.1604266667,19.5127333333,21.0157859259,12.8088666667,22.1422
766.32,21.5624,52.8096666667,12.0505333333,42.8244,13.1494533333,19.5486666667,20.9444222222,12.8303333333,22.0113333333
766.64,21.8441,53.3618,12.4694,42.8988,13.5794266667,19.9768,21.1886,13.2585333333,22.512
766.95,21.4906,53.0349,12.2208666667,42.8149,13.3689733333,19.7813333333,20.8257022222,13.1606666667,22.0467333333
767.26,22.0595,53.0770666667,12.8537333333,42.8690333333,14.0141466667,20.3797333333,21.3057762963,13.9791333333,22.5584666667
767.57,22.1381333333,52.9345333333,13.077,42.9557333333,14.1858266667,20.4529333333,21.2388948148,14.2707333333,22.4273333333
767.88,22.0667333333,53.1578333333,12.8664666667,43.0450333333,14.0018,20.4341333333,21.0547311111,13.9936666667,22.3998
768.20,22.3166,53.4087,13.0626666667,43.2117333333,14.14376,20.5662,21.137757037,14.0934666667,22.6273333333
768.51,22.4471666666,53.1981666667,13.0755333333,43.0740666667,13.94224,20.6173333333,21.0781459259,14.0016,22.5647333333
768.82,22.3929,52.9212666667,12.8884666667,42.7854,13.9888266667,20.6442666667,21.0237355555,13.7162666667,22.5612666667
769.13,21.6658333333,52.1346,12.1614666667,41.9722,13.36748,19.9464666667,20.281277037,13.0656,22.1430666667
769.44,20.8363666667,51.3675,11.5433333333,41.4605666667,12.6836666667,19.0584666667,19.5627451852,12.4917333333,21.3415333333
769.76,20.8097333333,51.1613,11.3886,41.1157666667,12.6876266667,18.8492,19.3314303704,12.5392,21.0598666667
770.07,21.2414666667,50.9623,11.7218,41.5013333333,12.9902133333,19.1781333333,19.6057348148,12.8352666667,21.1845333333
770.38,21.9234,51.5007,12.0668,41.9088333333,13.3601333333,19.6370666667,19.9730866667,13.0500666667,21.7529333333
770.69,21.5268666666,51.4332666667,11.2586,41.7539333333,12.6663466667,19.1822,19.3567985185,12.2039333333,21.1029333333
771.00,21.3974666667,51.6589333333,11.0347333333,41.7525333333,12.60404,19.3166,19.5559111111,12.016,21.0576666667
771.32,20.9888666667,51.2708666667,10.5408666667,41.5643666667,12.2835866667,19.1426,19.2760955556,11.7186666667,20.6489333333
771.63,21.0428666667,51.5021333334,10.3647333333,41.8510666666,12.3738133333,19.1485333333,19.3207074074,11.6656666667,20.7924
771.94,20.9351,51.8582666667,10.3752,41.7509333333,12.5430933333,19.4480666667,19.4462807407,11.8007333333,20.9013333333
772.25,21.2674666667,52.0339,10.4910666667,42.0319,12.58512,19.5967333333,19.5523088889,11.8960666667,20.9581333333
772.56,21.6441,52.5986666667,10.9768666667,42.5214666667,12.9002933334,20.35,20.0415103704,12.0757333333,20.9604666667
772.87,21.9908666667,53.0677333333,10.9162,42.6065333333,13.2148533333,20.9058666667,20.046397037,11.8222,21.0828666667
773.18,21.5559333333,52.9198333333,10.4136,42.5041333333,12.7577066667,20.873,19.7341577778,11.0486,20.969
773.50,21.3269,53.3248,10.3703333333,42.4825666667,13.02268,21.2488,19.6829437037,10.9715333333,21.2486666667
773.81,20.7180666667,52.9260333333,10.0150666667,41.8692333333,12.3205733333,21.0546,18.8560533333,10.5936666667,20.7502666667
774.12,20.2783,52.1138666667,10.0941333333,41.3670333333,12.0992666667,20.5221333333,18.6916518518,10.4535333333,20.4536
774.43,20.5207,51.713,10.2002,41.0500333333,12.1411466667,20.5468,18.4618281481,10.2776,20.4088
774.74,20.9111666667,51.2826,10.6700666667,40.5847666667,12.5001333333,20.5250666666,18.6292,10.4950666667,20.9047333333
775.05,20.6704,50.4028666666,10.7442666667,39.8523666667,12.2268533333,20.6199333333,18.3283133333,10.4449333333,20.4806666667
775.36,20.4627666667,50.055,10.873,39.7124666667,12.18264,20.4270666667,18.1306614815,10.4418,20.3297333333
775.67,20.1707333334,49.9443666667,10.6726666667,39.3016333333,12.1391466667,20.4869333333,17.7920718518,10.0876666667,20.3032
775.98,20.3278333333,50.1713,10.8355333333,39.4470666667,12.1473866667,20.7198,17.8615911111,10.0987333333,20.4542
776.30,20.4875666667,50.015,11.2208666667,39.4954333333,12.5542666667,21.0518,18.3417755555,10.5538666667,20.9920666667
776.61,21.2221333333,50.7646666666,12.0618666667,40.1697,13.2740266667,21.7783333333,18.9918970371,11.4864,21.7568
