wavelength,Back_CamPsif,Belly_CamPsif,Breast_CamPsif,Crissum_CamPsif,Crown_CamPsif,DorTail_CamPsif,Rump_CamPsif,Throat_CamPsif,WingTip_CamPsif
826.30,25.6470666667,50.0888666667,37.3443333333,49.5416266667,25.9460666666,27.3582666667,29.5785333333,38.7242666667,30.9386
826.61,25.8852,49.8732666667,37.1902333333,49.3108866667,25.7832,27.3078333333,29.6601666667,38.6347333333,31.0302333333
826.91,26.1702666667,50.1983333333,37.6192333333,49.5704133333,26.0796,27.2163333333,29.9921333333,38.8071333333,31.3458
827.21,26.7121666667,50.8725333333,38.0350333333,50.1861666667,26.4156666667,27.9284666667,30.4457,39.1180666667,31.8565
827.51,26.4011666667,50.5534666667,37.6749333333,50.0035066667,26.0654666667,27.6000333333,29.9983666667,38.9472666667,31.5187333333
827.82,26.6327666667,50.9191333333,37.7493666667,50.50682,26.4271333333,27.814,30.1117666667,38.8672666667,31.6392
828.12,26.7116,50.9097333333,37.503,50.2930533333,26.6098666666,27.4929333333,30.1451,39.0452,31.7659666667
828.42,26.4267,50.5958,36.8734666667,49.81958,26.3546666667,27.0627333333,29.7618,38.5666666667,31.3969333333
828.72,26.7788666667,50.6711333333,36.9191,50.0736266667,26.5695333333,27.0126333333,30.1103,38.6465333333,31.6114333333
829.02,26.5208333333,50.1724,36.8147,50.07608,26.4396666667,26.6626,30.1418,38.4355333333,31.9432
829.33,26.6799666667,50.2324666667,36.6886666667,50.29988,26.5116,26.8793,30.2016333333,38.5204666666,32.0044
829.63,27.0934333334,50.4340666667,36.7208333333,51.03852,27.0394,26.9143,30.5812,38.7688,32.2002333333
829.93,26.6475,50.0109333333,35.9122666667,50.7397066667,26.8844666667,26.5658333333,30.1906,38.6656,32.0561
830.23,26.6343666667,49.2732666667,35.2309,50.3865133333,27.2197333333,26.7873333333,29.8587666667,38.3818,32.1418666667
830.54,26.2408,48.732,34.3788666667,49.65116,27.1560666667,25.7452333333,29.2531666667,38.2777333333,31.5221666667
830.84,27.2619666667,49.0343333333,34.6165,49.63294,27.8968,26.2797333333,29.8049333333,38.2408666667,32.4305666667
831.14,26.6943,48.1916666667,33.5646666667,48.6556466667,27.1912,25.1830333333,29.0857,38.1504,32.0117
831.44,26.6804,47.7697333333,33.4297666667,48.3950466667,27.4113333333,25.5602333333,28.9211333333,37.8145333333,32.1579666667
831.74,27.4958666667,47.8904666667,34.6338333333,48.8116466667,27.77,26.3357,29.6655,38.7897333333,32.8919666667
832.04,26.573,47.2932,33.8370666667,47.7092733333,27.0478,25.7332,28.5496666667,37.9006,31.6472333333
